STATUS(unseq): status ready=1 active=0 connL=1 connR=1 otos=1 wedge=0 flags=31 i2cf=4 cyc=107 tlm=off next=1 done=1 reason=stop
--- attempt 0 for TLM FULL #1 ---
ack 1 1 stop
thdr seq now flags x y h ox oy oh vl vr i2cf cyc posl posr dutl dutr lexc wrng cycovr
t 1 439359 31 1 0 -113 -95 -19 -12873 0 0 4 107 30 0 0 0 0 0 0
t 2 439411 31 1 0 -113 -95 -19 -12873 0 0 4 107 30 0 0 0 0 0 0
t 3 439467 31 1 0 -113 -95 -19 -12873 0 0 4 107 30 0 0 0 0 0 0
t 4 439523 31 1 0 -113 -95 -19 -12873 0 0 4 107 30 0 0 0 0 0 0
t 5 439579 31 1 0 -113 -95 -19 -12873 0 0 4 107 30 0 0 0 0 0 0
t 6 439635 31 1 0 -113 -95 -19 -12873 0 0 4 107 30 0 0 0 0 0 0
t 7 439691 31 1 0 -113 -95 -19 -12873 0 0 4 107 30 0 0 0 0 0 0
t 8 439747 31 1 0 -113 -95 -19 -12873 0 0 4 107 30 0 0 0 0 0 0
t 10 439859 31 1 0 -113 -95 -19 -12873 0 0 4 107 30 0 0 0 0 0 0
t 11 439915 31 1 0 -113 -95 -19 -12873 0 0 4 107 30 0 0 0 0 0 0
t 12 439971 31 1 0 -113 -95 -19 -12874 0 0 4 107 30 0 0 0 0 0 0
t 14 440083 31 1 0 -113 -95 -19 -12874 0 0 4 107 30 0 0 0 0 0 0
t 15 440139 31 1 0 -113 -95 -19 -12874 0 0 4 107 30 0 0 0 0 0 0
t 16 440196 31 1 0 -113 -95 -19 -12874 0 0 4 107 30 0 0 0 0 0 0
DBG:wifi state=0 ip=- peer=-:0 tcp=0/0 to=4 restarts=0 sent=0 rx=0 drop=0 mdns=0/0 cmd= reply=
t 17 440251 31 1 0 -113 -95 -19 -12874 0 0 4 107 30 0 0 0 0 0 0
--- attempt 0 for WHEELS_V 200 200 1500 #2 ---
t 18 440307 31 1 0 -113 -95 -19 -12875 0 0 4 107 30 0 0 0 0 0 0
ack 2 1 stop
t 19 440367 31 1 0 -113 -95 -19 -12875 0 0 4 108 30 0 0 0 0 0 0
thdr seq now flags x y h ox oy oh vl vr i2cf cyc posl posr dutl dutr lexc wrng cycovr
t 20 440439 31 1 0 -113 -95 -19 -12875 0 0 4 111 30 0 400 400 0 0 0
t 21 440511 31 2 0 -154 -95 -19 -12876 14 0 7 114 41 0 800 800 0 0 0
t 23 440655 31 5 0 -384 -94 -18 -12993 92 20 10 120 119 17 2000 1800 0 0 0
t 25 440799 31 20 -2 -760 -91 -13 -13391 164 108 10 126 352 150 2500 2900 0 0 0
t 27 440943 31 43 -6 -1087 -68 8 -14030 210 154 10 132 700 411 2600 3400 0 0 0
t 28 441015 31 57 -8 -1136 -68 8 -14030 190 174 10 135 880 578 2400 3500 0 0 0
t 30 441159 31 83 -13 -1001 -36 34 -13939 164 190 10 141 1205 939 2000 3600 0 0 0
t 32 441303 31 109 -17 -595 -19 47 -13624 138 210 10 147 1486 1328 1900 3700 0 0 0
t 33 441375 31 122 -18 -365 -19 47 -13624 154 226 10 150 1622 1525 1900 3700 0 0 0
t 36 441591 31 162 -18 399 10 75 -12798 148 230 10 159 2025 2131 1700 3800 0 0 0
t 37 441663 31 175 -17 685 24 91 -12356 144 220 10 162 2152 2334 1700 3800 0 0 0
t 38 441735 31 189 -15 993 37 108 -11841 138 237 10 165 2283 2547 1600 3900 0 0 0
thdr seq now flags x y h ox oy oh vl vr i2cf cyc posl posr dutl dutr lexc wrng cycovr
t 39 441807 31 202 -12 1340 37 108 -11841 128 226 10 168 2408 2764 1500 3900 0 0 0
t 40 441863 31 210 -10 1599 48 126 -11251 134 240 10 170 2486 2911 1400 3800 0 0 0
t 41 441919 31 210 -10 1599 48 126 -11251 134 240 10 170 2486 2911 1400 3800 0 0 0
t 43 442025 31 210 -10 1599 57 145 -10598 134 240 10 170 2486 2911 1400 3800 0 0 0
t 45 442129 31 210 -10 1599 63 162 -9936 134 240 10 170 2486 2911 1400 3800 0 0 0
t 46 442181 31 210 -10 1599 64 162 -9657 134 240 10 170 2486 2911 1400 3800 0 0 0
t 47 442233 31 210 -10 1599 64 162 -9657 134 240 10 170 2486 2911 1400 3800 0 0 0
t 48 442285 31 210 -10 1599 64 163 -9662 134 240 10 170 2486 2911 1400 3800 0 0 0
t 49 442337 31 210 -10 1599 64 163 -9662 134 240 10 170 2486 2911 1400 3800 0 0 0
t 52 442493 31 210 -10 1599 64 163 -9662 134 240 10 170 2486 2911 1400 3800 0 0 0
t 53 442545 31 210 -10 1599 64 163 -9662 134 240 10 170 2486 2911 1400 3800 0 0 0
t 55 442649 31 210 -10 1599 64 163 -9662 134 240 10 170 2486 2911 1400 3800 0 0 0
t 56 442701 31 210 -10 1599 64 163 -9662 134 240 10 170 2486 2911 1400 3800 0 0 0
t 57 442753 31 210 -10 1599 64 163 -9663 134 240 10 170 2486 2911 1400 3800 0 0 0
thdr seq now flags x y h ox oy oh vl vr i2cf cyc posl posr dutl dutr lexc wrng cycovr
t 58 442805 31 210 -10 1599 64 163 -9663 134 240 10 170 2486 2911 1400 3800 0 0 0
t 59 442857 31 210 -10 1599 64 163 -9663 134 240 10 170 2486 2911 1400 3800 0 0 0
t 60 442909 31 210 -10 1599 64 163 -9663 134 240 10 170 2486 2911 1400 3800 0 0 0
t 61 442961 31 210 -10 1599 64 163 -9663 134 240 10 170 2486 2911 1400 3800 0 0 0
t 62 443013 31 210 -10 1599 64 163 -9663 134 240 10 170 2486 2911 1400 3800 0 0 0
t 63 443065 31 210 -10 1599 64 163 -9663 134 240 10 170 2486 2911 1400 3800 0 0 0
t 64 443117 31 210 -10 1599 64 163 -9663 134 240 10 170 2486 2911 1400 3800 0 0 0
t 65 443169 31 210 -10 1599 64 163 -9663 134 240 10 170 2486 2911 1400 3800 0 0 0
t 67 443273 31 210 -10 1599 64 163 -9663 134 240 10 170 2486 2911 1400 3800 0 0 0
t 69 443377 31 210 -10 1599 64 163 -9663 134 240 10 170 2486 2911 1400 3800 0 0 0
t 70 443429 31 210 -10 1599 64 163 -9663 134 240 10 170 2486 2911 1400 3800 0 0 0
