RUN:clearestop -> ESTOP:cleared
STATUS pre: status ready=1 active=0 connL=1 connR=1 otos=1 wedge=0 flags=31 i2cf=118 cyc=5966 tlm=off next=1 done=10 reason=timeout
GET accel -> ack 1 10 timeout
--- rep 1: pose before (19.05,-5.28,48.45) ---
DBG:wifi state=0 ip=- peer=-:0 tcp=0/0 to=4 restarts=0 sent=0 rx=0 drop=0 mdns=0/0 cmd= reply=
ack 2 10 timeout
thdr seq now flags x y h ox oy oh vl vr i2cf cyc posl posr dutl dutr lexc wrng cycovr
t 1 3396027 31 -302 14 104733 190 268 8729 0 0 118 5966 -19134 8700 0 0 0 0 0
t 2 3396079 31 -302 14 104733 190 268 8729 0 0 118 5966 -19134 8700 0 0 0 0 0
t 3 3396135 31 -302 14 104733 190 268 8730 0 0 118 5966 -19134 8700 0 0 0 0 0
t 4 3396191 31 -302 14 104733 190 268 8730 0 0 118 5966 -19134 8700 0 0 0 0 0
t 5 3396247 31 -302 14 104733 190 268 8730 0 0 118 5966 -19134 8700 0 0 0 0 0
t 6 3396303 31 -302 14 104733 190 268 8730 0 0 118 5966 -19134 8700 0 0 0 0 0
t 7 3396359 31 -302 14 104733 190 268 8730 0 0 118 5966 -19134 8700 0 0 0 0 0
t 8 3396415 31 -302 14 104733 190 268 8730 0 0 118 5966 -19134 8700 0 0 0 0 0
t 9 3396471 31 -302 14 104733 190 268 8730 0 0 118 5966 -19134 8700 0 0 0 0 0
t 10 3396527 31 -302 14 104733 190 268 8730 0 0 118 5966 -19134 8700 0 0 0 0 0
t 11 3396583 31 -302 14 104733 190 268 8730 0 0 118 5966 -19134 8700 0 0 0 0 0
t 12 3396639 31 -302 14 104733 190 268 8730 0 0 118 5966 -19134 8700 0 0 0 0 0
TLM FULL #2 ack seen: True
t 13 3396695 31 -302 14 104733 190 268 8730 0 0 118 5966 -19134 8700 0 0 0 0 0
ack 3 10 timeout
t 14 3396763 31 -302 14 104733 190 268 8730 0 0 118 5968 -19134 8700 300 300 0 0 0
t 15 3396835 31 -302 13 104681 190 268 8730 16 0 119 5971 -19120 8700 500 600 0 0 0
t 16 3396907 31 -301 13 104594 190 267 8684 20 0 122 5974 -19097 8700 800 1000 0 0 0
t 17 3396979 31 -299 12 104489 190 267 8684 56 26 123 5977 -19053 8716 1300 1600 0 0 0
t 18 3397051 31 -295 9 104429 190 264 8426 82 72 123 5980 -18981 8772 1600 2500 0 0 0
t 19 3397123 31 -288 3 104429 189 254 8340 118 145 123 5983 -18870 8883 2000 2800 0 0 0
thdr seq now flags x y h ox oy oh vl vr i2cf cyc posl posr dutl dutr lexc wrng cycovr
t 20 3397195 31 -279 -3 104447 189 254 8340 164 171 123 5986 -18731 9027 2400 3100 0 0 0
t 21 3397267 31 -268 -11 104470 186 237 8386 158 206 123 5989 -18564 9200 2600 3400 0 0 0
t 22 3397339 31 -256 -19 104478 183 214 8415 220 200 123 5992 -18375 9391 2600 3300 0 0 0
t 23 3397411 31 -243 -28 104523 183 214 8415 210 210 123 5995 -18189 9589 2500 3200 0 0 0
t 24 3397483 31 -231 -37 104564 180 192 8447 200 230 123 5998 -18003 9786 2400 3300 0 0 0
t 25 3397555 31 -218 -45 104617 180 192 8447 200 220 123 6001 -17820 9983 2400 3200 0 0 0
t 26 3397627 31 -206 -53 104658 178 169 8552 200 191 123 6004 -17642 10172 2400 3000 0 0 0
t 27 3397699 31 -194 -61 104718 175 147 8626 184 217 123 6007 -17464 10366 2400 3000 0 0 0
t 28 3397771 31 -182 -69 104722 175 147 8626 190 200 123 6010 -17284 10547 2400 3100 0 0 0
t 29 3397843 31 -170 -77 104730 173 126 8653 191 190 123 6013 -17103 10730 2400 3000 0 0 0
t 30 3397915 31 -158 -84 104722 171 105 8676 200 194 123 6016 -16920 10911 2500 3100 0 0 0
t 31 3397987 31 -146 -92 104764 171 105 8676 190 210 123 6019 -16745 11097 2500 3000 0 0 0
t 32 3398059 31 -134 -100 104752 170 84 8684 200 194 123 6022 -16564 11275 2500 2900 0 0 0
t 33 3398131 31 -122 -107 104722 168 63 8654 200 184 123 6025 -16381 11450 2500 3100 0 0 0
t 34 3398203 31 -110 -115 104722 168 63 8654 220 204 123 6028 -16192 11639 2500 3000 0 0 0
t 35 3398396 31 -93 -126 104733 165 27 8721 0 0 123 6040 -15934 11900 0 0 0 0 0
t 36 3398451 31 -93 -126 104733 165 27 8721 0 0 123 6040 -15934 11900 0 0 0 0 0
t 37 3398507 31 -93 -126 104733 165 28 8744 0 0 123 6040 -15934 11900 0 0 0 0 0
t 38 3398563 31 -93 -126 104733 165 28 8744 0 0 123 6040 -15934 11900 0 0 0 0 0
thdr seq now flags x y h ox oy oh vl vr i2cf cyc posl posr dutl dutr lexc wrng cycovr
t 39 3398619 31 -93 -126 104733 165 28 8744 0 0 123 6040 -15934 11900 0 0 0 0 0
t 40 3398671 31 -93 -126 104733 165 28 8744 0 0 123 6040 -15934 11900 0 0 0 0 0
t 41 3398727 31 -93 -126 104733 165 28 8744 0 0 123 6040 -15934 11900 0 0 0 0 0
t 42 3398783 31 -93 -126 104733 165 28 8744 0 0 123 6040 -15934 11900 0 0 0 0 0
t 43 3398839 31 -93 -126 104733 165 28 8744 0 0 123 6040 -15934 11900 0 0 0 0 0
t 44 3398895 31 -93 -126 104733 165 28 8744 0 0 123 6040 -15934 11900 0 0 0 0 0
t 45 3398951 31 -93 -126 104733 165 28 8744 0 0 123 6040 -15934 11900 0 0 0 0 0
WHEELS_V 200 200 1500 #3 ack seen: True
t 46 3399007 31 -93 -126 104733 165 28 8744 0 0 123 6040 -15934 11900 0 0 0 0 0
t 47 3399063 31 -93 -126 104733 165 28 8744 0 0 123 6040 -15934 11900 0 0 0 0 0
t 48 3399119 31 -93 -126 104733 165 28 8744 0 0 123 6040 -15934 11900 0 0 0 0 0
t 49 3399175 31 -93 -126 104733 165 28 8745 0 0 123 6040 -15934 11900 0 0 0 0 0
t 50 3399231 31 -93 -126 104733 165 28 8745 0 0 123 6040 -15934 11900 0 0 0 0 0
t 51 3399287 31 -93 -126 104733 165 28 8745 0 0 123 6040 -15934 11900 0 0 0 0 0
t 52 3399343 31 -93 -126 104733 165 28 8745 0 0 123 6040 -15934 11900 0 0 0 0 0
t 53 3399399 31 -93 -126 104733 165 28 8745 0 0 123 6040 -15934 11900 0 0 0 0 0
t 54 3399455 31 -93 -126 104733 165 28 8745 0 0 123 6040 -15934 11900 0 0 0 0 0
