1787958517.369 >>> HELLO
1787958517.391 device NEZHA2 robot vevov 1198504156
1787958518.399 >>> VER
1787958518.411 ver 0.20260827.2
1787958519.419 >>> STATUS
1787958519.444 status ready=0 active=0 connL=0 connR=0 otos=1 wedge=0 flags=0 i2cf=0 cyc=0 tlm=off next=1 done=0 reason=none
1787958520.449 >>> GET max_duty #1
1787958520.467 ack 1 0 none
1787958520.467 get max_duty 100.000008
1787958521.472 >>> GET full_duty_velocity #2
1787958521.490 ack 2 0 none
1787958521.492 get full_duty_velocity 10795.000977
1787958522.500 >>> GET pid_kp #3
1787958522.515 ack 3 0 none
1787958522.515 get pid_kp 0.000000
1787958523.522 >>> GET pid_ki #4
1787958523.541 ack 4 0 none
1787958523.541 get pid_ki 6.000000
1787958524.548 >>> GET pid_i_max #5
1787958524.563 ack 5 0 none
1787958524.563 get pid_i_max 765.600037
1787958525.567 >>> GET pid_max #6
1787958525.579 ack 6 0 none
1787958525.579 get pid_max 1276.000000
1787958526.591 >>> GET twist_hold_gain #7
1787958526.611 ack 7 0 none
1787958526.611 get twist_hold_gain 2.000000
1787958527.619 >>> TLM FULL #8
1787958527.637 ack 8 0 none
1787958527.675 thdr seq now flags x y h ox oy oh vl vr i2cf cyc posl posr dutl dutr lexc wrng cycovr
1787958527.676 t 1 351751 0 0 0 0 52 0 -101 0 0 0 0 0 0 0 0 0 0 0
1787958527.721 t 2 351807 0 0 0 0 52 0 -101 0 0 0 0 0 0 0 0 0 0 0
1787958527.779 t 3 351863 0 0 0 0 52 0 -101 0 0 0 0 0 0 0 0 0 0 0
1787958527.846 t 4 351919 0 0 0 0 52 0 -101 0 0 0 0 0 0 0 0 0 0 0
1787958527.888 t 5 351975 0 0 0 0 52 0 -101 0 0 0 0 0 0 0 0 0 0 0
1787958527.956 t 6 352031 0 0 0 0 52 0 -101 0 0 0 0 0 0 0 0 0 0 0
1787958527.997 t 7 352087 0 0 0 0 52 0 -101 0 0 0 0 0 0 0 0 0 0 0
1787958528.056 t 8 352143 0 0 0 0 52 0 -101 0 0 0 0 0 0 0 0 0 0 0
1787958528.111 t 9 352199 0 0 0 0 52 0 -101 0 0 0 0 0 0 0 0 0 0 0
1787958528.167 t 10 352255 0 0 0 0 52 0 -101 0 0 0 0 0 0 0 0 0 0 0
1787958528.221 t 11 352311 0 0 0 0 52 0 -101 0 0 0 0 0 0 0 0 0 0 0
1787958528.287 t 12 352367 0 0 0 0 52 0 -101 0 0 0 0 0 0 0 0 0 0 0
