1787956216.602 >>> HELLO
1787956216.636 device NEZHA2 robot gopiv 2175407711
1787956217.660 >>> VER
1787956217.696 ver 0.20260827.2
1787956218.708 >>> STATUS
1787956218.735 status ready=0 active=0 connL=0 connR=0 otos=0 wedge=0 flags=0 i2cf=0 cyc=0 tlm=off next=1 done=0 reason=none
1787956219.744 >>> TLM POSE #1
1787956219.798 ack 1 0 none
1787956219.809 thdr seq now flags x y h ox oy oh vl vr i2cf
1787956219.811 t 1 890681 0 0 0 0 0 0 0 0 0 0
1787956219.866 t 2 890737 0 0 0 0 0 0 0 0 0 0
1787956219.921 t 3 890793 0 0 0 0 0 0 0 0 0 0
1787956219.978 t 4 890849 0 0 0 0 0 0 0 0 0 0
1787956220.033 t 5 890905 0 0 0 0 0 0 0 0 0 0
1787956220.086 t 6 890961 0 0 0 0 0 0 0 0 0 0
1787956220.148 t 7 891017 0 0 0 0 0 0 0 0 0 0
1787956220.201 t 8 891073 0 0 0 0 0 0 0 0 0 0
1787956220.259 t 9 891129 0 0 0 0 0 0 0 0 0 0
1787956220.313 t 10 891185 0 0 0 0 0 0 0 0 0 0
1787956220.369 t 11 891241 0 0 0 0 0 0 0 0 0 0
1787956220.425 t 12 891297 0 0 0 0 0 0 0 0 0 0
1787956220.488 t 13 891353 0 0 0 0 0 0 0 0 0 0
1787956220.537 t 14 891409 0 0 0 0 0 0 0 0 0 0
1787956220.594 t 15 891465 0 0 0 0 0 0 0 0 0 0
1787956220.650 t 16 891521 0 0 0 0 0 0 0 0 0 0
1787956220.711 t 17 891577 0 0 0 0 0 0 0 0 0 0
1787956220.758 t 18 891633 0 0 0 0 0 0 0 0 0 0
1787956220.817 t 19 891689 0 0 0 0 0 0 0 0 0 0
1787956220.875 thdr seq now flags x y h ox oy oh vl vr i2cf
1787956220.875 t 20 891745 0 0 0 0 0 0 0 0 0 0
1787956220.928 t 21 891801 0 0 0 0 0 0 0 0 0 0
1787956221.024 t 22 891857 0 0 0 0 0 0 0 0 0 0
1787956221.044 t 23 891913 0 0 0 0 0 0 0 0 0 0
1787956221.111 t 24 891969 0 0 0 0 0 0 0 0 0 0
1787956221.177 t 25 892025 0 0 0 0 0 0 0 0 0 0
1787956221.214 t 26 892081 0 0 0 0 0 0 0 0 0 0
1787956221.268 >>> WHEELS_V 100 100 500 #2
1787956221.270 t 27 892137 0 0 0 0 0 0 0 0 0 0
1787956221.278 ack 2 0 none
1787956221.340 t 28 892205 31 0 0 23 0 0 0 6 23 0
1787956221.413 t 29 892277 31 3 0 -105 0 0 0 56 20 0
1787956221.490 t 30 892349 31 7 0 -218 0 0 0 82 56 0
1787956221.555 t 31 892421 31 13 0 -241 0 0 0 82 102 0
1787956221.622 t 32 892493 31 21 -1 -252 0 0 0 108 108 0
1787956221.695 t 33 892565 31 28 -1 -218 0 0 0 118 128 0
1787956221.766 t 34 892637 31 36 -1 -169 0 0 0 108 108 0
1787956221.822 t 35 892693 31 39 -1 -147 0 0 0 108 128 0
1787956221.877 t 36 892749 31 39 -1 -147 0 0 0 108 128 0
1787956221.933 t 37 892805 31 39 -1 -147 0 0 0 108 128 0
1787956221.991 t 38 892861 31 39 -1 -147 0 0 0 108 128 0
1787956222.047 thdr seq now flags x y h ox oy oh vl vr i2cf
1787956222.047 t 39 892917 31 39 -1 -147 0 0 0 108 128 0
1787956222.099 t 40 892973 31 39 -1 -147 0 0 0 108 128 0
1787956222.156 t 41 893029 31 39 -1 -147 0 0 0 108 128 0
1787956222.213 t 42 893085 31 39 -1 -147 0 0 0 108 128 0
1787956222.269 t 43 893141 31 39 -1 -147 0 0 0 108 128 0
1787956222.333 t 44 893197 31 39 -1 -147 0 0 0 108 128 0
1787956222.385 t 45 893255 31 39 -1 -147 0 0 0 108 128 0
1787956222.437 t 46 893309 31 39 -1 -147 0 0 0 108 128 0
1787956222.488 t 47 893359 31 39 -1 -147 0 0 0 108 128 0
1787956222.541 t 48 893413 31 39 -1 -147 0 0 0 108 128 0
1787956222.589 t 49 893463 31 39 -1 -147 0 0 0 108 128 0
1787956222.645 t 50 893517 31 39 -1 -147 0 0 0 108 128 0
1787956222.694 t 51 893567 31 39 -1 -147 0 0 0 108 128 0
1787956222.749 t 52 893621 31 39 -1 -147 0 0 0 108 128 0
1787956222.802 t 53 893671 31 39 -1 -147 0 0 0 108 128 0
1787956222.853 t 54 893725 31 39 -1 -147 0 0 0 108 128 0
1787956222.904 t 55 893775 31 39 -1 -147 0 0 0 108 128 0
1787956222.956 t 56 893829 31 39 -1 -147 0 0 0 108 128 0
1787956223.007 t 57 893879 31 39 -1 -147 0 0 0 108 128 0
1787956223.061 thdr seq now flags x y h ox oy oh vl vr i2cf
1787956223.063 t 58 893933 31 39 -1 -147 0 0 0 108 128 0
1787956223.111 t 59 893983 31 39 -1 -147 0 0 0 108 128 0
1787956223.165 t 60 894037 31 39 -1 -147 0 0 0 108 128 0
1787956223.214 t 61 894087 31 39 -1 -147 0 0 0 108 128 0
1787956223.269 t 62 894141 31 39 -1 -147 0 0 0 108 128 0
1787956223.317 t 63 894191 31 39 -1 -147 0 0 0 108 128 0
1787956223.375 t 64 894245 31 39 -1 -147 0 0 0 108 128 0
1787956223.421 >>> STATUS
