1787956325.340 >>> HELLO
1787956325.355 device NEZHA2 robot gopiv 2175407711
1787956326.360 >>> GET max_duty #1
1787956326.380 ack 1 4 timeout
1787956326.380 get max_duty 100.000008
1787956327.385 >>> GET full_duty_velocity #2
1787956327.405 ack 2 4 timeout
1787956327.408 get full_duty_velocity 10795.000977
1787956328.413 >>> GET pid_ki #3
1787956328.426 ack 3 4 timeout
1787956328.428 get pid_ki 6.000000
1787956329.432 >>> GET pid_i_max #4
1787956329.446 ack 4 4 timeout
1787956329.446 get pid_i_max 765.600037
1787956330.530 >>> GET pid_kp #5
1787956330.547 ack 5 4 timeout
1787956330.548 get pid_kp 0.000000
1787956331.582 >>> GET pid_kaff #6
1787956331.602 ack 6 4 timeout
1787956331.602 err 1 #6
1787956332.619 >>> GET pid_max #7
1787956332.639 ack 7 4 timeout
1787956332.639 get pid_max 1276.000000
1787956333.657 >>> GET twist_hold_gain #8
1787956333.679 ack 8 4 timeout
1787956333.679 get twist_hold_gain 2.000000
1787956334.682 >>> TLM FULL #9
1787956334.701 ack 9 4 timeout
1787956334.705 thdr seq now flags x y h ox oy oh vl vr i2cf cyc posl posr dutl dutr lexc wrng cycovr
1787956334.713 t 83 1005577 31 533 512 -4056 0 0 0 -759 -758 0 271 3394 2316 -10000 -10000 0 0 0
1787956334.767 t 84 1005629 31 533 512 -4056 0 0 0 -759 -758 0 271 3394 2316 -10000 -10000 0 0 0
1787956334.806 t 85 1005679 31 533 512 -4056 0 0 0 -759 -758 0 271 3394 2316 -10000 -10000 0 0 0
1787956334.869 t 86 1005731 31 533 512 -4056 0 0 0 -759 -758 0 271 3394 2316 -10000 -10000 0 0 0
1787956334.924 t 87 1005783 31 533 512 -4056 0 0 0 -759 -758 0 271 3394 2316 -10000 -10000 0 0 0
1787956334.963 t 88 1005835 31 533 512 -4056 0 0 0 -759 -758 0 271 3394 2316 -10000 -10000 0 0 0
1787956335.015 t 89 1005887 31 533 512 -4056 0 0 0 -759 -758 0 271 3394 2316 -10000 -10000 0 0 0
1787956335.076 t 90 1005939 31 533 512 -4056 0 0 0 -759 -758 0 271 3394 2316 -10000 -10000 0 0 0
1787956335.118 t 91 1005991 31 533 512 -4056 0 0 0 -759 -758 0 271 3394 2316 -10000 -10000 0 0 0
1787956335.175 t 92 1006043 31 533 512 -4056 0 0 0 -759 -758 0 271 3394 2316 -10000 -10000 0 0 0
1787956335.230 t 93 1006095 31 533 512 -4056 0 0 0 -759 -758 0 271 3394 2316 -10000 -10000 0 0 0
1787956335.279 t 94 1006147 31 533 512 -4056 0 0 0 -759 -758 0 271 3394 2316 -10000 -10000 0 0 0
1787956335.327 t 95 1006199 31 533 512 -4056 0 0 0 -759 -758 0 271 3394 2316 -10000 -10000 0 0 0
1787956335.381 t 96 1006251 31 533 512 -4056 0 0 0 -759 -758 0 271 3394 2316 -10000 -10000 0 0 0
1787956335.431 t 97 1006303 31 533 512 -4056 0 0 0 -759 -758 0 271 3394 2316 -10000 -10000 0 0 0
1787956335.485 t 98 1006355 31 533 512 -4056 0 0 0 -759 -758 0 271 3394 2316 -10000 -10000 0 0 0
1787956335.534 t 99 1006407 31 533 512 -4056 0 0 0 -759 -758 0 271 3394 2316 -10000 -10000 0 0 0
1787956335.588 t 100 1006459 31 533 512 -4056 0 0 0 -759 -758 0 271 3394 2316 -10000 -10000 0 0 0
1787956335.639 t 101 1006511 31 533 512 -4056 0 0 0 -759 -758 0 271 3394 2316 -10000 -10000 0 0 0
1787956335.687 >>> WHEELS_V 2000 2000 3000 #10
1787956335.692 thdr seq now flags x y h ox oy oh vl vr i2cf cyc posl posr dutl dutr lexc wrng cycovr
1787956335.697 t 102 1006563 31 533 512 -4056 0 0 0 -759 -758 0 271 3394 2316 -10000 -10000 0 0 0
1787956335.702 ack 10 4 timeout
1787956335.761 t 103 1006633 31 386 604 -2435 0 0 0 48 31 0 273 983 336 5000 5000 0 0 0
1787956335.832 t 104 1006705 31 406 595 -2581 0 0 0 493 430 0 276 1283 597 10000 10000 0 0 0
1787956335.903 t 105 1006777 31 444 576 -2863 0 0 0 693 584 0 279 1861 1100 10000 10000 0 0 0
