commanded_total_cm,leg_idx,leg_cmd_cm,cam_x0_cm,cam_y0_cm,cam_yaw0_rad,cam_x1_cm,cam_y1_cm,cam_yaw1_rad,enc_x0_mm,enc_y0_mm,enc_h0_cdeg,enc_x1_mm,enc_y1_mm,enc_h1_cdeg,otos_x0_mm,otos_y0_mm,otos_h0_cdeg,otos_x1_mm,otos_y1_mm,otos_h1_cdeg,posl0,posr0,posl1,posr1,cyc0,cyc1,i2cf0,i2cf1,t_unix
10.0,0,10.0,49.6,30.6,3.104,39.8,30.4,3.142,-38,-329,37376,60,-304,37455,-1,-302,837,95,-288,973,20989,32772,22392,34200,5058,5311,2,2,1787938941.4
15.0,0,15.0,50.2,29.6,3.09,35.3,30.1,3.087,-42,-328,37227,106,-295,37252,0,-292,780,146,-276,726,23959,35695,26073,37817,6325,6578,3,3,1787938989.31
20.0,0,20.0,49.8,30.5,3.097,30.2,31.1,3.058,-40,-329,37395,155,-280,37392,0,-302,786,191,-274,834,28217,40006,31034,42822,7589,7842,3,3,1787939032.25
25.0,0,25.0,50.0,28.9,3.133,25.4,28.4,3.141,-43,-326,37658,197,-253,37639,0,-286,1071,241,-250,1012,33850,45722,37373,49239,8601,8854,3,3,1787939068.11
30.0,0,30.0,49.8,29.4,3.097,20.3,30.1,3.059,-43,-319,37573,245,-237,37570,-1,-291,861,287,-252,868,40928,52773,45145,56989,9866,10119,3,3,1787939111.31
35.0,0,35.0,50.1,29.8,3.079,15.7,31.8,3.014,-38,-343,74210,287,-211,74207,0,-308,1178,334,-248,1075,44089,67484,49012,72406,11889,12142,4,5,1787939180.02
40.0,0,40.0,49.7,29.8,3.137,10.3,30.9,3.148,-22,-366,111129,320,-158,111199,6,-320,1666,381,-220,1620,48289,83323,53895,88951,14166,14419,5,5,1787939256.91
45.0,0,45.0,49.9,30.2,3.113,5.7,30.6,3.149,-5,-397,148083,336,-102,148118,7,-333,2043,419,-190,2054,53839,100523,60156,106851,15939,16192,6,6,1787939322.87
50.0,0,50.0,49.4,31.4,3.087,0.4,32.7,3.061,32,-428,184885,361,-51,184885,19,-357,2350,464,-171,2323,60859,119145,67884,126170,17713,17967,6,7,1787939383.74
55.0,0,55.0,49.6,31.8,3.098,-4.4,33.9,3.017,65,-456,221725,363,7,221699,22,-372,2712,498,-140,2604,69237,139137,76973,146865,19485,19738,7,7,1787939444.94
60.0,0,60.0,50.3,29.9,3.108,-8.7,30.4,3.15,27,-438,222086,319,86,222131,-3,-354,2875,511,-87,2907,85248,155262,93668,163696,21764,22017,7,7,1787939520.71
65.0,0,65.0,49.5,29.1,3.141,-14.2,29.4,3.132,73,-452,259059,288,161,259078,10,-363,3320,544,-35,3295,96273,177943,105395,187071,23536,23789,10,10,1787939579.66
70.0,0,70.0,50.6,29.8,3.123,-18.2,30.7,3.164,129,-478,259199,345,188,259209,20,-392,3392,594,-36,3289,114626,196340,124457,206174,25560,25897,11,11,1787939649.93
75.0,0,75.0,50.3,28.8,3.126,-23.3,32.3,3.02,174,-486,259269,397,231,259234,34,-399,3397,651,-24,3204,134296,216032,144835,226560,27921,28258,12,12,1787939727.96
80.0,0,80.0,49.9,29.4,3.099,-28.6,31.2,3.104,152,-475,259615,344,302,259596,27,-400,3483,674,19,3385,155329,237174,166568,248407,30282,30621,14,14,1787939809.63
