cmd_deg,dir,cam_x0_cm,cam_y0_cm,cam_yaw0_rad,cam_x1_cm,cam_y1_cm,cam_yaw1_rad,enc_h0_cdeg,enc_h1_cdeg,enc_x0_mm,enc_y0_mm,enc_x1_mm,enc_y1_mm,otos_h0_cdeg,otos_h1_cdeg,otos_x0_mm,otos_y0_mm,otos_x1_mm,otos_y1_mm,posl0,posr0,posl1,posr1,cyc0,cyc1,i2cf0,i2cf1,t_unix
10.0,1,51.0,28.8,0.884,51.2,28.7,1.098,1025944,1027134,-272,285,-273,285,540,1756,626,-633,627,-632,887060,1210493,886891,1210699,114111,114365,97,97,1787943177.63
10.0,-1,51.4,28.7,1.068,51.6,29.5,0.908,1027134,1026021,-273,285,-281,284,1757,681,627,-632,635,-631,886891,1210699,887180,1210637,114365,114622,97,97,1787943188.11
15.0,1,51.6,29.5,0.916,51.5,29.5,1.241,1026021,1027848,-281,284,-282,284,682,2479,635,-631,635,-631,887180,1210637,886902,1210935,114622,114874,97,97,1787943198.73
15.0,-1,51.5,29.5,1.237,52.1,30.2,0.904,1027848,1026113,-282,284,-290,283,2480,744,635,-631,644,-629,886902,1210935,887296,1210782,114874,115127,97,97,1787943209.63
20.0,1,52.1,30.3,0.911,52.1,30.3,1.318,1026113,1028448,-290,283,-291,282,745,3113,644,-629,644,-628,887296,1210782,886943,1211165,115127,115380,97,97,1787943220.81
20.0,-1,52.1,30.3,1.316,52.3,31.2,0.929,1028448,1026198,-291,282,-299,280,3114,791,644,-628,651,-627,886943,1211165,887413,1210926,115380,115635,97,97,1787943231.73
25.0,1,52.4,31.1,0.919,52.4,31.1,1.431,1026198,1029126,-299,280,-300,280,792,3738,651,-627,652,-626,887413,1210926,886968,1211404,115635,115889,97,97,1787943242.62
25.0,-1,52.3,31.1,1.452,52.7,31.9,0.941,1029126,1026351,-300,280,-308,277,3739,942,652,-626,659,-624,886968,1211404,887521,1211082,115889,116143,97,97,1787943254.09
30.0,1,50.0,30.0,3.663,49.8,30.1,4.222,1042246,1045605,-277,268,-276,268,16651,-15923,627,-621,625,-624,885488,1214060,884979,1214610,116649,116903,97,97,1787943283.26
30.0,-1,49.8,30.0,4.227,49.4,29.2,3.629,1045605,1042245,-276,268,-266,269,-15922,16633,625,-624,617,-623,884979,1214610,885649,1214221,116903,117156,97,97,1787943293.72
35.0,1,49.4,29.1,3.66,49.3,29.1,4.331,1042245,1046131,-266,269,-264,268,16635,-15401,617,-623,616,-625,885649,1214221,885063,1214860,117156,117409,97,97,1787943305.49
35.0,-1,49.2,29.1,4.321,48.7,28.4,3.647,1046131,1042287,-264,268,-256,270,-15399,16720,616,-625,608,-624,885063,1214860,885791,1214376,117409,117662,97,97,1787943319.03
40.0,1,48.7,28.4,3.644,48.7,28.3,4.416,1042287,1046642,-256,270,-254,269,16721,-14877,608,-624,607,-627,885791,1214376,885129,1215087,117662,117915,97,97,1787943329.6
40.0,-1,48.7,28.3,4.418,48.4,27.4,3.684,1046642,1042385,-254,269,-247,271,-14876,16807,607,-627,601,-626,885129,1215087,885910,1214526,117915,118168,97,97,1787943340.46
45.0,1,48.3,27.5,3.685,48.3,27.5,4.495,1042385,1047153,-247,271,-245,271,16808,-14391,601,-626,601,-628,885910,1214526,885174,1215293,118168,118421,97,97,1787943350.93
45.0,-1,48.3,27.5,4.496,47.9,26.8,3.664,1047153,1042410,-245,271,-238,274,-14391,16852,601,-628,595,-628,885174,1215293,886030,1214654,118421,118674,97,97,1787943361.49
50.0,1,49.5,30.3,1.023,49.5,30.1,1.908,1026693,1031876,-277,266,-278,267,1324,6435,641,-613,641,-613,889230,1212899,888418,1213721,119180,119433,97,97,1787943388.84
50.0,-1,49.9,30.2,1.848,49.6,30.8,0.98,1031876,1026604,-278,267,-281,263,6436,1241,641,-613,646,-611,888418,1213721,889324,1212965,119433,119686,97,97,1787943399.54
55.0,1,49.5,30.8,0.991,49.7,30.7,1.922,1026604,1032219,-281,263,-282,263,1242,6728,646,-611,644,-611,889324,1212965,888446,1213857,119686,119939,97,97,1787943410.49
55.0,-1,50.0,30.8,1.871,49.5,31.3,0.954,1032219,1026465,-282,263,-284,259,6729,1116,644,-611,649,-609,888446,1213857,889418,1213015,119939,120192,97,97,1787943421.05
60.0,1,49.4,31.3,0.96,49.4,31.1,1.995,1026465,1032491,-284,259,-285,259,1117,7056,649,-609,648,-609,889418,1213015,888474,1213971,120192,120445,97,97,1787943431.98
60.0,-1,49.6,31.2,1.966,49.3,31.7,0.922,1032491,1026262,-285,259,-287,255,7057,975,648,-609,652,-606,888474,1213971,889516,1213049,120445,120701,97,97,1787943445.53
65.0,1,49.3,31.8,0.929,49.2,31.5,2.042,1026262,1032790,-287,255,-287,255,977,7324,652,-606,651,-607,889516,1213049,888491,1214082,120701,120953,97,97,1787943456.33
65.0,-1,49.2,31.5,2.038,49.0,32.1,0.899,1032790,1026065,-287,255,-289,251,7325,768,651,-607,655,-605,888491,1214082,889605,1213076,120953,121206,97,97,1787943467.25
70.0,1,49.0,32.0,0.883,49.0,31.9,2.085,1026065,1033082,-289,251,-289,252,769,7647,655,-605,654,-606,889605,1213076,888499,1214182,121206,121459,97,97,1787943478.37
70.0,-1,49.1,32.0,2.064,48.8,32.4,0.873,1033082,1025928,-289,252,-290,248,7648,620,654,-606,658,-604,888499,1214182,889668,1213096,121459,121714,97,97,1787943489.33
75.0,1,48.8,32.3,0.865,48.9,32.3,2.119,1025928,1033443,-290,248,-290,248,621,8024,658,-604,657,-604,889668,1213096,888485,1214282,121714,121966,97,97,1787943499.86
75.0,-1,49.0,32.4,2.096,48.4,32.7,0.848,1033443,1025811,-290,248,-291,244,8025,467,657,-604,661,-602,888485,1214282,889730,1213121,121966,122219,97,97,1787943510.57
80.0,1,48.4,32.8,0.858,48.7,32.7,2.157,1025811,1033859,-291,244,-292,245,468,8376,661,-602,660,-603,889730,1213121,888468,1214396,122219,122472,97,97,1787943521.8
80.0,-1,48.6,32.6,2.189,48.2,32.9,0.814,1033859,1025742,-292,245,-291,241,8377,417,660,-603,665,-601,888468,1214396,889785,1213154,122472,122725,97,97,1787943533.32
85.0,1,48.2,33.0,0.814,48.5,33.0,2.218,1025742,1034237,-291,241,-292,241,420,8841,665,-601,661,-601,889785,1213154,888446,1214493,122725,122977,97,97,1787943544.71
85.0,-1,48.2,32.8,2.266,47.6,33.2,0.846,1034237,1025634,-292,241,-290,237,8842,357,661,-601,665,-599,888446,1214493,889830,1213165,122977,123230,97,97,1787943555.22
90.0,1,49.9,30.1,-1.057,49.9,30.1,0.545,1015071,1024147,-280,273,-279,273,-10131,-1121,657,-643,656,-640,892066,1212071,890635,1213501,123736,123989,97,97,1787943583.66
90.0,-1,49.9,30.2,0.552,50.2,30.4,-1.041,1024147,1015091,-279,273,-282,272,-1119,-10104,656,-640,655,-646,890635,1213501,892088,1212099,123989,124242,97,98,1787943595.13
100.0,1,50.2,30.4,-1.044,50.1,30.3,0.685,1015091,1025152,-282,272,-281,272,-10102,-160,655,-646,654,-642,892088,1212099,890496,1213679,124242,124495,98,99,1787943610.07
100.0,-1,50.2,30.2,0.665,50.5,30.8,-0.998,1025152,1015125,-281,272,-285,271,-156,-10066,654,-642,652,-649,890496,1213679,892099,1212121,124495,124748,99,99,1787943628.7
110.0,1,50.5,30.8,-0.997,50.1,30.7,0.881,1015125,1026218,-285,271,-283,272,-10064,893,652,-649,652,-644,892099,1212121,890343,1213862,124748,125001,99,99,1787943643.86
110.0,-1,50.1,30.7,0.873,50.5,31.1,-1.016,1026218,1015135,-283,272,-286,270,896,-10083,652,-644,650,-651,890343,1213862,892118,1212143,125001,125254,99,99,1787943657.57
120.0,1,50.5,31.1,-1.017,50.2,31.1,1.044,1015135,1027160,-286,270,-285,271,-10076,1839,651,-651,650,-646,892118,1212143,890216,1214032,125254,125508,99,99,1787943672.1
120.0,-1,50.1,31.1,1.05,50.2,31.4,-1.072,1027160,1015125,-285,271,-288,268,1841,-10042,650,-646,649,-653,890216,1214032,892135,1212157,125508,125761,99,99,1787943682.9
130.0,1,50.4,31.5,-1.018,50.0,31.4,1.212,1015125,1028150,-288,268,-287,269,-10040,2787,649,-653,648,-648,892135,1212157,890068,1214196,125761,126014,99,99,1787943693.72
130.0,-1,50.1,31.4,1.202,50.1,31.8,-1.076,1028150,1015071,-287,269,-289,266,2789,-10130,648,-648,647,-656,890068,1214196,892152,1212157,126014,126267,99,99,1787943704.22
140.0,1,50.2,31.8,-1.073,49.9,31.7,1.362,1015071,1029123,-289,266,-288,267,-10127,3713,647,-656,645,-650,892152,1212157,889930,1214365,126267,126520,99,99,1787943714.69
140.0,-1,49.9,31.7,1.361,50.1,32.2,-1.056,1029123,1015052,-288,267,-290,264,3715,-10140,645,-650,644,-658,889930,1214365,892166,1212165,126520,126772,99,99,1787943725.2
150.0,1,50.2,32.2,-1.035,49.8,32.1,1.515,1015052,1030087,-290,264,-288,265,-10139,4690,644,-658,643,-652,892166,1212165,889793,1214532,126772,127025,99,100,1787943735.56
150.0,-1,49.9,32.1,1.512,49.9,32.7,-1.048,1030087,1015017,-288,265,-290,260,4691,-10167,643,-652,643,-659,889793,1214532,892188,1212176,127025,127278,100,100,1787943746.16
160.0,1,49.7,32.6,-1.084,49.5,32.4,1.68,1015017,1031035,-290,260,-289,261,-10166,5656,643,-659,640,-655,892188,1212176,889655,1214693,127278,127531,100,101,1787943756.6
160.0,-1,49.5,32.4,1.683,49.6,32.9,-1.066,1031035,1014991,-289,261,-290,258,5657,-10215,640,-655,640,-662,889655,1214693,892202,1212182,127531,127783,101,101,1787943766.97
170.0,1,49.9,30.0,-1.531,49.4,29.8,1.384,1012191,1029250,-269,277,-266,278,-12938,3911,621,-685,618,-678,893046,1212143,890346,1214821,128289,128542,102,103,1787943794.16
170.0,-1,49.3,29.8,1.39,49.6,30.2,-1.541,1029250,1012181,-266,278,-268,274,3912,-12956,618,-678,615,-687,890346,1214821,893052,1212146,128542,128795,103,103,1787943805.27
180.0,1,49.8,30.3,-1.515,49.1,30.1,1.537,1012181,1030246,-268,274,-266,274,-12955,4839,615,-687,613,-680,893052,1212146,890196,1214985,128795,129047,103,103,1787943815.62
