1788576548.184 ack 1 0 none
1788576548.184 DBG:wifi state=0 ip=- peer=-:0 tcp=0/0 to=4 restarts=0 sent=0 rx=0 drop=0 mdns=0/0 cmd= reply=
1788576548.184 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=25 cyc=127 tlm=off next=2 done=1 reason=stop
1788576548.508 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=25 cyc=127 tlm=off next=2 done=1 reason=stop
1788576548.746 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=25 cyc=127 tlm=off next=2 done=1 reason=stop
1788576548.978 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=25 cyc=127 tlm=off next=2 done=1 reason=stop
1788576549.216 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=25 cyc=127 tlm=off next=2 done=1 reason=stop
1788576549.464 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=25 cyc=127 tlm=off next=2 done=1 reason=stop
1788576549.694 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=25 cyc=127 tlm=off next=2 done=1 reason=stop
1788576549.876 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=25 cyc=127 tlm=off next=2 done=1 reason=stop
1788576549.936 ack 2 1 stop
1788576549.936 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=25 cyc=128 tlm=off next=3 done=1 reason=stop
1788576550.253 status ready=1 active=1 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=25 cyc=133 tlm=off next=3 done=1 reason=stop
1788576550.336 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=25 cyc=146 tlm=off next=3 done=2 reason=stop
1788576550.614 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=25 cyc=146 tlm=off next=3 done=2 reason=stop
1788576550.849 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=25 cyc=146 tlm=off next=3 done=2 reason=stop
1788576551.096 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=25 cyc=146 tlm=off next=3 done=2 reason=stop
1788576551.334 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=25 cyc=146 tlm=off next=3 done=2 reason=stop
1788576551.573 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=25 cyc=146 tlm=off next=3 done=2 reason=stop
1788576551.820 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=25 cyc=146 tlm=off next=3 done=2 reason=stop
1788576552.048 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=25 cyc=146 tlm=off next=3 done=2 reason=stop
1788576552.270 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=25 cyc=146 tlm=off next=3 done=2 reason=stop
1788576552.496 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=25 cyc=146 tlm=off next=3 done=2 reason=stop
1788576552.733 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=25 cyc=146 tlm=off next=3 done=2 reason=stop
1788576552.959 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=25 cyc=146 tlm=off next=3 done=2 reason=stop
1788576553.198 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=25 cyc=146 tlm=off next=3 done=2 reason=stop
1788576553.422 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=25 cyc=146 tlm=off next=3 done=2 reason=stop
1788576553.661 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=25 cyc=146 tlm=off next=3 done=2 reason=stop
1788576553.886 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=25 cyc=146 tlm=off next=3 done=2 reason=stop
1788576554.113 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=25 cyc=146 tlm=off next=3 done=2 reason=stop
1788576554.338 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=25 cyc=146 tlm=off next=3 done=2 reason=stop
1788576554.396 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=25 cyc=146 tlm=off next=3 done=2 reason=stop
1788576554.693 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=25 cyc=146 tlm=off next=3 done=2 reason=stop
1788576554.923 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=25 cyc=146 tlm=off next=3 done=2 reason=stop
1788576555.156 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=25 cyc=146 tlm=off next=3 done=2 reason=stop
1788576555.397 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=25 cyc=146 tlm=off next=3 done=2 reason=stop
1788576555.622 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=25 cyc=146 tlm=off next=3 done=2 reason=stop
1788576555.846 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=25 cyc=146 tlm=off next=3 done=2 reason=stop
1788576555.984 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=25 cyc=146 tlm=off next=3 done=2 reason=stop
1788576556.225 ack 3 2 stop
1788576556.225 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=25 cyc=147 tlm=off next=4 done=2 reason=stop
1788576556.474 status ready=1 active=1 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=26 cyc=157 tlm=off next=4 done=2 reason=stop
1788576556.711 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=26 cyc=169 tlm=off next=4 done=3 reason=stop
1788576556.937 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=26 cyc=169 tlm=off next=4 done=3 reason=stop
1788576557.165 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=26 cyc=169 tlm=off next=4 done=3 reason=stop
1788576557.402 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=26 cyc=169 tlm=off next=4 done=3 reason=stop
1788576557.647 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=26 cyc=169 tlm=off next=4 done=3 reason=stop
1788576557.862 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=26 cyc=169 tlm=off next=4 done=3 reason=stop
1788576558.087 DBG:wifi state=0 ip=- peer=-:0 tcp=0/0 to=4 restarts=0 sent=0 rx=0 drop=0 mdns=0/0 cmd= reply=
1788576558.087 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=26 cyc=169 tlm=off next=4 done=3 reason=stop
1788576558.309 status ready=1 active=0 connL=1 connR=1 otos=0 wedge=0 flags=31 i2cf=26 cyc=169 tlm=off next=4 done=3 reason=stop
