leg,commanded_mm,cruise,id,reason,cam_len_mm,len_err_mm,lateral_mm,dheading_deg,x0,y0,x1,y1,peak_v,first_moving_v,max_accel,min_accel,tail_monotone,frames
0,600,100,6,stop,593.4,-6.6,-31.0,-4.16,-26.96,-2.62,32.35,-4.43,118,15.5,637.5,-388.8888888888889,False,290
1,-600,100,7,stop,593.5,-6.5,19.0,3.66,32.34,-4.45,-26.99,-3.19,118,59.0,250.0,-476.9230769230769,False,37
2,600,100,8,stop,593.7,-6.3,-18.7,-1.86,-27.0,-3.19,32.37,-4.38,0,,,,True,1
3,-600,100,9,stop,594.3,-5.7,-4.4,2.47,32.36,-4.36,-27.05,-3.09,0,,,,True,1
4,600,100,10,stop,593.2,-6.8,-28.4,-1.26,-27.06,-3.1,32.25,-4.26,,,,,True,0
5,-600,100,11,stop,594.4,-5.6,-13.5,0.51,32.24,-4.27,-27.19,-3.15,0,,,,True,1
6,600,100,12,stop,591.4,-8.6,-22.2,1.35,-27.18,-3.15,31.95,-4.49,92,92.0,,,True,2
7,-600,100,13,stop,593.4,-6.6,-28.2,-0.24,31.95,-4.5,-27.38,-3.78,,,,,True,0
8,600,100,14,stop,594.2,-5.8,-22.4,-0.82,-27.36,-3.84,32.04,-5.04,,,,,True,0
9,-600,100,15,stop,595.4,-4.6,0.0,1.72,32.0,-5.16,-27.54,-4.22,118,110.0,,,True,1
10,600,100,16,stop,593.6,-6.4,-22.8,0.08,-27.54,-4.19,31.81,-4.97,,,,,True,0
11,-600,100,17,stop,593.1,-6.9,-9.8,1.36,31.8,-5.0,-27.51,-4.97,,,,,True,0
