seg,id,commanded_cm,moved_cm,x0,y0,h0,x1,y1,h1,dheading_deg,i2cf_before,i2cf_after,cyc_before,cyc_after,reason,done
1,5,4.0,3.3173347615045348,-26.051034378350465,26.199550189790443,-41.74925681652536,-23.403561915240683,24.20065062328847,-36.169541820021635,5.579714996503725,24,27,137,160,stop,5
2,6,4.0,3.112676980827992,-23.37849350123678,24.25409423819239,-35.592979492390064,-20.765359674799523,22.562855168129897,-32.01714784988287,3.5758316425071826,27,27,160,181,stop,6
3,7,4.0,3.3998908337435116,-20.779550862059036,22.545881131065396,-32.1271434677635,-17.76147937005364,20.98047314893503,-27.65379640348053,4.473347064282962,27,29,181,204,stop,7
4,8,4.0,3.185390408815878,-17.751194213800073,20.99892654571386,-27.536206999312185,-14.768505989671104,19.880765996320992,-21.36485496267055,6.171352036641622,29,30,204,225,stop,8
5,9,4.0,3.323920480990157,-14.764168466156136,19.89926429274863,-21.275419676969783,-11.731532402220017,18.538541739227934,-20.012263909460955,1.2631557675088345,30,30,225,247,stop,9
6,10,4.0,3.0230866939801344,-11.698814965871046,18.56080780819764,-19.974181051123857,-8.756234267245498,17.867791220087284,-15.151750775619858,4.82243027550399,30,31,247,267,stop,10
7,11,4.0,3.1763052443063335,-8.73034947308652,17.99465936943671,-13.52796117607851,-5.677527665303113,17.117622303555247,-12.238148092417727,1.289813083660789,31,32,267,289,stop,11
8,12,4.0,3.0443410625876037,-5.6725581968646495,17.203886330244043,-11.810702588914975,-2.67513628339551,16.67146321090002,-8.525291539317202,3.2854110495977693,32,34,289,310,stop,12
9,13,4.0,3.2035776087772683,-2.6963269641839305,16.635681662758678,-9.495709497109303,0.5028008682918673,16.46689005473925,-3.915562161150397,5.580147335958912,34,34,310,330,stop,13
10,14,4.0,3.2707166567129273,0.5053574299858076,16.416775608168816,-4.84502970455759,3.77569593159321,16.466510237991905,-0.176359362566718,4.668670341990861,34,34,330,351,stop,14
