leg,commanded_mm,cruise,id,reason,cam_len_mm,len_err_mm,lateral_mm,dheading_deg,x0,y0,x1,y1,peak_v,first_moving_v,max_accel,min_accel,tail_monotone,frames
0,600,100,6,stop,594.4,-5.6,-9.4,-0.83,-29.61,-0.01,29.77,-2.83,138,41.0,745.4545454545455,-461.53846153846155,False,161
1,-600,100,7,stop,596.4,-3.6,-0.9,4.8,29.77,-2.82,-29.82,-0.16,138,26.5,370.3703703703704,-784.6153846153846,False,175
2,600,100,8,stop,596.3,-3.7,-45.4,-4.05,-29.82,-0.14,29.78,-1.98,138,23.0,575.7575757575758,-388.8888888888889,False,164
3,-600,100,9,stop,594.4,-5.6,-1.7,1.11,29.77,-1.95,-29.65,-0.53,128,25.5,324.0740740740741,-915.3846153846154,False,167
4,600,100,10,stop,595.0,-5.0,-19.7,-2.45,-29.66,-0.51,29.81,-2.53,138,8.0,796.2962962962963,-333.3333333333333,False,163
5,-600,100,11,stop,592.0,-8.0,-0.1,3.13,29.8,-2.5,-29.36,-0.3,138,29.0,430.7692307692308,-1092.3076923076924,False,172
6,600,100,12,stop,594.3,-5.7,-39.8,-4.28,-29.36,-0.29,30.01,-3.03,148,46.0,759.2592592592592,-325.75757575757575,False,179
7,-600,100,13,stop,595.0,-5.0,12.9,3.11,30.0,-3.04,-29.48,-1.12,154,28.0,376.9230769230769,-696.9696969696969,True,202
8,600,100,14,stop,593.0,-7.0,-22.5,-3.07,-29.47,-1.13,29.78,-3.39,138,10.0,953.8461538461538,-568.1818181818181,False,164
9,-600,100,15,stop,592.3,-7.7,18.0,3.56,29.78,-3.38,-29.43,-2.0,138,39.5,444.44444444444446,-807.6923076923076,False,170
10,600,100,16,stop,595.6,-4.4,-26.5,-0.41,-29.43,-1.99,30.09,-4.03,148,28.0,742.4242424242424,-538.4615384615385,False,168
11,-600,100,17,stop,593.2,-6.8,-6.1,2.36,30.12,-4.08,-29.19,-2.85,128,9.0,469.6969696969697,-803.030303030303,False,169
