turn,commanded,cruise,id,reason,camera_deg,error_deg,unwrapped_deg,cam_samples,encoder_deg,encoder_error_deg,x0,y0,x1,y1,drift_cm,peak_vl,peak_vr,duration_s,frames,ready_before
0,90,60,4,stop,88.26,-1.74,91.71,44,84.79,-5.21,-19.5,1.24,-19.11,1.93,0.79,82,108,1.39,110,1
1,-90,60,5,stop,-90.35,-0.35,-90.24,50,-88.06,1.94,-19.11,1.93,-18.25,1.12,1.18,82,121,1.63,117,1
2,90,60,6,stop,87.09,-2.91,89.47,45,83.0,-7.0,-18.26,1.13,-18.51,1.7,0.62,76,92,1.38,109,1
3,-90,60,7,stop,-91.65,-1.65,-92.66,48,-87.95,2.05,-18.49,1.69,-17.75,0.75,1.2,76,112,1.57,116,1
4,90,60,8,stop,84.42,-5.58,82.26,47,84.49,-5.51,-17.76,0.72,-17.44,1.17,0.55,82,102,1.39,112,1
5,-90,60,9,stop,-90.53,-0.53,-92.73,49,-87.68,2.32,-17.41,1.16,-16.99,0.15,1.09,89,102,1.56,120,1
6,90,60,10,stop,86.84,-3.16,87.88,49,84.07,-5.93,-16.98,0.19,-16.94,0.82,0.63,72,98,1.31,121,1
7,-90,60,11,stop,-88.9,1.1,-87.83,49,-84.49,5.51,-16.98,0.84,-16.89,-1.72,2.55,92,112,1.37,126,1
8,90,60,12,stop,88.51,-1.49,89.28,45,83.88,-6.12,-16.88,-1.7,-16.57,-1.0,0.76,92,102,1.32,112,1
9,-90,60,13,stop,-88.34,1.66,-86.37,46,-83.8,6.2,-16.55,-1.01,-16.09,-2.62,1.68,82,112,1.38,112,1
10,90,60,14,stop,89.57,-0.43,91.3,45,83.8,-6.2,-16.09,-2.66,-16.01,-1.98,0.69,92,118,1.32,112,1
11,-90,60,15,stop,-87.9,2.1,-87.94,49,-83.23,6.77,-15.99,-1.99,-15.53,-3.35,1.44,82,102,1.32,110,1
