seg,id,commanded_cm,moved_cm,x0,y0,h0,x1,y1,h1,dheading_deg,i2cf_before,i2cf_after,cyc_before,cyc_after,reason,done
1,5,4.0,2.9070703809061507,1.8025200417459395,0.7764167500035818,153.51570000132227,-0.8430189293713565,1.981481790506156,154.7659027996697,1.2502027983474306,5,6,34,53,stop,5
2,6,4.0,2.9044415800497525,-0.831037417399561,1.9766798777238979,154.73175411503107,-3.5529490050707246,2.9900792071214197,158.7572141787464,4.025460063715343,6,6,53,72,stop,6
3,7,4.0,2.8777361265232493,-3.553294457280114,3.0802565003418536,157.9037059908305,-6.210021428635628,4.186225312546426,159.23692688877952,1.333220897949019,6,6,72,90,stop,7
4,8,4.0,3.0895750871992185,-6.19317725702598,4.284570565293951,158.08026601527214,-9.116019597351936,5.285803242067909,161.2178582896015,3.1375922743293643,6,7,90,110,stop,8
5,9,4.0,3.055871012511965,-9.103317982445478,5.268845476748695,161.48789593765164,-12.073329641119772,5.988135677189155,165.26380445916556,3.7759085215139123,7,9,110,129,stop,9
6,10,4.0,2.790398800668646,-12.071084361821661,6.041073735590946,164.9153130083911,-14.79955388767606,6.625692853698532,168.53853243279096,3.6232194243998492,9,11,129,148,stop,10
7,11,4.0,3.119580799341589,-14.790600102212501,6.6808246019684505,167.97335079613677,-17.833262843828766,7.3692923240883035,168.33587845761696,0.3625276614801862,11,11,148,168,stop,11
8,12,4.0,2.956774141648198,-17.835222735250728,7.385952972830644,168.0553474580576,-20.781099303024956,7.63957586643091,171.84847826727176,3.793130809214148,11,11,168,187,stop,12
9,13,4.0,2.970738616673146,-20.794642897642877,7.606677765914813,172.27169591379834,-23.703060059868147,8.211985571140046,171.87227619343057,-0.3994197203677743,11,13,187,207,stop,13
10,14,4.0,3.066389705496367,-23.696964012843882,8.160414152412102,172.2885163586098,-26.757160257665774,8.355208323659825,175.29438554017676,3.0058691815669647,13,13,207,226,stop,14
