turn,commanded,cruise,id,reason,camera_deg,error_deg,unwrapped_deg,cam_samples,encoder_deg,encoder_error_deg,x0,y0,x1,y1,drift_cm,peak_vl,peak_vr,duration_s,frames,ready_before
0,90,60,4,stop,88.76,-1.24,88.83,51,83.88,-6.12,-3.06,4.77,-10.43,5.14,7.37,26,128,1.52,111,1
1,-90,60,5,stop,-92.28,-2.28,-92.08,53,-86.16,3.84,-10.41,5.14,-2.34,4.93,8.08,0,128,1.6,117,1
2,90,60,6,stop,91.3,1.3,91.44,53,86.99,-3.01,-2.34,4.93,-4.56,4.68,2.23,56,102,1.59,121,1
3,-90,60,7,stop,-89.33,0.67,-91.34,48,-84.48,5.52,-4.56,4.67,-0.61,6.49,4.35,82,112,1.37,110,1
4,90,60,8,stop,87.1,-2.9,86.83,51,82.51,-7.49,-0.61,6.49,-3.01,6.56,2.41,66,118,1.43,108,1
5,-90,60,9,stop,-90.15,-0.15,-90.76,48,-86.01,3.99,-3.01,6.56,-1.42,7.42,1.81,72,108,1.49,108,1
6,90,60,10,stop,90.7,0.7,90.04,53,87.98,-2.02,-1.42,7.42,-4.03,7.72,2.62,66,118,1.67,113,1
7,-90,60,11,stop,-88.02,1.98,-87.3,52,-84.26,5.74,-4.02,7.72,-2.24,8.72,2.04,75,112,1.37,110,1
8,90,60,12,stop,89.44,-0.56,89.66,48,84.72,-5.28,-2.25,8.71,-10.32,8.88,8.08,0,138,1.62,115,1
9,-90,60,13,stop,-87.23,2.77,-87.41,49,-82.21,7.79,-10.32,8.87,-8.77,10.02,1.92,72,121,1.38,109,1
10,90,60,14,stop,89.05,-0.95,89.11,40,84.07,-5.93,-8.76,10.01,-16.86,9.9,8.1,0,138,1.63,144,1
11,-90,60,15,stop,-92.87,-2.87,-92.82,40,-87.83,2.17,-16.85,9.9,-15.83,10.77,1.35,72,108,1.6,121,1
