turn,commanded,cruise,id,reason,camera_deg,error_deg,unwrapped_deg,cam_samples,encoder_deg,encoder_error_deg,x0,y0,x1,y1,drift_cm,peak_vl,peak_vr,duration_s,frames,ready_before
0,90,60,4,stop,84.31,-5.69,85.88,46,83.83,-6.17,18.3,-5.41,14.72,-5.95,3.62,72,118,1.33,111,1
1,-90,60,5,stop,-87.22,2.78,-89.13,47,-84.31,5.69,14.75,-5.98,15.45,-4.55,1.59,89,108,1.32,118,1
2,90,60,6,stop,83.57,-6.43,83.75,48,84.07,-5.93,15.44,-4.57,13.01,-5.1,2.49,72,135,1.38,116,1
3,-90,60,7,stop,-86.72,3.28,-86.77,49,-87.07,2.93,13.01,-5.1,14.03,-3.5,1.9,75,138,1.55,116,1
4,90,60,8,stop,83.59,-6.41,84.0,44,83.4,-6.6,14.04,-3.5,11.83,-4.31,2.35,72,108,1.31,107,1
5,-90,60,9,stop,-87.31,2.69,-87.15,45,-86.83,3.17,11.87,-4.34,12.85,-2.93,1.71,89,102,1.49,178,1
6,90,60,10,stop,86.24,-3.76,85.97,22,86.31,-3.69,12.85,-2.93,10.62,-3.58,2.33,66,108,1.44,160,1
7,-90,60,11,stop,-84.21,5.79,-84.34,41,-84.39,5.61,10.62,-3.58,11.47,-2.31,1.52,72,118,1.37,110,1
8,90,60,12,stop,81.87,-8.13,82.1,35,80.8,-9.2,11.47,-2.31,5.73,-2.87,5.77,72,128,1.32,151,1
9,-90,60,13,stop,-82.37,7.63,-82.95,27,-80.28,9.72,5.73,-2.87,11.23,-0.32,6.06,82,135,1.32,164,1
10,90,60,14,stop,88.03,-1.97,87.92,27,85.75,-4.25,11.23,-0.3,3.5,-2.37,8.0,0,128,1.55,181,1
11,-90,60,15,stop,-89.31,0.69,-89.22,25,-87.95,2.05,3.49,-2.37,4.59,-0.82,1.9,75,118,1.62,192,1
