leg,commanded_mm,cruise,id,reason,cam_len_mm,len_err_mm,lateral_mm,dheading_deg,x0,y0,x1,y1,peak_v,first_moving_v,max_accel,min_accel,tail_monotone,frames
0,600,100,7,stop,592.8,-7.2,-26.1,-2.72,-30.25,-1.34,29.01,-2.56,128,26.5,800.0,-481.48148148148147,True,224
1,-600,100,8,stop,598.2,-1.8,-26.9,-3.81,29.01,-2.52,-30.7,1.14,138,20.5,553.8461538461538,-1037.037037037037,False,183
2,600,100,9,stop,593.6,-6.4,-17.6,-1.25,-30.69,1.15,28.3,-5.43,138,3.0,830.7692307692307,-561.5384615384615,False,179
3,-600,100,10,stop,602.9,2.9,-51.5,-6.64,28.29,-5.47,-30.83,6.38,138,13.5,800.0,-753.8461538461538,False,171
4,600,100,11,stop,594.5,-5.5,-15.2,-1.2,-30.85,6.32,26.52,-9.29,128,29.5,861.5384615384615,-490.74074074074076,False,158
5,-600,100,12,stop,594.2,-5.8,8.8,1.0,26.51,-9.34,-31.01,5.55,128,21.5,386.3636363636363,-1030.7692307692307,True,179
6,600,100,13,stop,591.6,-8.4,-6.4,-1.43,-31.02,5.54,26.1,-9.87,128,24.0,707.6923076923076,-354.54545454545456,False,189
7,-600,100,14,stop,593.8,-6.2,12.5,2.82,26.1,-9.88,-31.29,5.36,128,5.0,477.27272727272725,-745.4545454545455,False,172
8,600,100,15,stop,592.8,-7.2,-21.1,-1.86,-31.29,5.34,25.82,-10.54,138,51.0,638.4615384615385,-476.9230769230769,False,183
9,-600,100,16,stop,590.8,-9.2,5.3,1.11,25.82,-10.49,-31.42,4.13,128,19.5,518.5185185185185,-907.4074074074074,False,177
10,600,100,17,stop,593.8,-6.2,-18.0,-1.26,-31.41,4.17,25.98,-11.06,138,44.5,694.4444444444445,-333.3333333333333,False,185
11,-600,100,18,stop,593.2,-6.8,10.5,-0.08,25.98,-11.06,-31.69,2.82,148,33.0,481.48148148148147,-1061.5384615384614,False,183
