t_host,vl_mmps,vr_mmps
-0.836,0,0
-0.791,0,0
-0.677,0,0
-0.510,0,0
-0.455,0,0
-0.401,0,0
-0.343,0,0
-0.283,0,0
-0.221,0,0
-0.109,0,0
-0.061,0,0
0.007,0,0
0.057,0,0
0.110,0,0
0.161,0,0
0.275,0,0
0.331,0,0
0.388,0,0
0.497,0,0
0.556,0,0
0.603,15,15
0.679,33,15
0.899,101,98
0.965,116,116
1.035,140,148
1.095,122,139
1.229,125,122
1.300,139,116
1.371,131,131
1.447,131,131
1.587,125,116
1.662,125,122
1.731,133,142
1.818,113,125
1.887,116,122
1.952,107,113
2.023,107,125
2.091,116,134
2.163,134,116
2.238,107,116
2.314,122,113
2.384,125,116
2.534,116,125
2.595,131,122
2.668,116,116
2.739,134,125
2.817,113,131
2.883,125,134
2.958,116,116
3.028,116,116
3.175,131,107
3.250,116,116
3.315,107,107
3.387,122,116
3.531,125,125
3.603,134,125
3.679,122,110
3.747,116,134
3.902,131,131
3.978,107,122
4.034,116,113
4.107,131,116
4.182,131,116
4.254,134,116
4.326,107,107
4.412,125,122
4.473,107,107
4.540,122,122
4.623,125,107
4.757,122,116
4.828,116,113
4.908,125,125
4.978,125,116
5.042,122,116
5.126,116,116
5.190,125,125
5.267,107,130
5.331,122,125
5.477,133,116
5.554,110,125
5.619,131,107
5.692,125,125
5.837,122,107
5.908,131,116
5.967,116,140
6.028,125,116
6.101,116,131
6.243,116,133
6.316,107,125
6.386,116,125
6.652,122,130
6.678,116,116
6.748,116,116
6.820,116,107
6.896,116,116
6.964,131,125
7.042,116,116
7.115,107,122
7.180,125,125
7.256,116,125
7.373,116,122
7.460,116,133
7.515,125,116
7.593,139,125
7.733,113,131
7.806,125,133
7.877,122,116
7.950,131,110
8.027,116,116
8.094,125,116
8.169,125,116
8.240,116,98
8.314,134,116
8.397,125,122
8.456,116,113
8.525,116,125
8.596,125,131
8.705,116,116
8.779,116,116
8.819,116,116
8.958,89,98
9.028,50,42
9.099,33,27
9.184,15,0
9.318,27,24
9.401,18,33
9.629,0,0
9.729,0,0
9.767,0,0
9.840,0,0
9.983,0,0
10.054,0,0
10.144,0,0
10.222,0,0
10.275,0,0
10.353,0,0
10.431,0,0
10.488,0,0
10.558,0,0
10.720,0,0
10.788,0,0
10.889,0,0
11.014,0,0
11.110,0,0
11.170,0,0
11.232,0,0
11.282,0,0
11.342,0,0
11.391,0,0
11.504,0,0
11.559,0,0
11.621,-15,8
11.694,-9,24
11.763,-18,41
11.836,-42,65
12.089,-148,157
12.127,-142,142
12.195,-154,131
12.340,-74,98
12.415,-116,134
12.500,-122,139
12.563,-139,148
12.716,0,0
12.840,0,0
12.911,0,0
13.056,0,0
13.126,0,0
13.210,0,0
13.271,0,0
13.347,0,0
13.420,0,0
13.492,0,0
13.566,0,0
13.639,0,0
13.709,0,0
13.782,0,0
13.851,0,0
13.922,0,0
14.045,0,0
14.064,0,0
14.211,0,0
14.279,0,0
14.351,0,0
14.426,0,0
14.505,0,0
14.566,0,0
14.639,0,0
14.713,0,0
14.786,0,0
14.856,0,0
15.000,0,0
15.072,0,0
15.142,0,0
15.222,0,0
15.360,0,0
15.440,0,0
15.502,0,0
15.574,0,0
15.734,0,0
15.794,0,0
15.868,0,0
15.936,0,0
16.011,0,0
16.083,0,0
16.157,0,0
16.222,0,0
16.300,0,0
16.371,0,0
16.441,0,0
16.513,0,0
16.663,0,0
16.728,0,0
16.800,0,0
16.883,0,0
16.944,0,0
17.017,0,0
17.096,0,0
17.163,0,0
17.304,0,0
17.381,0,0
17.446,0,0
17.520,0,0
17.672,0,0
17.735,0,0
17.806,0,0
17.878,0,0
17.951,0,0
18.135,0,0
18.168,0,0
18.245,0,0
18.316,0,0
18.383,0,0
18.456,0,0
18.537,0,0
18.615,0,0
18.744,0,0
18.816,0,0
18.887,0,0
18.960,0,0
19.042,0,0
19.107,0,0
19.175,0,0
19.246,0,0
19.324,0,0
19.393,0,0
19.467,0,0
19.595,0,0
19.647,0,0
19.702,0,0
19.762,0,0
19.814,0,0
19.874,0,0
19.926,0,0
19.982,0,0
20.057,0,0
20.097,0,0
20.214,0,0
20.264,0,0
20.319,0,0
20.374,0,0
20.436,0,0
20.487,0,0
20.542,0,0
20.598,0,0
20.657,0,0
20.711,0,0
20.826,0,0
20.878,0,0
20.935,0,0
21.000,0,0
21.056,0,0
21.104,0,0
21.164,0,0
21.215,0,0
21.286,0,0
21.387,0,0
21.438,0,0
21.504,0,0
21.554,0,0
21.614,0,0
21.667,0,0
21.720,0,0
21.778,0,0
21.847,0,0
21.899,0,0
22.000,0,0
22.055,0,0
22.113,0,0
22.168,0,0
22.229,0,0
22.281,0,0
22.340,0,0
22.393,0,0
22.452,0,0
22.514,0,0
22.559,0,0
22.617,0,0
22.671,0,0
22.728,0,0
22.793,0,0
22.843,0,0
22.906,0,0
22.954,0,0
23.007,0,0
23.066,0,0
23.177,0,0
23.231,0,0
23.288,0,0
23.347,0,0
23.404,0,0
23.456,0,0
23.511,0,0
23.568,0,0
23.629,0,0
23.682,0,0
23.793,0,0
23.846,0,0
23.902,0,0
23.974,0,0
24.016,0,0
24.071,0,0
24.126,0,0
24.183,0,0
24.244,0,0
24.297,0,0
24.408,0,0
24.475,0,0
24.522,0,0
24.576,0,0
24.632,0,0
24.692,0,0
24.748,0,0
24.799,0,0
24.856,0,0
25.022,0,0
25.081,0,0
25.136,0,0
25.196,0,0
25.249,0,0
25.306,0,0
25.369,0,0
25.415,0,0
25.474,0,0
25.595,0,0
25.639,0,0
25.750,0,0
25.806,0,0
25.865,0,0
25.919,0,0
25.977,0,0
26.035,0,0
26.095,0,0
26.199,0,0
26.255,0,0
26.320,0,0
26.368,0,0
26.425,0,0
26.499,0,0
26.535,0,0
26.599,0,0
26.650,0,0
26.769,0,0
26.816,0,0
26.871,0,0
26.928,0,0
27.044,0,0
27.096,0,0
27.151,0,0
27.216,0,0
27.263,0,0
27.379,0,0
27.436,0,0
27.487,0,0
27.551,0,0
27.602,0,0
27.674,0,0
27.750,33,59
27.821,47,74
27.961,74,65
28.036,107,89
28.086,134,116
28.222,139,131
28.364,116,125
28.435,131,116
28.507,131,122
28.590,116,98
28.738,131,125
28.794,131,125
28.939,116,113
29.016,116,116
29.084,116,125
29.159,116,110
29.226,125,107
29.301,122,125
29.375,130,125
29.449,131,113
29.527,134,122
29.588,122,116
29.663,107,125
29.732,116,125
29.805,122,133
29.894,131,116
29.949,116,140
30.019,134,107
30.091,116,130
30.149,116,125
30.214,116,116
30.288,125,122
30.359,107,131
30.427,116,133
30.500,107,116
30.579,116,98
30.705,116,131
30.719,133,113
30.772,107,125
30.836,116,107
30.918,116,116
30.984,107,107
31.057,116,116
31.123,131,116
31.224,133,125
31.275,116,113
31.351,122,125
31.406,116,131
31.462,131,122
31.548,116,139
31.651,116,133
31.680,125,107
31.750,134,116
31.825,107,116
31.890,133,116
31.963,131,113
32.025,116,125
32.086,107,131
32.165,116,107
32.229,125,131
32.302,125,125
32.371,113,134
32.521,116,107
32.588,125,116
32.653,113,116
32.710,92,89
32.785,42,50
32.864,33,6
32.921,15,0
33.002,15,24
33.076,18,33
33.139,9,27
33.226,0,0
33.279,0,0
33.338,0,0
33.395,0,0
33.446,0,0
33.503,0,0
33.561,0,0
33.675,0,0
33.727,0,0
33.787,0,0
33.840,0,0
33.901,0,0
33.984,0,0
34.004,0,0
34.091,-9,15
34.169,-15,33
34.248,-33,56
34.290,-89,101
34.366,-101,113
34.509,-148,148
34.580,-139,131
34.651,-139,116
34.723,-131,116
34.867,-125,107
34.942,-116,122
35.015,-74,65
35.218,0,0
35.316,0,0
35.435,0,0
35.508,0,0
35.573,0,0
35.645,0,0
35.724,0,0
35.795,0,0
35.865,0,0
35.937,0,0
36.018,0,0
36.158,0,0
36.298,0,0
36.298,0,0
36.608,0,0
36.809,0,0
36.810,0,0
37.001,0,0
37.015,0,0
37.463,0,0
37.519,0,0
37.594,0,0
37.735,0,0
37.812,0,0
37.881,0,0
37.951,0,0
38.026,0,0
38.099,0,0
38.173,0,0
38.243,0,0
38.311,0,0
38.385,0,0
38.459,0,0
38.528,0,0
38.598,0,0
38.817,0,0
38.820,0,0
38.820,0,0
38.891,0,0
38.957,0,0
39.179,0,0
39.187,0,0
39.187,0,0
39.319,0,0
39.536,0,0
39.541,0,0
39.541,0,0
39.700,0,0
39.892,0,0
39.894,0,0
39.896,0,0
40.038,0,0
40.262,0,0
40.262,0,0
40.262,0,0
40.399,0,0
40.564,0,0
40.566,0,0
40.626,0,0
40.689,0,0
40.763,0,0
40.977,0,0
40.977,0,0
40.985,0,0
41.047,0,0
41.122,0,0
41.337,0,0
41.337,0,0
41.337,0,0
41.406,0,0
41.480,0,0
41.662,0,0
41.694,0,0
41.795,0,0
41.847,0,0
41.984,0,0
42.040,0,0
42.096,0,0
42.153,0,0
42.548,0,0
42.579,0,0
42.579,0,0
42.579,0,0
42.579,0,0
42.579,0,0
42.579,0,0
42.604,0,0
42.656,0,0
42.713,0,0
42.770,0,0
42.829,0,0
42.893,0,0
42.992,0,0
43.046,0,0
43.104,0,0
43.171,0,0
43.317,42,50
43.391,47,50
43.532,107,98
43.603,131,139
43.675,154,148
43.749,131,125
43.827,131,125
43.898,125,131
43.966,125,107
44.038,130,125
44.112,125,134
44.178,116,116
44.251,107,125
44.397,116,125
44.469,125,107
44.539,107,125
44.619,116,107
44.685,116,116
44.758,131,116
44.828,134,113
44.899,125,116
44.971,116,125
45.042,116,116
45.115,110,116
45.261,113,116
45.330,122,113
45.403,124,116
45.474,122,125
45.625,130,116
45.694,125,116
45.834,125,107
45.911,116,122
45.978,122,134
46.066,116,107
46.128,122,122
46.198,134,116
46.277,116,134
46.350,122,133
46.412,133,125
46.490,125,107
46.554,107,107
46.628,122,130
46.701,131,116
46.790,122,116
46.842,125,125
46.925,122,125
46.975,116,113
47.040,113,116
47.113,107,125
47.198,139,131
47.250,122,125
47.322,134,125
47.396,122,125
47.476,116,113
47.538,113,134
47.624,116,116
47.695,116,134
47.755,131,130
47.829,116,133
47.898,131,116
47.971,122,113
48.043,131,116
48.190,116,116
48.318,116,125
48.388,125,116
48.450,116,107
48.522,122,116
48.596,134,122
48.668,116,125
48.741,125,116
48.818,125,134
48.883,116,125
48.957,134,125
49.098,122,122
49.171,130,125
49.315,116,116
49.472,125,125
49.532,116,107
49.676,113,134
49.818,107,125
49.893,125,116
49.963,116,134
50.056,131,116
50.110,113,113
50.182,139,125
50.252,107,134
50.322,125,116
50.471,116,125
50.546,113,125
50.611,116,131
50.683,131,116
50.763,134,131
50.827,107,116
50.901,110,107
50.972,125,116
51.043,125,116
51.118,131,125
51.185,113,116
51.259,116,140
51.410,116,125
51.475,116,116
51.549,80,92
51.618,50,50
51.762,0,0
51.836,18,18
51.909,27,33
51.977,18,33
52.065,0,0
52.131,0,0
52.190,0,0
52.263,0,0
52.335,0,0
52.477,0,0
52.539,0,0
52.600,0,0
52.646,0,0
52.704,0,0
52.763,0,0
52.875,0,0
52.927,0,0
52.981,0,0
53.043,0,0
53.095,0,0
53.158,0,0
53.209,0,0
53.262,0,0
53.324,0,0
53.394,0,33
53.466,0,42
53.539,-50,74
53.615,-83,98
53.683,-107,125
53.759,-148,131
53.827,-157,157
53.907,-166,148
53.972,-148,131
54.116,-107,116
54.187,-122,116
54.265,-110,107
54.334,-74,59
54.446,0,0
54.518,0,0
54.590,0,0
54.735,0,0
54.818,0,0
54.897,0,0
54.950,0,0
55.027,0,0
55.098,0,0
55.166,0,0
55.238,0,0
55.311,0,0
55.386,0,0
55.459,0,0
55.527,0,0
55.598,0,0
55.673,0,0
55.742,0,0
55.822,0,0
55.958,0,0
56.030,0,0
56.176,0,0
56.389,0,0
56.462,0,0
56.534,0,0
56.678,0,0
56.755,0,0
56.833,0,0
56.895,0,0
56.970,0,0
57.041,0,0
57.127,0,0
57.166,0,0
57.283,0,0
57.337,0,0
57.391,0,0
57.446,0,0
57.508,0,0
57.558,0,0
57.615,0,0
57.674,0,0
57.839,0,0
57.898,0,0
57.957,0,0
58.007,0,0
58.062,0,0
58.132,0,0
58.176,0,0
58.230,0,0
58.290,0,0
58.345,0,0
58.454,0,0
58.510,0,0
58.567,0,0
58.621,0,0
58.682,0,0
58.733,0,0
58.846,0,0
58.905,0,0
59.018,0,0
59.076,0,0
59.125,0,0
59.183,0,0
59.267,0,0
59.299,0,0
59.353,0,0
59.405,0,0
59.462,0,0
59.519,0,0
59.633,0,0
59.691,0,0
59.743,0,0
59.816,0,0
59.863,0,0
59.911,0,0
59.965,0,0
60.026,0,0
60.078,0,0
60.135,0,0
60.246,0,0
60.307,0,0
60.359,0,0
60.415,0,0
60.474,0,0
60.526,0,0
60.590,0,0
60.638,0,0
60.699,0,0
60.750,0,0
60.863,0,0
60.921,0,0
60.976,0,0
61.030,0,0
61.091,0,0
61.142,0,0
61.199,0,0
61.254,0,0
61.311,0,0
61.425,0,0
61.477,0,0
61.540,0,0
61.591,0,0
61.646,0,0
61.703,0,0
61.758,0,0
61.814,0,0
61.870,0,0
61.936,0,0
62.098,0,0
62.155,0,0
62.206,0,0
62.270,0,0
62.329,0,0
62.373,0,0
62.501,0,0
62.543,0,0
62.598,0,0
62.661,0,0
62.714,0,0
62.780,0,0
62.822,0,0
62.937,0,0
62.991,0,0
63.047,0,0
