t_host,x_cm,y_cm,yaw_rad
-0.195,50.90,30.10,3.1980
0.426,50.90,30.00,3.2160
1.193,50.50,30.10,3.1930
2.138,41.60,29.30,3.2180
2.797,30.40,28.70,3.2020
3.588,22.10,28.30,3.1840
4.249,13.10,27.80,3.1840
4.927,5.80,27.30,3.2070
5.664,-3.30,26.80,3.2080
6.629,-11.40,26.60,3.1790
7.406,-23.40,25.90,3.2100
8.089,-30.80,25.80,3.1800
9.027,-41.40,25.50,3.1520
9.784,-47.20,25.20,3.1880
10.463,-47.30,25.10,3.2050
11.228,-47.50,25.40,3.1820
11.900,-47.80,25.60,4.6860
12.685,-47.70,25.60,-1.5210
14.042,-47.70,25.60,-1.5210
15.091,-47.70,25.60,-1.5230
15.945,-47.90,25.60,-1.5380
17.119,-47.60,25.20,-1.4910
17.962,-47.40,14.10,-1.5570
18.571,-47.30,6.60,-1.5720
19.339,-47.10,-2.40,-1.5610
20.334,-46.80,-12.90,-1.5510
21.044,-46.80,-22.80,4.7100
21.969,-46.70,-32.60,4.7080
22.593,-46.60,-33.50,-1.5550
23.588,-46.60,-33.50,-1.5480
24.518,-46.50,-34.00,-1.0950
25.162,-47.00,-33.90,0.0140
25.934,-47.00,-33.80,0.0170
27.023,-39.20,-33.70,0.0010
27.741,-29.40,-33.70,-0.0160
28.473,-20.40,-33.50,0.0140
29.051,-12.90,-33.60,-0.0060
29.776,-3.90,-33.50,0.0120
30.392,2.70,-33.30,0.0360
31.053,10.20,-33.60,0.0050
31.661,17.70,-33.50,0.0310
32.285,25.20,-33.80,-0.0090
32.886,32.90,-34.10,-0.0280
33.574,39.50,-34.20,-0.0340
34.223,47.00,-34.10,0.0260
34.858,51.50,-34.50,-0.0340
35.462,51.80,-34.40,-0.0080
35.997,51.90,-34.30,0.0240
36.698,52.10,-34.70,1.0600
37.305,52.00,-34.80,1.5460
37.914,51.90,-34.80,1.5740
38.585,52.00,-34.00,1.5640
39.297,52.20,-24.90,1.5430
39.964,52.50,-17.40,1.5200
40.622,52.60,-9.00,1.5540
41.386,52.80,-1.60,1.5470
42.317,53.40,8.10,1.4930
43.096,53.80,19.30,1.5060
43.760,53.60,24.00,1.5580
44.447,53.80,24.30,1.5340
45.618,54.10,24.30,1.4910
47.220,54.00,24.60,2.5430
48.134,54.10,24.40,3.0900
49.031,54.10,24.50,3.0830
