t_host,t_dev_ms,x_mm,y_mm,h_cdeg,ox_mm,oy_mm,oh_cdeg
-0.629,489977,-47,-1,834,0,0,0
-0.573,490033,-47,-1,834,0,0,0
-0.492,490089,-47,-1,834,0,0,0
-0.451,490145,-47,-1,834,0,0,0
-0.395,490201,-47,-1,834,0,0,0
-0.342,490257,-47,-1,834,0,0,0
-0.290,490313,-47,-1,834,0,0,0
-0.236,490369,-47,-1,834,0,0,0
-0.157,490425,-47,-1,834,0,0,0
-0.116,490481,-47,-1,834,0,0,0
-0.067,490537,-47,-1,834,0,0,0
-0.001,490593,-47,-1,834,0,0,0
0.052,490649,-47,-1,834,0,0,0
0.107,490705,-47,-1,834,0,0,0
0.158,490761,-47,-1,834,0,0,0
0.231,490817,-47,-1,834,0,0,0
0.324,490929,-47,-1,834,0,0,0
0.435,491041,-47,-1,834,0,0,0
0.492,491097,-47,-1,834,0,0,0
0.553,491153,-47,-1,834,0,0,0
0.605,491209,-47,-1,834,0,0,0
0.729,491317,-47,-1,818,0,0,0
0.784,491389,-45,-1,844,0,0,0
0.863,491461,-43,0,879,0,0,0
0.995,491583,-36,1,933,0,0,0
1.049,491653,-29,2,933,0,0,0
1.129,491725,-20,4,933,0,0,0
1.194,491797,-10,5,942,0,0,0
1.266,491869,0,7,914,0,0,0
1.340,491941,10,8,904,0,0,0
1.408,492013,19,10,888,0,0,0
1.484,492085,28,11,898,0,0,0
1.556,492157,36,12,863,0,0,0
1.628,492229,44,14,872,0,0,0
1.707,492301,53,15,872,0,0,0
1.769,492373,62,16,869,0,0,0
1.843,492445,70,18,863,0,0,0
1.984,492589,87,20,825,0,0,0
2.066,492661,96,21,828,0,0,0
2.128,492733,105,23,828,0,0,0
2.227,492805,113,24,818,0,0,0
2.272,492877,122,25,828,0,0,0
2.344,492949,130,26,828,0,0,0
2.440,493021,139,28,825,0,0,0
2.488,493093,147,29,825,0,0,0
2.561,493165,156,30,828,0,0,0
2.631,493237,165,31,853,0,0,0
2.704,493309,173,33,828,0,0,0
2.848,493453,190,35,853,0,0,0
2.919,493525,199,36,834,0,0,0
2.996,493597,208,38,853,0,0,0
3.069,493669,216,39,853,0,0,0
3.209,493813,233,41,847,0,0,0
3.294,493885,242,43,825,0,0,0
3.361,493957,250,44,844,0,0,0
3.429,494029,259,45,844,0,0,0
3.584,494173,276,48,847,0,0,0
3.655,494245,285,49,825,0,0,0
3.714,494317,293,50,828,0,0,0
3.787,494389,302,52,828,0,0,0
3.866,494461,310,53,812,0,0,0
3.942,494533,319,54,825,0,0,0
4.004,494605,328,55,809,0,0,0
4.075,494677,336,57,809,0,0,0
4.148,494749,345,58,809,0,0,0
4.216,494821,353,59,818,0,0,0
4.290,494893,362,60,828,0,0,0
4.429,494965,370,61,818,0,0,0
4.432,495037,379,63,834,0,0,0
4.506,495109,388,64,853,0,0,0
4.582,495181,396,65,825,0,0,0
4.648,495253,405,66,825,0,0,0
4.721,495325,413,68,828,0,0,0
4.792,495397,422,69,837,0,0,0
4.940,495541,439,71,844,0,0,0
5.009,495613,447,73,828,0,0,0
5.154,495757,464,75,844,0,0,0
5.226,495829,473,76,828,0,0,0
5.296,495901,482,78,837,0,0,0
5.367,495973,490,79,844,0,0,0
5.511,496117,507,81,863,0,0,0
5.584,496189,516,83,863,0,0,0
5.659,496261,524,84,863,0,0,0
5.746,496333,533,85,847,0,0,0
5.812,496405,541,87,863,0,0,0
5.871,496477,550,88,834,0,0,0
5.950,496549,559,89,844,0,0,0
6.027,496621,567,90,828,0,0,0
6.098,496693,575,92,834,0,0,0
6.161,496765,584,93,828,0,0,0
6.233,496837,593,94,837,0,0,0
6.376,496981,610,97,799,0,0,0
6.454,497053,618,98,818,0,0,0
6.520,497125,627,99,834,0,0,0
6.592,497197,635,100,818,0,0,0
6.666,497269,644,101,828,0,0,0
6.751,497341,652,103,828,0,0,0
6.812,497413,661,104,834,0,0,0
6.882,497485,669,105,837,0,0,0
7.034,497629,687,108,844,0,0,0
7.103,497701,695,109,844,0,0,0
7.183,497773,704,110,853,0,0,0
7.241,497845,712,112,863,0,0,0
7.311,497917,721,113,853,0,0,0
7.460,498061,738,115,863,0,0,0
7.528,498133,746,117,853,0,0,0
7.604,498205,755,118,863,0,0,0
7.672,498277,763,119,860,0,0,0
7.818,498421,781,122,879,0,0,0
7.889,498493,789,123,863,0,0,0
7.971,498565,798,124,844,0,0,0
8.032,498637,806,126,844,0,0,0
8.179,498781,824,128,847,0,0,0
8.261,498853,832,130,828,0,0,0
8.321,498925,841,131,825,0,0,0
8.402,498997,849,132,809,0,0,0
8.468,499069,858,133,818,0,0,0
8.541,499141,866,134,803,0,0,0
8.611,499213,875,136,825,0,0,0
8.683,499285,883,137,809,0,0,0
8.756,499357,892,138,818,0,0,0
8.824,499429,901,139,825,0,0,0
8.899,499501,909,141,809,0,0,0
8.984,499573,918,142,809,0,0,0
9.039,499645,926,143,828,0,0,0
9.123,499717,931,144,818,0,0,0
9.176,499767,934,144,818,0,0,0
9.246,499837,935,144,818,0,0,0
9.311,499909,936,144,783,0,0,0
9.391,499981,937,145,837,0,0,0
9.447,500053,939,145,863,0,0,0
9.525,500125,940,145,882,0,0,0
9.610,500214,942,145,898,0,0,0
9.660,500265,942,145,898,0,0,0
9.762,500337,942,145,898,0,0,0
9.794,500387,942,145,898,0,0,0
9.835,500437,942,145,898,0,0,0
9.892,500493,942,145,898,0,0,0
10.008,500605,942,145,898,0,0,0
10.061,500661,942,145,898,0,0,0
10.111,500717,942,145,898,0,0,0
10.205,500773,942,145,898,0,0,0
10.225,500829,942,145,898,0,0,0
10.281,500885,942,145,898,0,0,0
10.339,500941,942,145,898,0,0,0
10.391,500997,942,145,898,0,0,0
10.454,501053,942,145,898,0,0,0
10.505,501109,942,145,898,0,0,0
10.619,501221,942,145,898,0,0,0
10.679,501277,942,145,898,0,0,0
10.725,501329,942,145,898,0,0,0
10.795,501401,943,145,967,0,0,0
10.877,501473,944,146,1037,0,0,0
10.940,501545,945,146,1285,0,0,0
11.029,501617,946,146,1691,0,0,0
11.085,501689,947,146,2360,0,0,0
11.174,501761,948,147,3207,0,0,0
11.304,501905,949,148,5085,0,0,0
11.375,501977,949,148,5954,0,0,0
11.445,502049,949,147,6836,0,0,0
11.520,502121,948,147,7664,0,0,0
11.588,502193,948,146,8482,0,0,0
11.664,502265,948,145,9288,0,0,0
11.896,502501,948,143,9992,0,0,0
11.954,502557,948,143,9992,0,0,0
12.009,502613,948,143,9992,0,0,0
12.064,502669,948,143,9992,0,0,0
12.120,502725,948,143,9992,0,0,0
12.186,502781,948,143,9992,0,0,0
12.241,502837,948,143,9992,0,0,0
12.292,502893,948,143,9992,0,0,0
12.343,502949,948,143,9992,0,0,0
12.401,503005,948,143,9992,0,0,0
12.534,503117,948,143,9992,0,0,0
12.570,503173,948,143,9992,0,0,0
12.623,503229,948,143,9992,0,0,0
12.685,503285,948,143,9992,0,0,0
12.735,503341,948,143,9992,0,0,0
12.799,503397,948,143,9992,0,0,0
12.856,503453,948,143,9992,0,0,0
12.928,503509,948,143,9992,0,0,0
12.975,503565,948,143,9992,0,0,0
13.076,503677,948,143,9992,0,0,0
13.133,503733,948,143,9992,0,0,0
13.183,503789,948,143,9992,0,0,0
13.245,503845,948,143,9992,0,0,0
13.295,503901,948,143,9992,0,0,0
13.352,503957,948,143,9992,0,0,0
13.417,504013,948,143,9992,0,0,0
13.464,504069,948,143,9992,0,0,0
13.527,504125,948,143,9992,0,0,0
13.596,504181,948,143,9992,0,0,0
13.692,504293,948,143,9992,0,0,0
13.747,504349,948,143,9992,0,0,0
13.808,504405,948,143,9992,0,0,0
13.855,504461,948,143,9992,0,0,0
13.912,504517,948,143,9992,0,0,0
13.967,504573,948,143,9992,0,0,0
14.034,504629,948,143,9992,0,0,0
14.079,504685,948,143,9992,0,0,0
14.144,504741,948,143,9992,0,0,0
14.193,504797,948,143,9992,0,0,0
14.365,504965,948,143,9992,0,0,0
14.417,505021,948,143,9992,0,0,0
14.472,505077,948,143,9992,0,0,0
14.527,505133,948,143,9992,0,0,0
14.583,505189,948,143,9992,0,0,0
14.642,505245,948,143,9992,0,0,0
14.695,505301,948,143,9992,0,0,0
14.755,505357,948,143,9992,0,0,0
14.864,505469,948,143,9992,0,0,0
14.930,505525,948,143,9992,0,0,0
14.978,505581,948,143,9992,0,0,0
15.034,505637,948,143,9992,0,0,0
15.090,505693,948,143,9992,0,0,0
15.143,505749,948,143,9992,0,0,0
15.199,505805,948,143,9992,0,0,0
15.256,505861,948,143,9992,0,0,0
15.311,505917,948,143,9992,0,0,0
15.377,505973,948,143,9992,0,0,0
15.538,506141,948,143,9992,0,0,0
15.593,506197,948,143,9992,0,0,0
15.647,506253,948,143,9992,0,0,0
15.704,506309,948,143,9992,0,0,0
15.759,506365,948,143,9992,0,0,0
15.818,506421,948,143,9992,0,0,0
15.877,506477,948,143,9992,0,0,0
15.927,506533,948,143,9992,0,0,0
16.001,506589,948,143,9992,0,0,0
16.104,506701,948,143,9992,0,0,0
16.156,506757,948,143,9992,0,0,0
16.212,506813,948,143,9992,0,0,0
16.265,506869,948,143,9992,0,0,0
16.324,506925,948,143,9992,0,0,0
16.382,506981,948,143,9992,0,0,0
16.435,507037,948,143,9992,0,0,0
16.489,507093,948,143,9992,0,0,0
16.555,507150,948,143,9992,0,0,0
16.598,507201,948,144,10008,0,0,0
16.669,507273,948,145,10116,0,0,0
16.742,507345,948,148,10112,0,0,0
16.820,507417,947,152,10106,0,0,0
16.938,507537,945,163,10087,0,0,0
17.011,507609,943,172,10059,0,0,0
17.151,507753,939,192,10046,0,0,0
17.220,507825,938,201,10024,0,0,0
17.297,507897,936,210,10024,0,0,0
17.375,507969,934,219,10001,0,0,0
17.436,508041,933,227,9989,0,0,0
17.513,508113,931,236,9998,0,0,0
17.580,508185,930,244,10017,0,0,0
17.661,508257,928,252,9998,0,0,0
17.732,508329,927,261,10017,0,0,0
17.795,508401,925,269,10008,0,0,0
17.868,508473,924,278,10017,0,0,0
17.945,508545,922,286,9982,0,0,0
18.015,508617,921,295,9998,0,0,0
18.097,508689,919,303,10001,0,0,0
18.176,508761,918,312,9992,0,0,0
18.254,508833,916,320,9989,0,0,0
18.371,508977,913,338,9992,0,0,0
18.521,509121,910,355,9973,0,0,0
18.588,509193,909,363,9992,0,0,0
18.674,509265,908,372,9992,0,0,0
18.731,509337,906,381,9982,0,0,0
18.954,509553,902,406,9973,0,0,0
19.020,509625,900,415,9992,0,0,0
19.119,509697,899,423,9967,0,0,0
19.169,509769,897,432,9973,0,0,0
19.244,509841,896,440,9992,0,0,0
19.311,509913,894,449,9989,0,0,0
19.380,509985,893,457,10008,0,0,0
19.489,510057,891,466,9989,0,0,0
19.532,510129,890,474,9989,0,0,0
19.596,510201,888,483,9992,0,0,0
19.670,510273,887,491,9992,0,0,0
19.740,510345,885,500,9998,0,0,0
19.819,510417,884,508,9998,0,0,0
19.890,510489,882,517,9992,0,0,0
19.957,510561,881,525,9989,0,0,0
20.040,510633,880,534,9989,0,0,0
20.176,510777,877,551,10017,0,0,0
20.302,510899,874,565,10027,0,0,0
20.364,510969,873,573,9989,0,0,0
20.452,511041,871,582,10008,0,0,0
20.516,511113,870,590,9982,0,0,0
20.606,511185,868,599,10008,0,0,0
20.656,511257,866,608,9992,0,0,0
20.724,511329,865,616,9998,0,0,0
20.798,511401,863,625,10008,0,0,0
20.869,511473,862,634,9992,0,0,0
21.022,511619,859,651,9963,0,0,0
21.092,511689,858,659,9973,0,0,0
21.166,511761,856,668,9973,0,0,0
21.232,511833,855,676,9998,0,0,0
21.317,511905,853,685,9998,0,0,0
21.374,511977,852,693,9973,0,0,0
21.447,512049,850,702,9992,0,0,0
21.588,512193,847,718,9973,0,0,0
21.659,512265,846,724,9992,0,0,0
21.742,512339,846,726,9992,0,0,0
21.817,512409,846,727,9938,0,0,0
21.948,512553,845,730,9954,0,0,0
22.018,512625,845,732,9992,0,0,0
22.256,512861,845,734,10027,0,0,0
22.333,512933,845,734,10027,0,0,0
22.459,513055,845,734,10027,0,0,0
22.506,513109,845,734,10027,0,0,0
22.559,513165,845,734,10027,0,0,0
22.616,513221,845,734,10027,0,0,0
22.677,513277,845,734,10027,0,0,0
22.734,513333,845,734,10027,0,0,0
22.784,513389,845,734,10027,0,0,0
22.840,513445,845,734,10027,0,0,0
22.919,513501,845,734,10027,0,0,0
23.011,513613,845,734,10027,0,0,0
23.067,513669,845,734,10027,0,0,0
23.120,513725,845,734,10027,0,0,0
23.183,513781,845,734,10027,0,0,0
23.234,513837,845,734,10027,0,0,0
23.288,513893,845,734,10027,0,0,0
23.355,513949,845,734,10027,0,0,0
23.402,514005,845,734,10027,0,0,0
23.459,514061,845,734,10027,0,0,0
23.569,514173,845,734,10027,0,0,0
23.623,514229,845,734,10027,0,0,0
23.681,514285,845,734,10027,0,0,0
23.793,514397,845,734,10027,0,0,0
23.863,514465,845,735,10036,0,0,0
23.932,514537,844,735,10106,0,0,0
24.003,514609,844,736,10217,0,0,0
24.153,514753,844,738,11058,0,0,0
24.239,514827,843,739,11797,0,0,0
24.295,514897,843,739,12694,0,0,0
24.364,514969,843,740,13659,0,0,0
24.510,515113,843,740,15470,0,0,0
24.600,515185,844,739,16317,0,0,0
24.653,515257,845,739,17145,0,0,0
24.726,515329,845,739,17928,0,0,0
24.800,515401,846,739,18661,0,0,0
24.894,515498,846,739,19086,0,0,0
24.960,515549,846,739,19086,0,0,0
25.015,515621,846,739,19086,0,0,0
25.080,515677,846,739,19086,0,0,0
25.128,515733,846,739,19086,0,0,0
25.183,515789,846,739,19086,0,0,0
25.238,515845,846,739,19086,0,0,0
25.311,515901,846,739,19086,0,0,0
25.364,515957,846,739,19086,0,0,0
25.471,516069,846,739,19086,0,0,0
25.525,516125,846,739,19086,0,0,0
25.575,516181,846,739,19086,0,0,0
25.636,516237,846,739,19086,0,0,0
25.689,516293,846,739,19086,0,0,0
25.745,516349,846,739,19086,0,0,0
25.806,516405,846,739,19086,0,0,0
25.861,516465,846,739,19102,0,0,0
25.932,516537,844,739,19162,0,0,0
26.008,516609,841,738,19172,0,0,0
26.100,516681,837,737,19191,0,0,0
26.149,516753,831,736,19172,0,0,0
26.224,516825,824,735,19181,0,0,0
26.300,516897,814,733,19165,0,0,0
26.386,516969,804,730,19156,0,0,0
26.436,517041,794,728,19137,0,0,0
26.509,517113,785,727,19143,0,0,0
26.602,517185,776,725,19121,0,0,0
26.656,517257,768,723,19099,0,0,0
26.868,517473,742,718,19092,0,0,0
26.942,517545,734,717,19102,0,0,0
27.011,517617,726,715,19083,0,0,0
27.083,517689,717,714,19102,0,0,0
27.157,517761,709,712,19102,0,0,0
27.227,517833,700,710,19092,0,0,0
27.310,517905,692,709,19086,0,0,0
27.373,517977,683,707,19083,0,0,0
27.450,518049,675,705,19083,0,0,0
27.515,518121,666,704,19092,0,0,0
27.592,518193,658,702,19092,0,0,0
27.732,518337,641,699,19083,0,0,0
27.803,518409,632,697,19086,0,0,0
27.877,518481,624,696,19092,0,0,0
27.953,518553,615,694,19083,0,0,0
28.097,518697,598,691,19092,0,0,0
28.166,518769,590,689,19083,0,0,0
28.315,518913,572,686,19064,0,0,0
28.397,518985,564,684,19067,0,0,0
28.453,519057,555,683,19067,0,0,0
28.529,519129,547,681,19092,0,0,0
28.596,519201,538,679,19083,0,0,0
28.670,519273,530,678,19086,0,0,0
28.815,519417,513,675,19092,0,0,0
28.893,519489,505,673,19102,0,0,0
28.955,519561,496,671,19102,0,0,0
29.030,519633,488,670,19102,0,0,0
29.106,519705,479,668,19102,0,0,0
29.174,519777,471,666,19092,0,0,0
29.246,519849,463,665,19086,0,0,0
29.316,519921,454,663,19086,0,0,0
29.391,519993,445,661,19083,0,0,0
29.460,520065,437,660,19083,0,0,0
29.531,520137,429,658,19083,0,0,0
29.603,520209,420,657,19102,0,0,0
29.682,520281,412,655,19077,0,0,0
29.747,520353,403,653,19077,0,0,0
29.823,520425,395,652,19083,0,0,0
29.938,520497,386,650,19064,0,0,0
30.039,520641,369,647,19083,0,0,0
30.109,520713,361,645,19083,0,0,0
30.179,520785,352,644,19102,0,0,0
30.257,520857,343,642,19077,0,0,0
30.411,521001,326,639,19092,0,0,0
30.468,521073,318,637,19083,0,0,0
30.543,521145,309,635,19083,0,0,0
30.643,521217,301,634,19086,0,0,0
30.760,521361,284,631,19086,0,0,0
30.834,521433,276,629,19083,0,0,0
30.899,521505,267,627,19073,0,0,0
31.055,521649,250,624,19077,0,0,0
31.117,521721,242,622,19073,0,0,0
31.206,521793,233,621,19092,0,0,0
31.267,521865,225,619,19108,0,0,0
31.350,521937,216,618,19121,0,0,0
31.405,522009,208,616,19108,0,0,0
31.475,522081,200,614,19102,0,0,0
31.552,522153,191,613,19102,0,0,0
31.621,522225,182,611,19092,0,0,0
31.691,522297,174,609,19102,0,0,0
31.767,522369,166,608,19083,0,0,0
31.836,522441,157,606,19083,0,0,0
31.918,522513,148,604,19083,0,0,0
31.979,522585,140,603,19086,0,0,0
32.067,522657,131,601,19083,0,0,0
32.131,522729,123,600,19067,0,0,0
32.195,522801,115,598,19067,0,0,0
32.340,522945,98,595,19083,0,0,0
32.412,523017,89,593,19073,0,0,0
32.485,523089,80,591,19083,0,0,0
32.555,523161,72,590,19083,0,0,0
32.703,523305,55,587,19092,0,0,0
32.772,523377,46,585,19102,0,0,0
32.922,523521,29,582,19083,0,0,0
32.997,523593,21,580,19092,0,0,0
33.059,523665,13,578,19064,0,0,0
33.203,523809,-5,575,19092,0,0,0
33.276,523881,-13,574,19102,0,0,0
33.351,523953,-21,572,19092,0,0,0
33.420,524025,-30,570,19108,0,0,0
33.501,524097,-38,569,19102,0,0,0
33.692,524241,-55,565,19102,0,0,0
33.709,524313,-64,564,19099,0,0,0
33.779,524385,-72,562,19102,0,0,0
33.863,524457,-81,561,19111,0,0,0
33.929,524529,-89,559,19083,0,0,0
33.995,524601,-98,557,19092,0,0,0
34.068,524673,-106,556,19102,0,0,0
34.139,524745,-115,554,19092,0,0,0
34.284,524889,-126,552,19073,0,0,0
34.355,524961,-129,551,19092,0,0,0
34.431,525033,-130,551,19013,0,0,0
34.500,525105,-131,551,18994,0,0,0
34.748,525354,-136,550,19083,0,0,0
34.799,525405,-136,550,19083,0,0,0
34.864,525461,-136,550,19083,0,0,0
34.915,525517,-136,550,19083,0,0,0
34.973,525573,-136,550,19083,0,0,0
35.035,525629,-136,550,19083,0,0,0
35.089,525685,-136,550,19083,0,0,0
35.191,525797,-136,550,19083,0,0,0
35.252,525853,-136,550,19083,0,0,0
35.303,525909,-136,550,19083,0,0,0
35.359,525965,-136,550,19083,0,0,0
35.418,526021,-136,550,19083,0,0,0
35.472,526077,-136,550,19083,0,0,0
35.531,526133,-136,550,19083,0,0,0
35.583,526189,-136,550,19083,0,0,0
35.639,526245,-136,550,19083,0,0,0
35.776,526377,-138,550,19162,0,0,0
35.843,526449,-138,549,19242,0,0,0
35.917,526521,-139,549,19533,0,0,0
35.998,526595,-140,549,19965,0,0,0
36.069,526665,-140,549,20650,0,0,0
36.131,526737,-140,549,21506,0,0,0
36.202,526809,-141,548,22477,0,0,0
36.275,526881,-141,548,23403,0,0,0
36.353,526953,-141,548,24301,0,0,0
36.567,527169,-140,550,26664,0,0,0
36.684,527289,-140,550,27860,0,0,0
36.771,527378,-140,551,28177,0,0,0
36.823,527429,-140,551,28177,0,0,0
36.900,527501,-140,551,28177,0,0,0
36.976,527573,-140,551,28177,0,0,0
37.040,527645,-140,551,28177,0,0,0
37.111,527717,-140,551,28177,0,0,0
37.267,527861,-140,551,28177,0,0,0
37.324,527911,-140,551,28177,0,0,0
37.362,527961,-140,551,28177,0,0,0
37.413,528017,-140,551,28177,0,0,0
37.481,528073,-140,551,28177,0,0,0
37.530,528129,-140,551,28177,0,0,0
37.580,528185,-140,551,28177,0,0,0
37.648,528241,-140,551,28177,0,0,0
37.692,528297,-140,551,28177,0,0,0
37.803,528409,-140,551,28177,0,0,0
37.863,528465,-140,551,28177,0,0,0
37.915,528521,-140,551,28177,0,0,0
37.971,528577,-140,551,28177,0,0,0
38.037,528633,-140,551,28177,0,0,0
38.097,528690,-140,551,28177,0,0,0
38.135,528741,-140,550,28177,0,0,0
38.279,528885,-139,546,28266,0,0,0
38.351,528957,-138,542,28282,0,0,0
38.427,529029,-137,536,28285,0,0,0
38.498,529101,-135,529,28285,0,0,0
38.639,529245,-131,509,28231,0,0,0
38.710,529317,-129,499,28212,0,0,0
38.786,529389,-127,490,28187,0,0,0
38.936,529533,-123,473,28193,0,0,0
38.999,529605,-122,465,28212,0,0,0
39.088,529677,-120,456,28215,0,0,0
39.144,529749,-118,448,28187,0,0,0
39.215,529821,-116,440,28193,0,0,0
39.292,529893,-114,431,28177,0,0,0
39.360,529965,-113,422,28142,0,0,0
39.442,530039,-111,414,28149,0,0,0
39.507,530109,-109,405,28158,0,0,0
39.582,530181,-107,397,28161,0,0,0
39.652,530253,-106,388,28168,0,0,0
39.720,530325,-104,380,28177,0,0,0
39.802,530397,-102,371,28177,0,0,0
39.865,530469,-100,362,28177,0,0,0
39.948,530541,-99,354,28177,0,0,0
40.006,530613,-97,346,28206,0,0,0
40.078,530685,-95,337,28193,0,0,0
40.150,530757,-93,329,28193,0,0,0
40.226,530829,-92,320,28177,0,0,0
40.296,530901,-90,312,28187,0,0,0
40.374,530973,-88,304,28203,0,0,0
40.438,531045,-86,295,28196,0,0,0
40.585,531189,-83,278,28183,0,0,0
40.670,531261,-81,270,28196,0,0,0
40.807,531405,-77,253,28177,0,0,0
40.943,531549,-74,236,28171,0,0,0
41.016,531621,-72,228,28177,0,0,0
41.090,531693,-70,219,28187,0,0,0
41.167,531765,-69,211,28187,0,0,0
41.303,531909,-65,194,28177,0,0,0
41.375,531981,-63,185,28177,0,0,0
41.447,532053,-62,177,28168,0,0,0
41.521,532125,-60,168,28177,0,0,0
41.598,532197,-58,160,28177,0,0,0
41.662,532269,-56,151,28158,0,0,0
41.748,532341,-55,143,28168,0,0,0
41.807,532413,-53,134,28177,0,0,0
42.027,532629,-48,109,28142,0,0,0
42.095,532701,-46,100,28183,0,0,0
42.166,532773,-44,92,28177,0,0,0
42.239,532845,-42,84,28177,0,0,0
42.316,532917,-41,75,28187,0,0,0
42.383,532989,-39,67,28206,0,0,0
42.471,533061,-37,58,28203,0,0,0
42.534,533133,-35,50,28177,0,0,0
42.600,533205,-34,42,28187,0,0,0
42.675,533277,-32,33,28203,0,0,0
42.742,533349,-30,25,28177,0,0,0
42.893,533493,-26,8,28193,0,0,0
42.958,533565,-25,-1,28187,0,0,0
43.036,533637,-23,-9,28187,0,0,0
43.118,533709,-21,-17,28168,0,0,0
43.246,533853,-19,-28,28142,0,0,0
43.324,533925,-19,-30,28161,0,0,0
43.450,534047,-18,-31,28142,0,0,0
43.510,534117,-18,-33,28177,0,0,0
43.671,534278,-17,-36,28222,0,0,0
43.724,534329,-17,-36,28222,0,0,0
43.796,534401,-17,-36,28222,0,0,0
43.870,534473,-17,-36,28222,0,0,0
43.939,534545,-17,-36,28222,0,0,0
44.012,534617,-17,-36,28222,0,0,0
44.093,534689,-17,-36,28222,0,0,0
44.166,534763,-17,-36,28222,0,0,0
44.211,534817,-17,-36,28222,0,0,0
44.267,534873,-17,-36,28222,0,0,0
44.324,534929,-17,-36,28222,0,0,0
44.380,534985,-17,-36,28222,0,0,0
44.451,535041,-17,-36,28222,0,0,0
44.492,535097,-17,-36,28222,0,0,0
44.546,535153,-17,-36,28222,0,0,0
44.612,535209,-17,-36,28222,0,0,0
44.776,535377,-17,-36,28222,0,0,0
44.892,535489,-17,-36,28222,0,0,0
44.945,535545,-17,-36,28222,0,0,0
45.005,535601,-17,-36,28222,0,0,0
45.053,535657,-17,-36,28222,0,0,0
45.107,535713,-17,-36,28222,0,0,0
45.163,535769,-17,-36,28222,0,0,0
45.221,535825,-17,-36,28222,0,0,0
45.345,535937,-17,-36,28222,0,0,0
45.387,535993,-17,-36,28222,0,0,0
45.443,536050,-17,-36,28222,0,0,0
45.494,536101,-17,-36,28241,0,0,0
45.566,536173,-17,-37,28336,0,0,0
45.639,536245,-17,-38,28475,0,0,0
45.710,536317,-17,-38,28783,0,0,0
45.776,536367,-17,-39,29103,0,0,0
45.845,536437,-16,-39,29773,0,0,0
45.904,536509,-16,-40,30610,0,0,0
