t_host,vl_mmps,vr_mmps
-0.629,0,0
-0.573,0,0
-0.492,0,0
-0.451,0,0
-0.395,0,0
-0.342,0,0
-0.290,0,0
-0.236,0,0
-0.157,0,0
-0.116,0,0
-0.067,0,0
-0.001,0,0
0.052,0,0
0.107,0,0
0.158,0,0
0.231,0,0
0.324,0,0
0.435,0,0
0.492,0,0
0.553,0,0
0.605,0,0
0.729,13,0
0.784,18,33
0.863,33,50
0.995,68,83
1.049,116,116
1.129,131,131
1.194,140,142
1.266,148,122
1.340,134,131
1.408,140,122
1.484,116,125
1.556,125,116
1.628,125,125
1.707,131,125
1.769,116,139
1.843,116,116
1.984,134,113
2.066,116,116
2.128,116,125
2.227,122,131
2.272,131,131
2.344,125,125
2.440,110,116
2.488,107,107
2.561,107,116
2.631,116,139
2.704,113,107
2.848,116,122
2.919,116,116
2.996,116,139
3.069,116,125
3.209,131,125
3.294,125,116
3.361,134,131
3.429,131,122
3.584,122,116
3.655,116,113
3.714,131,116
3.787,122,134
3.866,131,116
3.942,125,131
4.004,125,107
4.075,125,116
4.148,122,131
4.216,125,134
4.290,116,134
4.429,122,116
4.432,107,116
4.506,116,130
4.582,116,107
4.648,134,122
4.721,130,134
4.792,122,116
4.940,107,107
5.009,116,116
5.154,107,122
5.226,113,116
5.296,122,116
5.367,134,125
5.511,107,116
5.584,116,116
5.659,130,107
5.746,122,107
5.812,116,134
5.871,134,116
5.950,131,122
6.027,122,107
6.098,116,107
6.161,125,125
6.233,113,116
6.376,125,98
6.454,131,116
6.520,101,122
6.592,125,125
6.666,122,134
6.751,122,131
6.812,125,116
6.882,125,116
7.034,116,131
7.103,131,131
7.183,122,122
7.241,107,116
7.311,116,125
7.460,107,134
7.528,125,131
7.604,113,116
7.672,116,113
7.818,110,116
7.889,122,125
7.971,134,116
8.032,134,131
8.179,122,125
8.261,131,116
8.321,116,113
8.402,134,133
8.468,125,134
8.541,122,110
8.611,101,131
8.683,116,116
8.756,125,131
8.824,116,113
8.899,116,116
8.984,122,116
9.039,89,98
9.123,68,59
9.176,42,33
9.246,33,9
9.311,18,18
9.391,0,18
9.447,24,18
9.525,24,18
9.610,0,0
9.660,0,0
9.762,0,0
9.794,0,0
9.835,0,0
9.892,0,0
10.008,0,0
10.061,0,0
10.111,0,0
10.205,0,0
10.225,0,0
10.281,0,0
10.339,0,0
10.391,0,0
10.454,0,0
10.505,0,0
10.619,0,0
10.679,0,0
10.725,0,0
10.795,0,24
10.877,0,24
10.940,-33,74
11.029,-50,101
11.085,-110,131
11.174,-125,148
11.304,-139,148
11.375,-134,148
11.445,-148,134
11.520,-139,131
11.588,-131,122
11.664,-148,116
11.896,0,0
11.954,0,0
12.009,0,0
12.064,0,0
12.120,0,0
12.186,0,0
12.241,0,0
12.292,0,0
12.343,0,0
12.401,0,0
12.534,0,0
12.570,0,0
12.623,0,0
12.685,0,0
12.735,0,0
12.799,0,0
12.856,0,0
12.928,0,0
12.975,0,0
13.076,0,0
13.133,0,0
13.183,0,0
13.245,0,0
13.295,0,0
13.352,0,0
13.417,0,0
13.464,0,0
13.527,0,0
13.596,0,0
13.692,0,0
13.747,0,0
13.808,0,0
13.855,0,0
13.912,0,0
13.967,0,0
14.034,0,0
14.079,0,0
14.144,0,0
14.193,0,0
14.365,0,0
14.417,0,0
14.472,0,0
14.527,0,0
14.583,0,0
14.642,0,0
14.695,0,0
14.755,0,0
14.864,0,0
14.930,0,0
14.978,0,0
15.034,0,0
15.090,0,0
15.143,0,0
15.199,0,0
15.256,0,0
15.311,0,0
15.377,0,0
15.538,0,0
15.593,0,0
15.647,0,0
15.704,0,0
15.759,0,0
15.818,0,0
15.877,0,0
15.927,0,0
16.001,0,0
16.104,0,0
16.156,0,0
16.212,0,0
16.265,0,0
16.324,0,0
16.382,0,0
16.435,0,0
16.489,0,0
16.555,0,0
16.598,0,13
16.669,9,50
16.742,50,33
16.820,74,50
16.938,125,107
17.011,134,116
17.151,148,133
17.220,134,122
17.297,116,130
17.375,131,125
17.436,125,116
17.513,125,125
17.580,113,131
17.661,124,125
17.732,116,122
17.795,116,107
17.868,116,125
17.945,134,116
18.015,125,122
18.097,107,125
18.176,122,125
18.254,107,107
18.371,116,125
18.521,131,116
18.588,107,116
18.674,116,116
18.731,116,116
18.954,134,134
19.020,107,125
19.119,122,116
19.169,134,125
19.244,107,130
19.311,125,131
19.380,116,122
19.489,110,116
19.532,107,122
19.596,125,134
19.670,116,134
19.740,125,130
19.819,116,122
19.890,116,116
19.957,116,125
20.040,116,122
20.176,125,134
20.302,107,125
20.364,134,113
20.452,131,122
20.516,116,107
20.606,116,139
20.656,122,134
20.724,125,125
20.798,116,134
20.869,131,110
21.022,122,107
21.092,134,107
21.166,133,116
21.232,116,134
21.317,116,125
21.374,116,116
21.447,122,131
21.588,110,101
21.659,48,65
21.742,15,33
21.817,24,0
21.948,27,15
22.018,18,36
22.256,0,0
22.333,0,0
22.459,0,0
22.506,0,0
22.559,0,0
22.616,0,0
22.677,0,0
22.734,0,0
22.784,0,0
22.840,0,0
22.919,0,0
23.011,0,0
23.067,0,0
23.120,0,0
23.183,0,0
23.234,0,0
23.288,0,0
23.355,0,0
23.402,0,0
23.459,0,0
23.569,0,0
23.623,0,0
23.681,0,0
23.793,0,0
23.863,0,8
23.932,0,18
24.003,-6,33
24.153,-83,101
24.239,-101,139
24.295,-139,154
24.364,-148,166
24.510,-139,122
24.600,-148,110
24.653,-139,116
24.726,-131,116
24.800,-98,98
24.894,0,0
24.960,0,0
25.015,0,0
25.080,0,0
25.128,0,0
25.183,0,0
25.238,0,0
25.311,0,0
25.364,0,0
25.471,0,0
25.525,0,0
25.575,0,0
25.636,0,0
25.689,0,0
25.745,0,0
25.806,0,0
25.861,0,13
25.932,18,33
26.008,50,42
26.100,74,74
26.149,98,89
26.224,107,122
26.300,139,142
26.386,148,134
26.436,148,134
26.509,116,131
26.602,122,116
26.656,116,113
26.868,131,122
26.942,116,134
27.011,116,122
27.083,116,125
27.157,116,133
27.227,116,116
27.310,113,116
27.373,116,116
27.450,107,116
27.515,107,122
27.592,116,122
27.732,116,122
27.803,107,107
27.877,107,125
27.953,107,116
28.097,131,122
28.166,116,107
28.315,116,130
28.397,125,116
28.453,130,107
28.529,116,116
28.596,116,122
28.670,116,125
28.815,122,116
28.893,116,125
28.955,125,116
29.030,122,116
29.106,116,116
29.174,134,116
29.246,122,110
29.316,130,134
29.391,134,131
29.460,125,113
29.531,110,116
29.603,116,116
29.682,116,116
29.747,122,125
29.823,116,116
29.938,133,113
30.039,116,116
30.109,116,116
30.179,116,134
30.257,139,116
30.411,134,125
30.468,125,131
30.543,130,107
30.643,131,134
30.760,107,116
30.834,116,125
30.899,116,122
31.055,122,116
31.117,125,116
31.206,107,116
31.267,116,122
31.350,122,116
31.405,116,116
31.475,107,116
31.552,116,116
31.621,125,125
