t_host,x_cm,y_cm,yaw_rad
-0.593,49.70,30.80,3.0840
-0.102,49.70,30.80,3.0780
0.555,49.70,30.90,3.0720
1.022,49.30,30.90,3.0940
1.512,42.60,31.10,3.0760
1.969,37.40,31.40,3.0640
2.469,32.10,31.60,3.0690
2.901,26.20,31.80,3.0790
3.425,20.20,32.40,3.0270
3.883,14.90,32.50,3.0670
4.349,9.70,32.80,3.0600
4.836,3.90,33.00,3.0810
5.340,-2.10,33.60,3.0320
5.794,-7.30,33.80,3.0660
6.266,-13.30,34.30,3.0520
6.723,-18.50,34.40,3.0830
7.295,-23.80,35.00,3.0320
8.003,-33.40,35.50,3.0590
8.437,-38.70,36.00,3.0560
8.901,-43.90,36.40,3.0450
9.437,-47.80,36.70,3.0460
9.983,-48.40,36.90,3.0400
10.426,-48.50,36.70,3.0630
10.886,-48.50,36.70,3.0700
11.354,-48.50,36.70,3.0630
11.806,-48.50,36.80,3.0590
12.334,-49.00,36.80,3.7440
12.798,-49.30,35.90,4.5730
13.251,-48.90,35.90,4.7050
13.720,-49.10,35.90,4.6760
14.210,-49.10,35.90,4.6750
14.855,-49.10,35.90,4.6780
15.304,-49.00,35.90,4.6810
15.829,-49.00,35.90,4.6770
16.286,-49.00,35.90,4.6780
16.807,-49.10,35.90,4.6780
17.280,-49.10,35.90,4.6770
17.786,-49.10,35.90,4.6760
18.195,-49.10,35.90,4.6760
18.667,-49.10,35.90,4.6680
19.197,-49.10,35.90,4.6750
19.663,-49.10,35.90,4.6660
20.118,-48.90,35.90,4.7010
20.578,-48.90,35.90,4.7030
21.047,-49.10,35.90,4.6680
21.527,-48.90,35.90,4.7020
22.041,-48.90,35.90,4.7040
22.569,-49.10,35.90,4.6780
23.022,-49.10,35.90,4.6760
23.491,-49.10,35.90,4.6770
24.054,-49.10,35.90,4.6740
24.543,-49.10,35.90,4.6780
25.005,-49.00,35.90,4.6770
25.472,-49.10,35.90,4.6790
25.947,-49.10,35.90,4.6770
26.384,-48.90,35.90,4.7020
26.843,-49.10,35.90,4.6770
27.330,-49.10,35.90,4.6720
27.848,-49.10,35.90,4.6780
28.402,-49.00,32.50,4.6770
28.832,-49.20,27.00,4.6630
29.388,-49.40,20.30,4.6650
29.882,-49.80,14.40,4.6380
30.351,-49.80,9.10,4.6750
30.901,-50.20,2.40,4.6560
31.442,-50.40,-3.60,4.6580
31.931,-50.70,-9.60,4.6480
32.390,-50.90,-15.70,4.6570
32.854,-51.20,-20.90,4.6570
33.392,-51.20,-22.60,4.6750
33.872,-51.20,-22.70,4.6710
34.349,-51.30,-22.80,4.6780
34.868,-51.20,-22.90,-0.7710
35.336,-51.60,-22.90,-0.0520
35.850,-51.60,-22.80,-0.0470
36.295,-51.60,-22.90,-0.0490
36.758,-51.60,-22.90,-0.0490
37.229,-51.60,-22.90,-0.0570
37.701,-51.60,-22.80,-0.0500
38.213,-51.60,-22.90,-0.0550
38.733,-51.60,-22.80,-0.0480
39.263,-51.60,-22.90,-0.0520
39.732,-51.60,-22.90,-0.0510
40.350,-51.60,-22.80,-0.0480
40.919,-51.60,-22.80,-0.0470
41.374,-51.60,-22.90,-0.0500
41.834,-51.60,-22.90,-0.0530
42.300,-51.60,-22.80,-0.0470
42.945,-51.60,-22.80,-0.0480
43.424,-51.50,-23.00,-0.0780
43.881,-47.70,-23.20,-0.0910
44.338,-42.10,-23.20,-0.0540
44.900,-36.10,-23.40,-0.0480
45.343,-30.00,-23.90,-0.0970
45.788,-24.90,-24.40,-0.1190
46.259,-18.80,-24.50,-0.1010
46.717,-13.60,-24.70,-0.0740
47.190,-8.30,-24.90,-0.0770
47.654,-2.30,-25.40,-0.1060
48.096,2.80,-25.70,-0.1080
48.578,8.00,-26.10,-0.1090
49.078,14.00,-26.40,-0.1140
49.577,20.00,-26.80,-0.1160
50.090,25.90,-27.20,-0.1150
50.542,31.90,-27.60,-0.0900
51.004,37.20,-28.10,-0.1210
51.473,42.40,-28.30,-0.0810
51.963,46.30,-28.70,-0.0940
52.480,47.00,-28.50,-0.0400
52.955,47.00,-28.60,-0.0640
53.531,47.00,-28.60,-0.0630
53.970,47.40,-28.90,0.4130
54.480,47.20,-29.00,1.3180
54.961,47.30,-29.00,1.4550
55.432,47.30,-29.00,1.4550
55.891,47.10,-29.00,1.4870
56.352,47.20,-29.00,1.4870
56.889,47.30,-29.00,1.4720
57.394,47.30,-29.00,1.4600
57.867,47.20,-29.00,1.4860
58.334,47.30,-29.00,1.4720
58.821,47.10,-28.90,1.4870
59.325,47.30,-29.00,1.4750
59.797,47.40,-29.00,1.4550
60.249,47.30,-29.00,1.4740
60.709,47.30,-29.00,1.4600
61.183,47.30,-29.00,1.4740
61.711,47.30,-29.00,1.4590
62.163,47.20,-29.00,1.4880
62.637,47.10,-29.00,1.4880
63.090,47.40,-29.00,1.4550
63.643,47.30,-29.00,1.4750
64.074,47.30,-29.00,1.4720
64.544,47.30,-29.00,1.4700
64.991,47.20,-29.00,1.4720
65.475,47.20,-29.00,1.4730
66.027,47.40,-29.00,1.4550
66.536,47.30,-26.30,1.4870
66.972,48.10,-20.70,1.4060
67.550,48.30,-13.90,1.4740
68.105,48.90,-7.30,1.4690
68.751,49.40,-0.40,1.4810
69.220,50.00,6.30,1.4710
69.679,50.60,11.50,1.4520
70.159,50.80,16.60,1.4920
70.616,51.50,22.60,1.4750
71.139,52.20,28.50,1.4440
71.599,52.20,29.80,1.4660
72.134,52.20,29.90,1.4660
72.584,52.00,29.90,1.4910
73.091,52.30,29.90,1.4630
73.582,52.20,29.90,1.4740
74.081,52.30,29.90,1.4590
74.498,52.10,29.90,1.4860
75.017,52.20,29.90,1.4680
75.547,52.20,30.00,1.4990
76.029,52.30,30.10,2.3620
76.495,52.30,30.00,3.0250
76.945,52.30,29.90,3.0340
77.412,52.30,29.90,3.0330
77.867,52.30,29.80,3.0530
78.483,52.30,30.10,3.0020
