t_host,t_dev_ms,x_mm,y_mm,h_cdeg,ox_mm,oy_mm,oh_cdeg
-0.836,370121,-187,588,62156,-39,596,-10644
-0.791,370177,-187,588,62156,-39,596,-10644
-0.677,370289,-187,588,62156,-39,596,-10644
-0.510,370457,-187,588,62156,-39,596,-10643
-0.455,370513,-187,588,62156,-39,596,-10643
-0.401,370569,-187,588,62156,-39,596,-10643
-0.343,370625,-187,588,62156,-39,596,-10643
-0.283,370681,-187,588,62156,-39,596,-10643
-0.221,370737,-187,588,62156,-39,596,-10643
-0.109,370849,-187,588,62156,-39,596,-10643
-0.061,370905,-187,588,62156,-39,596,-10643
0.007,370961,-187,588,62156,-39,596,-10643
0.057,371017,-187,588,62156,-39,596,-10643
0.110,371073,-187,588,62156,-39,596,-10643
0.161,371129,-187,588,62156,-39,596,-10643
0.275,371241,-187,588,62156,-39,596,-10643
0.331,371297,-187,588,62156,-39,596,-10643
0.388,371353,-187,588,62156,-39,596,-10643
0.497,371465,-187,588,62156,-39,596,-10643
0.556,371522,-187,588,62156,-39,596,-10643
0.603,371573,-188,588,62156,-39,596,-10643
0.679,371645,-188,586,62172,-39,595,-10630
0.899,371861,-189,574,62251,-40,591,-10569
0.965,371933,-190,567,62261,-43,583,-10549
1.035,372005,-192,557,62280,-47,570,-10565
1.095,372055,-192,550,62254,-47,570,-10565
1.229,372197,-195,530,62191,-52,554,-10619
1.300,372269,-197,521,62156,-56,540,-10667
1.371,372341,-198,512,62156,-60,527,-10680
1.447,372413,-199,504,62156,-60,527,-10680
1.587,372557,-202,487,62156,-67,502,-10690
1.662,372629,-203,478,62162,-67,502,-10690
1.731,372701,-204,470,62165,-71,490,-10696
1.818,372775,-205,461,62184,-74,477,-10688
1.887,372845,-207,453,62172,-74,477,-10688
1.952,372917,-208,444,62172,-78,465,-10696
2.023,372989,-209,436,62175,-82,452,-10698
2.091,373061,-210,427,62175,-82,452,-10698
2.163,373133,-212,418,62156,-86,440,-10699
2.238,373205,-213,410,62175,-86,440,-10699
2.314,373277,-214,402,62156,-90,428,-10693
2.384,373349,-215,393,62165,-93,416,-10698
2.534,373495,-218,376,62165,-97,403,-10698
2.595,373565,-219,367,62156,-101,391,-10703
2.668,373637,-220,359,62156,-101,391,-10703
2.739,373709,-222,350,62146,-105,379,-10711
2.817,373781,-223,342,62156,-109,366,-10716
2.883,373853,-224,333,62156,-109,366,-10716
2.958,373925,-226,325,62146,-113,355,-10704
3.028,373997,-227,316,62156,-117,342,-10695
3.175,374141,-229,299,62156,-121,329,-10704
3.250,374213,-231,291,62140,-121,329,-10704
3.315,374285,-232,282,62121,-125,317,-10751
3.387,374357,-233,273,62131,-129,305,-10755
3.531,374501,-236,256,62146,-133,292,-10749
3.603,374573,-237,247,62146,-137,279,-10744
3.679,374645,-239,239,62150,-137,279,-10744
3.747,374717,-240,230,62165,-141,267,-10747
3.902,374863,-242,213,62156,-145,255,-10744
3.978,374933,-244,205,62172,-149,243,-10743
4.034,375005,-245,196,62181,-153,230,-10732
4.107,375077,-246,187,62175,-153,230,-10732
4.182,375149,-247,179,62150,-156,217,-10743
4.254,375221,-249,170,62156,-156,217,-10743
4.326,375293,-250,162,62146,-160,205,-10750
4.412,375365,-251,153,62162,-164,194,-10742
4.473,375437,-252,145,62175,-164,194,-10742
4.540,375509,-254,137,62156,-168,182,-10739
4.623,375583,-255,128,62146,-172,169,-10753
4.757,375725,-257,111,62175,-176,157,-10741
4.828,375797,-259,102,62172,-180,145,-10738
4.908,375869,-260,94,62156,-180,145,-10738
4.978,375941,-261,85,62146,-184,133,-10759
5.042,376013,-262,77,62156,-188,121,-10759
5.126,376085,-264,68,62156,-188,121,-10759
5.190,376157,-265,59,62156,-192,109,-10760
5.267,376229,-266,51,62146,-192,109,-10760
5.331,376301,-268,42,62140,-197,96,-10774
5.477,376445,-270,25,62146,-201,84,-10769
5.554,376517,-272,17,62172,-205,72,-10775
5.619,376589,-273,8,62156,-209,60,-10773
5.692,376661,-274,0,62156,-209,60,-10773
5.837,376805,-277,-18,62146,-218,35,-10785
5.908,376877,-278,-26,62140,-218,35,-10785
5.967,376927,-279,-32,62165,-222,23,-10796
6.028,376997,-280,-41,62146,-222,23,-10796
6.101,377069,-281,-49,62172,-226,10,-10789
6.243,377213,-284,-66,62191,-230,-1,-10775
6.316,377285,-285,-75,62191,-234,-13,-10778
6.386,377357,-286,-83,62184,-238,-25,-10782
6.652,377573,-290,-109,62200,-242,-37,-10775
6.678,377645,-291,-117,62181,-246,-49,-10753
6.748,377717,-292,-126,62191,-250,-61,-10766
6.820,377789,-294,-134,62165,-250,-61,-10766
6.896,377861,-295,-143,62156,-255,-74,-10785
6.964,377933,-296,-151,62131,-259,-86,-10810
7.042,378005,-298,-160,62131,-259,-86,-10810
7.115,378077,-299,-168,62137,-263,-98,-10822
7.180,378149,-300,-177,62140,-267,-110,-10813
7.256,378221,-301,-186,62146,-267,-110,-10813
7.373,378341,-303,-200,62172,-272,-122,-10787
7.460,378413,-305,-208,62175,-276,-135,-10792
7.515,378485,-306,-217,62146,-280,-148,-10800
7.593,378557,-307,-226,62156,-280,-148,-10800
7.733,378701,-310,-243,62156,-288,-172,-10809
7.806,378773,-311,-251,62165,-288,-172,-10809
7.877,378845,-312,-260,62146,-292,-184,-10817
7.950,378917,-314,-269,62140,-292,-184,-10817
8.027,378989,-315,-277,62156,-297,-197,-10819
8.094,379061,-316,-286,62156,-301,-209,-10807
8.169,379133,-318,-294,62172,-301,-209,-10807
8.240,379205,-319,-303,62146,-305,-221,-10811
8.314,379277,-320,-311,62137,-309,-233,-10847
8.397,379349,-321,-320,62146,-309,-233,-10847
8.456,379421,-323,-328,62162,-313,-245,-10849
8.525,379493,-324,-337,62156,-318,-257,-10847
8.596,379565,-325,-345,62156,-318,-257,-10847
8.705,379637,-326,-354,62156,-322,-269,-10835
8.779,379709,-328,-362,62156,-326,-281,-10826
8.819,379781,-329,-371,62172,-326,-281,-10826
8.958,379925,-331,-387,62175,-330,-293,-10816
9.028,379997,-332,-392,62156,-334,-305,-10810
9.099,380069,-332,-394,62165,-336,-310,-10791
9.184,380141,-332,-395,62096,-336,-310,-10791
9.318,380285,-333,-398,62146,-337,-313,-10809
9.401,380357,-333,-399,62191,-337,-313,-10809
9.629,380593,-333,-402,62216,-338,-318,-10739
9.729,380665,-333,-402,62216,-338,-318,-10738
9.767,380737,-333,-402,62216,-338,-318,-10738
9.840,380809,-333,-402,62216,-338,-318,-10738
9.983,380953,-333,-402,62216,-338,-318,-10738
10.054,381025,-333,-402,62216,-338,-318,-10738
10.144,381097,-333,-402,62216,-338,-318,-10737
10.222,381169,-333,-402,62216,-338,-318,-10737
10.275,381241,-333,-402,62216,-338,-318,-10737
10.353,381313,-333,-402,62216,-338,-318,-10737
10.431,381385,-333,-402,62216,-338,-318,-10737
10.488,381457,-333,-402,62216,-338,-318,-10738
10.558,381529,-333,-402,62216,-338,-318,-10738
10.720,381673,-333,-402,62216,-338,-318,-10738
10.788,381747,-333,-402,62216,-338,-318,-10737
10.889,381857,-333,-402,62216,-338,-318,-10737
11.014,381969,-333,-402,62216,-338,-318,-10737
11.110,382081,-333,-402,62216,-338,-318,-10737
11.170,382137,-333,-402,62216,-338,-318,-10737
11.232,382193,-333,-402,62216,-338,-318,-10737
11.282,382249,-333,-402,62216,-338,-318,-10737
11.342,382305,-333,-402,62216,-338,-318,-10737
11.391,382361,-333,-402,62216,-338,-318,-10737
11.504,382473,-333,-402,62216,-338,-318,-10737
11.559,382529,-333,-402,62216,-338,-318,-10737
11.621,382589,-333,-402,62245,-338,-318,-10737
11.694,382661,-334,-402,62349,-338,-318,-10719
11.763,382733,-334,-403,62483,-338,-318,-10719
11.836,382805,-334,-404,62746,-338,-319,-10577
12.089,383021,-333,-406,64941,-337,-320,-8837
12.127,383093,-333,-406,65877,-336,-320,-7352
12.195,383165,-334,-406,66816,-336,-320,-7352
12.340,383309,-333,-406,68262,-334,-319,-5039
12.415,383381,-332,-407,68960,-334,-319,-5039
12.500,383453,-331,-407,69804,-332,-320,-3863
12.563,383525,-331,-407,70670,-332,-319,-2509
12.716,383686,-330,-408,71628,-332,-319,-1466
12.840,383809,-330,-408,71628,-331,-319,-1429
12.911,383881,-330,-408,71628,-331,-319,-1432
13.056,384025,-330,-408,71628,-331,-319,-1432
13.126,384097,-330,-408,71628,-331,-319,-1432
13.210,384169,-330,-408,71628,-331,-319,-1432
13.271,384241,-330,-408,71628,-331,-319,-1432
13.347,384313,-330,-408,71628,-331,-319,-1433
13.420,384385,-330,-408,71628,-331,-319,-1433
13.492,384457,-330,-408,71628,-331,-319,-1433
13.566,384529,-330,-408,71628,-331,-319,-1433
13.639,384601,-330,-408,71628,-331,-319,-1433
13.709,384673,-330,-408,71628,-331,-319,-1434
13.782,384745,-330,-408,71628,-331,-319,-1434
13.851,384817,-330,-408,71628,-331,-319,-1434
13.922,384889,-330,-408,71628,-331,-319,-1434
14.045,384961,-330,-408,71628,-331,-319,-1434
14.064,385033,-330,-408,71628,-331,-319,-1435
14.211,385177,-330,-408,71628,-331,-319,-1435
14.279,385249,-330,-408,71628,-331,-319,-1435
14.351,385321,-330,-408,71628,-331,-319,-1435
14.426,385393,-330,-408,71628,-331,-319,-1435
14.505,385465,-330,-408,71628,-331,-319,-1435
14.566,385537,-330,-408,71628,-331,-319,-1435
14.639,385609,-330,-408,71628,-331,-319,-1436
14.713,385681,-330,-408,71628,-331,-319,-1436
14.786,385753,-330,-408,71628,-331,-319,-1436
14.856,385825,-330,-408,71628,-331,-319,-1436
15.000,385969,-330,-408,71628,-331,-319,-1436
15.072,386041,-330,-408,71628,-331,-319,-1436
15.142,386113,-330,-408,71628,-331,-319,-1436
15.222,386185,-330,-408,71628,-331,-319,-1436
15.360,386329,-330,-408,71628,-331,-319,-1436
15.440,386401,-330,-408,71628,-331,-319,-1437
15.502,386473,-330,-408,71628,-331,-319,-1437
15.574,386545,-330,-408,71628,-331,-319,-1437
15.734,386689,-330,-408,71628,-331,-319,-1437
15.794,386761,-330,-408,71628,-331,-319,-1437
15.868,386833,-330,-408,71628,-331,-319,-1437
15.936,386905,-330,-408,71628,-331,-319,-1438
16.011,386977,-330,-408,71628,-331,-319,-1438
16.083,387049,-330,-408,71628,-331,-319,-1438
16.157,387121,-330,-408,71628,-331,-319,-1438
16.222,387193,-330,-408,71628,-331,-319,-1438
16.300,387265,-330,-408,71628,-331,-319,-1438
16.371,387337,-330,-408,71628,-331,-319,-1438
16.441,387409,-330,-408,71628,-331,-319,-1438
16.513,387481,-330,-408,71628,-331,-319,-1439
16.663,387625,-330,-408,71628,-331,-319,-1439
16.728,387697,-330,-408,71628,-331,-319,-1439
16.800,387769,-330,-408,71628,-331,-319,-1439
16.883,387841,-330,-408,71628,-331,-319,-1439
16.944,387913,-330,-408,71628,-331,-319,-1440
17.017,387985,-330,-408,71628,-331,-319,-1440
17.096,388057,-330,-408,71628,-331,-319,-1440
17.163,388129,-330,-408,71628,-331,-319,-1441
17.304,388273,-330,-408,71628,-331,-319,-1441
17.381,388345,-330,-408,71628,-331,-319,-1441
17.446,388417,-330,-408,71628,-331,-319,-1441
17.520,388489,-330,-408,71628,-331,-319,-1441
17.672,388633,-330,-408,71628,-331,-319,-1441
17.735,388705,-330,-408,71628,-331,-319,-1442
17.806,388777,-330,-408,71628,-331,-319,-1442
17.878,388849,-330,-408,71628,-331,-319,-1442
17.951,388921,-330,-408,71628,-331,-319,-1442
18.135,389065,-330,-408,71628,-331,-319,-1443
18.168,389137,-330,-408,71628,-331,-319,-1443
18.245,389209,-330,-408,71628,-331,-319,-1443
18.316,389281,-330,-408,71628,-331,-319,-1443
18.383,389353,-330,-408,71628,-331,-319,-1443
18.456,389425,-330,-408,71628,-331,-319,-1443
18.537,389497,-330,-408,71628,-331,-319,-1443
18.615,389569,-330,-408,71628,-331,-319,-1443
18.744,389713,-330,-408,71628,-331,-319,-1444
18.816,389785,-330,-408,71628,-331,-319,-1444
18.887,389857,-330,-408,71628,-331,-319,-1444
18.960,389929,-330,-408,71628,-331,-319,-1444
19.042,390001,-330,-408,71628,-331,-319,-1444
19.107,390073,-330,-408,71628,-331,-319,-1444
19.175,390145,-330,-408,71628,-331,-319,-1444
19.246,390217,-330,-408,71628,-331,-319,-1444
19.324,390289,-330,-408,71628,-331,-319,-1445
19.393,390361,-330,-408,71628,-331,-319,-1445
19.467,390433,-330,-408,71628,-331,-319,-1445
19.595,390561,-330,-408,71628,-331,-319,-1445
19.647,390617,-330,-408,71628,-331,-319,-1445
19.702,390673,-330,-408,71628,-331,-319,-1445
19.762,390729,-330,-408,71628,-331,-319,-1445
19.814,390785,-330,-408,71628,-331,-319,-1445
19.874,390841,-330,-408,71628,-331,-319,-1446
19.926,390897,-330,-408,71628,-331,-319,-1446
19.982,390953,-330,-408,71628,-331,-319,-1446
20.057,391009,-330,-408,71628,-331,-319,-1446
20.097,391065,-330,-408,71628,-331,-319,-1446
20.214,391177,-330,-408,71628,-331,-319,-1446
20.264,391233,-330,-408,71628,-331,-319,-1446
20.319,391289,-330,-408,71628,-331,-319,-1447
20.374,391345,-330,-408,71628,-331,-319,-1447
20.436,391401,-330,-408,71628,-331,-319,-1447
20.487,391457,-330,-408,71628,-331,-319,-1447
20.542,391513,-330,-408,71628,-331,-319,-1447
20.598,391569,-330,-408,71628,-331,-319,-1447
20.657,391625,-330,-408,71628,-331,-319,-1447
20.711,391681,-330,-408,71628,-331,-319,-1447
20.826,391793,-330,-408,71628,-331,-319,-1447
20.878,391849,-330,-408,71628,-331,-319,-1447
20.935,391905,-330,-408,71628,-331,-319,-1447
21.000,391961,-330,-408,71628,-331,-320,-1448
