t_host,t_dev_ms,x_mm,y_mm,h_cdeg,ox_mm,oy_mm,oh_cdeg
0.067,86745,0,0,0,0,0,0
0.139,86816,0,0,0,0,0,0
0.211,86888,0,0,0,0,0,0
0.304,86961,0,0,0,0,0,0
0.356,87032,0,0,-8,0,0,0
0.428,87105,0,0,-43,0,0,0
0.503,87177,2,0,-106,0,0,0
0.621,87249,6,0,-63,0,0,0
0.643,87321,14,0,-63,0,0,0
0.719,87392,25,0,-20,0,0,0
0.787,87464,37,0,-23,0,0,0
0.868,87537,51,0,23,0,0,0
0.935,87609,66,0,55,0,0,0
1.005,87681,81,0,43,0,0,0
1.077,87753,96,0,43,0,0,0
1.147,87824,111,0,43,0,0,0
1.22,87896,126,0,43,0,0,0
1.293,87969,140,1,47,0,0,0
1.366,88040,155,1,31,0,0,0
1.435,88113,169,1,12,0,0,0
1.509,88184,182,1,-78,0,0,0
1.592,88257,196,0,-106,0,0,0
1.652,88328,211,0,-109,0,0,0
1.725,88400,225,0,-109,0,0,0
1.795,88472,240,-1,-86,0,0,0
1.867,88544,254,-1,-86,0,0,0
1.942,88617,269,-1,-66,0,0,0
2.012,88689,284,-1,-63,0,0,0
2.083,88760,299,-1,-66,0,0,0
2.158,88833,313,-1,-66,0,0,0
2.232,88905,328,-2,-63,0,0,0
2.3,88977,342,-2,-66,0,0,0
2.372,89048,357,-2,-43,0,0,0
2.445,89121,371,-2,-43,0,0,0
2.516,89192,386,-2,-31,0,0,0
2.588,89265,401,-2,-8,0,0,0
2.661,89337,415,-2,0,0,0,0
2.733,89408,430,-2,0,0,0,0
2.81,89480,444,-2,12,0,0,0
2.899,89552,458,-2,63,0,0,0
2.95,89625,473,-2,43,0,0,0
3.026,89697,487,-2,66,0,0,0
3.102,89769,502,-2,20,0,0,0
3.165,89841,516,-2,-23,0,0,0
3.235,89912,530,-2,-66,0,0,0
3.333,89985,544,-2,-133,0,0,0
3.38,90056,558,-3,-196,0,0,0
3.457,90129,572,-3,-196,0,0,0
3.529,90201,586,-4,-207,0,0,0
3.599,90273,601,-4,-176,0,0,0
3.672,90345,616,-4,-176,0,0,0
3.743,90416,630,-5,-184,0,0,0
3.845,90489,644,-5,-153,0,0,0
3.886,90561,659,-6,-141,0,0,0
3.957,90633,674,-6,-160,0,0,0
4.03,90705,688,-7,-153,0,0,0
4.102,90776,702,-7,-133,0,0,0
4.18,90848,717,-7,-98,0,0,0
4.252,90921,731,-7,-121,0,0,0
4.318,90992,746,-8,-129,0,0,0
4.388,91064,760,-8,-141,0,0,0
4.461,91136,774,-8,-121,0,0,0
4.531,91208,789,-9,-98,0,0,0
4.608,91281,803,-9,-117,0,0,0
4.677,91353,817,-9,-164,0,0,0
4.758,91425,832,-10,-164,0,0,0
4.82,91496,846,-10,-164,0,0,0
4.893,91568,861,-11,-141,0,0,0
4.966,91641,875,-11,-153,0,0,0
5.037,91713,890,-11,-172,0,0,0
5.108,91784,905,-12,-172,0,0,0
5.179,91856,919,-12,-153,0,0,0
5.252,91928,932,-13,-145,0,0,0
5.327,92001,945,-13,-164,0,0,0
5.396,92073,956,-13,-172,0,0,0
5.478,92145,966,-14,-153,0,0,0
5.546,92217,974,-14,-164,0,0,0
5.613,92289,982,-14,-176,0,0,0
5.685,92361,987,-14,-141,0,0,0
5.757,92433,992,-14,-153,0,0,0
5.828,92504,995,-14,-153,0,0,0
5.899,92576,997,-14,-164,0,0,0
5.972,92649,998,-14,-109,0,0,0
6.043,92720,999,-14,-141,0,0,0
6.116,92792,999,-14,-176,0,0,0
6.204,92880,999,-14,-196,0,0,0
6.261,92936,999,-14,-196,0,0,0
