seq,now,flags,x,y,h,ox,oy,oh,vl,vr,i2cf
1,86675,49,0,0,0,0,0,0,0,0,0
2,86745,49,0,0,0,0,0,0,0,0,0
3,86816,49,0,0,0,0,0,0,0,0,0
4,86888,49,0,0,0,0,0,0,0,0,0
5,86961,49,0,0,0,0,0,0,0,0,0
6,87032,49,0,0,-8,0,0,0,3,0,3
7,87105,49,0,0,-43,0,0,0,20,0,6
8,87177,49,2,0,-106,0,0,0,36,20,7
9,87249,49,6,0,-63,0,0,0,73,73,7
10,87321,49,14,0,-63,0,0,0,126,129,7
11,87392,49,25,0,-20,0,0,0,136,159,7
12,87464,49,37,0,-23,0,0,0,185,182,7
13,87537,49,51,0,23,0,0,0,182,192,7
14,87609,49,66,0,55,0,0,0,202,202,7
15,87681,49,81,0,43,0,0,0,221,202,7
16,87753,49,96,0,43,0,0,0,221,218,7
17,87824,49,111,0,43,0,0,0,221,202,7
18,87896,49,126,0,43,0,0,0,202,212,7
19,87969,49,140,1,47,0,0,0,208,195,7
20,88040,49,155,1,31,0,0,0,202,202,7
21,88113,49,169,1,12,0,0,0,202,192,7
22,88184,49,182,1,-78,0,0,0,192,182,7
23,88257,49,196,0,-106,0,0,0,202,202,7
24,88328,49,211,0,-109,0,0,0,195,221,7
25,88400,49,225,0,-109,0,0,0,205,195,7
26,88472,49,240,-1,-86,0,0,0,192,221,7
27,88544,49,254,-1,-86,0,0,0,202,202,7
28,88617,49,269,-1,-66,0,0,0,205,211,7
29,88689,49,284,-1,-63,0,0,0,201,202,7
30,88760,49,299,-1,-66,0,0,0,195,202,7
31,88833,49,313,-1,-66,0,0,0,192,201,7
32,88905,49,328,-2,-63,0,0,0,202,185,7
33,88977,49,342,-2,-66,0,0,0,201,182,7
34,89048,49,357,-2,-43,0,0,0,202,192,7
35,89121,49,371,-2,-43,0,0,0,202,202,7
36,89192,49,386,-2,-31,0,0,0,202,202,7
37,89265,49,401,-2,-8,0,0,0,212,205,7
38,89337,49,415,-2,0,0,0,0,202,202,7
39,89408,49,430,-2,0,0,0,0,202,201,7
40,89480,49,444,-2,12,0,0,0,195,205,7
41,89552,49,458,-2,63,0,0,0,185,202,7
42,89625,49,473,-2,43,0,0,0,201,192,7
43,89697,49,487,-2,66,0,0,0,192,195,7
44,89769,49,502,-2,20,0,0,0,202,202,7
45,89841,49,516,-2,-23,0,0,0,175,182,8
46,89912,49,530,-2,-66,0,0,0,202,172,8
47,89985,49,544,-2,-133,0,0,0,201,182,8
48,90056,49,558,-3,-196,0,0,0,192,202,8
49,90129,49,572,-3,-196,0,0,0,192,218,8
50,90201,49,586,-4,-207,0,0,0,211,202,8
51,90273,49,601,-4,-176,0,0,0,205,202,8
52,90345,49,616,-4,-176,0,0,0,212,201,8
53,90416,49,630,-5,-184,0,0,0,212,202,8
54,90489,49,644,-5,-153,0,0,0,192,202,8
55,90561,49,659,-6,-141,0,0,0,201,212,8
56,90633,49,674,-6,-160,0,0,0,202,195,8
57,90705,49,688,-7,-153,0,0,0,192,192,8
58,90776,49,702,-7,-133,0,0,0,185,202,8
59,90848,49,717,-7,-98,0,0,0,195,212,8
60,90921,49,731,-7,-121,0,0,0,202,192,8
61,90992,49,746,-8,-129,0,0,0,202,212,8
62,91064,49,760,-8,-141,0,0,0,212,195,8
63,91136,49,774,-8,-121,0,0,0,212,202,8
64,91208,49,789,-9,-98,0,0,0,202,211,8
65,91281,49,803,-9,-117,0,0,0,192,211,8
66,91353,49,817,-9,-164,0,0,0,205,192,8
67,91425,49,832,-10,-164,0,0,0,202,212,8
68,91496,49,846,-10,-164,0,0,0,201,212,8
69,91568,49,861,-11,-141,0,0,0,202,195,8
70,91641,49,875,-11,-153,0,0,0,192,202,8
71,91713,49,890,-11,-172,0,0,0,222,221,8
72,91784,49,905,-12,-172,0,0,0,202,202,8
73,91856,49,919,-12,-153,0,0,0,202,202,8
74,91928,49,932,-13,-145,0,0,0,185,182,8
75,92001,49,945,-13,-164,0,0,0,165,155,8
76,92073,49,956,-13,-172,0,0,0,136,149,8
77,92145,49,966,-14,-153,0,0,0,129,149,8
78,92217,49,974,-14,-164,0,0,0,119,109,8
79,92289,49,982,-14,-176,0,0,0,93,93,8
80,92361,49,987,-14,-141,0,0,0,63,83,8
81,92433,49,992,-14,-153,0,0,0,56,56,8
82,92504,49,995,-14,-153,0,0,0,36,36,8
83,92576,49,997,-14,-164,0,0,0,30,20,8
84,92649,49,998,-14,-109,0,0,0,20,20,8
85,92720,49,999,-14,-141,0,0,0,26,0,8
86,92792,49,999,-14,-176,0,0,0,10,0,8
87,92880,49,999,-14,-196,0,0,0,0,0,8
88,92936,49,999,-14,-196,0,0,0,0,0,8
89,93008,49,1000,-14,-164,0,0,0,-7,20,8
90,93080,49,1000,-14,-55,0,0,0,0,20,8
91,93152,49,1002,-14,55,0,0,0,0,36,8
92,93225,49,1003,-14,153,0,0,0,0,36,11
93,93297,49,1003,-14,336,0,0,0,-10,56,11
94,93369,49,1004,-14,684,0,0,0,-43,76,11
95,93440,49,1005,-14,1236,0,0,0,-73,89,11
96,93512,49,1005,-14,1912,0,0,0,-93,83,11
97,93585,49,1004,-14,2651,0,0,0,-99,102,11
98,93656,49,1004,-15,3336,0,0,0,-112,83,11
99,93728,49,1004,-15,3985,0,0,0,-93,99,11
100,93801,49,1003,-15,4638,0,0,0,-102,93,11
101,93873,49,1003,-15,5279,0,0,0,-93,93,11
102,93945,49,1003,-15,5940,0,0,0,-89,83,11
103,94016,49,1003,-15,6550,0,0,0,-83,73,11
104,94088,49,1003,-16,7125,0,0,0,-73,73,11
105,94161,49,1003,-16,7547,0,0,0,-63,56,11
106,94232,49,1003,-16,7911,0,0,0,-56,56,11
107,94304,49,1003,-16,8145,0,0,0,-26,26,11
108,94376,49,1003,-16,8364,0,0,0,-36,36,11
109,94448,49,1003,-15,8505,0,0,0,-20,26,11
