t_host,vel_l_mmps,vel_r_mmps
0.06681458399998519,0,0
0.13926083400019706,0,0
0.21132149999994,0,0
0.30353474999992613,0,0
0.3555081250005969,3,0
0.42803249999997206,20,0
0.5026209590005237,36,20
0.6209645420003653,73,73
0.6433264170000257,126,129
0.7191419999999198,136,159
0.7870278340005825,185,182
0.8682728750000024,182,192
0.9349779590002072,202,202
1.0053388750002341,221,202
1.077234875000613,221,218
1.147190333999788,221,202
1.2201024169999073,202,212
1.2926729170003455,208,195
1.3661657090005974,202,202
1.4346267500004615,202,192
1.5085771250005564,192,182
1.5919016249999913,202,202
1.6518913750005595,195,221
1.7245805840002504,205,195
1.7950149170001168,192,221
1.867037750000236,202,202
1.942037750000054,205,211
2.012006208999992,201,202
2.083117625000341,195,202
2.157510750000256,192,201
2.2315048340005887,202,185
2.3000747090000004,201,182
2.3723210420002943,202,192
2.4451090000002296,202,202
2.5157625840001856,202,202
2.5882055419997414,212,205
2.660835792000398,202,202
2.7328324170002816,202,201
2.8102570420005577,195,205
2.8989943340002355,185,202
2.9504809170002773,201,192
3.0263917920001404,192,195
3.1016032090001318,202,202
3.165288459000294,175,182
3.2352753340001073,202,172
3.333012791999863,201,182
3.3797765839999556,192,202
3.4567031670003416,192,218
3.528823084000578,211,202
3.5989282919999823,205,202
3.6721065000001545,212,201
3.7433514590002233,212,202
3.8445883340000364,192,202
3.8863137500002267,201,212
3.956892875000449,202,195
4.0297256250005375,192,192
4.101881292000144,185,202
4.180236166999748,195,212
4.252267042000312,202,192
4.31837595900015,202,212
4.388240500000393,212,195
4.460690459000034,212,202
4.531218750000335,202,211
4.608458708999933,192,211
4.677468124999905,205,192
4.758416417000262,202,212
4.819650292000006,201,212
4.892903750000187,202,195
4.966409833999933,192,202
5.036998499999754,222,221
5.107506084000306,202,202
5.1788462089998575,202,202
5.252004709000175,185,182
5.327038667000124,165,155
5.396076625000205,136,149
5.478416124999967,129,149
5.545670667000195,119,109
5.613397459000225,93,93
5.68523741700028,63,83
5.757403499999782,56,56
5.827655541999775,36,36
5.898767874999976,30,20
5.972264125000038,20,20
6.043098084000121,26,0
6.116074000000481,10,0
6.20413041699976,0,0
6.261153958999785,0,0
6.331281583999953,-7,20
6.403156084000329,0,20
6.4778443750001315,0,36
6.552612041999964,0,36
6.619959499999823,-10,56
6.701986750000287,-43,76
6.762718916999802,-73,89
6.843336334000014,-93,83
6.907886709000195,-99,102
6.980249375000312,-112,83
7.052230416999919,-93,99
7.125114917000246,-102,93
7.196942334000596,-93,93
7.270872834000329,-89,83
7.341312833999837,-83,73
7.419476375000158,-73,73
7.484935958999813,-63,56
7.557225708999795,-56,56
7.629450459000509,-26,26
7.699861000000055,-36,36
7.774859125000148,-20,26
7.84561904200018,-20,0
7.9166901670005245,-20,0
7.988073708999764,-20,0
8.059345167000174,0,0
8.135067709000396,0,0
8.208107375000509,0,0
8.275815584000156,0,0
8.347402417000012,0,0
8.418399125000178,0,0
8.491762583999844,10,0
8.56292783400022,-17,0
8.625850750000609,0,0
8.682197875000384,0,-10
8.75656383400019,0,26
8.82732175000001,0,0
8.899669834000633,0,10
8.972569833999842,-2,26
9.04347933400004,36,40
9.11577545900036,73,73
9.190297291999741,109,99
9.261503042000186,139,129
