order,new_order,Cat Order,category,Group Order,group,function,block
1,1,1,DiffDrive,1,Move ,diffDrive.move,move cm turning degrees
28,2,1,DiffDrive,1,Move,diffDrive.startMove,start move cm turning degrees
5,3,1,DiffDrive,1,Move,diffDrive.whileMoving,while moving cm turning degrees
8,4,1,DiffDrive,1,Drive,diffDrive.driveTwist,drive cm/s turning deg/s
,4.1,1,DiffDrive,1,Drive,diffDrive.startDrive,start drive cm/s turning deg/s
,4.2,1,DiffDrive,1,Drive,diffDrive.whileDriving,while driving cm/s turning deg/s
7,5,1,DiffDrive,1,Wheels,diffDrive.setWheelSpeeds,set wheel speeds left right cm/s
2,6,1,DiffDrive,2,GoTo,diffDrive.goTo,go to x cm y cm
13,7,1,DiffDrive,2,GoTo,diffDrive.goToWorld,go to world x cm y cm
29,8,1,DiffDrive,2,GoTo,diffDrive.startGoTo,start go to x cm y cm
6,9,1,DiffDrive,2,GoTo,diffDrive.whileGoingTo,while going to x cm y cm
3,10,1,DiffDrive,3,Moving?,diffDrive.isMoving,moving?
30,11,1,DiffDrive,3,Moving?,diffDrive.moveProgress,move progress
12,12,1,DiffDrive,3,Moving?,diffDrive.isStalled,is stalled
9,13,1,DiffDrive,3,Moving?,diffDrive.driveTick,drive tick
11,15,1,DiffDrive,4,Stop,diffDrive.emergencyStop,emergency stop
10,16,1,DiffDrive,4,Stop,diffDrive.stop,stop
31,17,1,DiffDrive,4,Stop,diffDrive.clearEmergencyStop,clear emergency stop
32,18,1,DiffDrive,4,Stop,diffDrive.clearStallLatch,clear stall latch
22,19,2,Pose,1,Pose,diffDrive.heading,heading (deg)
24,20,2,Pose,1,Pose,diffDrive.poseX,pose x (cm)
23,21,2,Pose,1,Pose,diffDrive.poseY,pose y (cm)
21,22,2,Pose,1,Pose,diffDrive.resetPose,reset pose
35,23,2,Pose,2,World,diffDrive.calibrateWorldSensor,calibrate world sensor
34,24,2,Pose,2,World,diffDrive.setWorldSensorOffset,set world sensor offset x cm y cm yaw deg
18,25,2,Pose,2,World,diffDrive.seedPose,set world pose to x cm y cm heading deg
20,26,2,Pose,2,World,diffDrive.startWorldTracking,start world tracking
19,27,2,Pose,2,World,diffDrive.worldTrackingReady,world tracking ready?
17,28,2,Pose,2,World,diffDrive.readWorld,read world position
14,29,2,Pose,2,World,diffDrive.worldHeading,world heading (deg)
16,30,2,Pose,2,World,diffDrive.worldX,world x (cm)
15,31,2,Pose,2,World,diffDrive.worldY,world y (cm)
38,32,3,Setup,,Setup,diffDrive.setTrackWidth,set track width cm
37,33,3,Setup,,Setup,diffDrive.setWheelCalibration,set wheel calibration mm/deg
,34,3,Setup,,Setup,diffDrive.setupRadio,setup radio channel group
39,35,3,Setup,,Setup,diffDrive.setDefaultYawRate,set default turn rate deg/s
36,36,3,Setup,,Setup,diffDrive.setConfigValue,set config max duty % to
33,37,3,Setup,,Setup,diffDrive.setArrivalTolerance,set arrival tolerance cm
40,38,3,Setup,,Setup,diffDrive.setDefaultSpeed,set default speed cm/s
25,39,4,Extra,1,Remote,diffDrive.onRun,on run
26,40,4,Extra,1,Remote,diffDrive.onRunCommand,on run command
,41,4,Extra,2,Debug,diffDrive.sendString,send string
,42,4,Extra,2,Debug,diffDrive.sendValue,send value =
