leg,commanded_mm,camera_mm,error_mm,cross_mm,heading_change_deg,x0,y0,x1,y1,reason
1,200,228.7,28.7,-2.6,-0.39,20.62,-14.37,-2.23,-13.5,stop
2,-200,-228.2,-28.2,-4.9,0.79,-2.25,-13.51,20.58,-13.79,stop
3,200,229.5,29.5,-2.0,0.12,20.57,-13.8,-2.37,-13.14,stop
4,-200,-228.2,-28.2,-0.7,0.7,-2.37,-13.14,20.45,-13.48,stop
5,300,341.0,41.0,-9.1,-0.81,20.45,-13.47,-13.64,-12.22,stop
6,-300,-342.3,-42.3,-3.7,0.17,-13.64,-12.23,20.59,-12.61,stop
7,300,341.6,41.6,-5.0,0.64,20.6,-12.61,-13.55,-11.48,stop
8,-300,-342.6,-42.6,0.4,0.34,-13.55,-11.46,20.7,-11.96,stop
9,400,454.6,54.6,-11.6,-1.24,20.72,-11.96,-24.73,-10.33,stop
10,-400,-454.8,-54.8,-7.8,0.56,-24.76,-10.38,20.73,-10.36,stop
11,400,456.4,56.4,-10.8,-0.88,20.72,-10.37,-24.9,-8.83,stop
12,-400,-454.5,-54.5,-17.6,0.79,-24.9,-8.82,20.58,-8.38,stop
