leg,commanded_mm,camera_mm,error_mm,cross_mm,heading_change_deg,x0,y0,x1,y1,reason
1,200,199.9,-0.1,-0.6,0.86,-15.77,17.77,4.21,18.15,stop
2,-200,-200.1,-0.1,-2.6,2.32,4.21,18.14,-15.78,17.31,stop
3,200,199.2,-0.8,-6.0,-0.28,-15.88,17.23,4.05,16.71,stop
4,-200,-199.2,0.8,-2.2,1.27,4.05,16.74,-15.87,16.55,stop
5,300,300.3,0.3,-7.3,-1.44,-15.88,16.55,14.16,16.51,stop
6,-300,-302.2,-2.2,-7.6,3.57,14.17,16.5,-16.05,15.86,stop
7,300,300.7,0.7,-8.8,-1.62,-16.17,15.83,13.91,15.7,stop
8,-300,-300.9,-0.9,-13.5,2.73,13.9,15.67,-16.22,14.94,stop
9,400,403.1,3.1,-11.2,-0.44,-16.23,14.94,24.09,14.89,stop
10,-400,-403.0,-3.0,-8.0,0.25,24.09,14.86,-16.21,13.73,stop
11,400,403.5,3.5,-9.1,-0.6,-16.21,13.74,24.15,13.59,stop
12,-400,-402.8,-2.8,-11.0,1.61,24.15,13.57,-16.13,12.46,stop
