turn,commanded,cruise,id,reason,camera_deg,error_deg,unwrapped_deg,cam_samples,encoder_deg,encoder_error_deg,x0,y0,x1,y1,drift_cm,peak_vl,peak_vr,duration_s,frames,ready_before
1,90,0,6,stop,89.85,-0.15,89.68,12,,,-16.38,13.58,-16.61,13.8,0.32,,,0.0,0,1
2,-90,0,7,stop,-89.66,0.34,-90.03,20,,,-16.61,13.79,-16.66,13.62,0.18,,,0.0,0,1
3,107,0,8,stop,107.5,0.5,107.28,13,,,-16.66,13.62,-17.3,13.83,0.67,,,0.0,0,1
4,-107,0,9,stop,-108.26,-1.26,-106.87,11,,,-17.3,13.82,-17.37,13.61,0.23,,,0.0,0,1
5,180,0,10,stop,179.66,-0.34,176.85,21,,,-17.38,13.58,-18.12,13.37,0.77,,,0.0,0,1
6,-180,0,11,stop,-175.31,4.69,-175.28,16,,,-18.11,13.37,-17.88,13.08,0.37,,,0.0,0,1
7,-90,0,12,stop,-90.95,-0.95,-89.05,14,,,-17.88,13.07,-17.95,13.01,0.1,,,0.0,0,1
8,90,0,13,stop,87.8,-2.2,91.51,16,,,-17.92,13.02,-18.04,13.51,0.5,,,0.0,0,1
9,-107,0,14,stop,-106.84,0.16,-106.97,14,,,-18.05,13.49,-18.11,13.47,0.06,,,0.0,0,1
10,107,0,15,stop,108.99,1.99,110.82,15,,,-18.13,13.49,-17.71,14.18,0.81,,,0.0,0,1
11,-180,0,16,stop,-180.08,-0.08,-180.48,13,,,-17.74,14.23,-17.73,14.43,0.2,,,0.0,0,1
12,180,0,17,stop,178.55,-1.45,179.04,17,,,-17.72,14.42,-17.28,14.68,0.51,,,0.0,0,1
