turn,commanded,cruise,id,reason,camera_deg,error_deg,unwrapped_deg,cam_samples,encoder_deg,encoder_error_deg,x0,y0,x1,y1,drift_cm,peak_vl,peak_vr,duration_s,frames,ready_before
1,90,0,6,stop,91.74,1.74,90.74,12,,,-33.77,-17.8,-33.33,-18.0,0.48,,,0.0,0,1
2,-90,0,7,stop,-90.44,-0.44,-89.38,16,,,-33.32,-18.0,-33.45,-17.78,0.26,,,0.0,0,
3,107,0,8,stop,105.84,-1.16,105.71,15,,,-33.45,-17.78,-33.06,-18.15,0.54,,,0.0,0,1
4,-107,0,9,stop,-106.65,0.35,-106.55,14,,,-33.06,-18.16,-33.36,-18.1,0.31,,,0.0,0,
5,180,0,10,stop,181.73,1.73,181.28,17,,,-33.36,-18.11,-32.79,-18.55,0.72,,,0.0,0,1
6,-180,0,11,stop,-179.94,0.06,-180.28,12,,,-32.79,-18.56,-33.21,-18.46,0.44,,,0.0,0,1
7,-90,0,12,stop,-91.75,-1.75,-93.46,13,,,-33.23,-18.46,-33.03,-18.64,0.26,,,0.0,0,1
8,90,0,13,stop,88.81,-1.19,89.07,14,,,-33.04,-18.63,-33.06,-18.58,0.05,,,0.0,0,1
9,-107,0,14,stop,-107.0,-0.0,-107.3,12,,,-33.05,-18.6,-33.3,-18.69,0.28,,,0.0,0,1
10,107,0,15,stop,106.88,-0.12,106.95,22,,,-33.32,-18.7,-33.2,-18.45,0.28,,,0.0,0,1
11,-180,0,16,stop,-181.31,-1.31,-181.49,16,,,-33.2,-18.45,-33.16,-18.63,0.18,,,0.0,0,1
12,180,0,17,stop,181.86,1.86,181.09,17,,,-33.15,-18.64,-32.85,-18.45,0.36,,,0.0,0,1
