turn,commanded,cruise,id,reason,camera_deg,error_deg,unwrapped_deg,cam_samples,encoder_deg,encoder_error_deg,x0,y0,x1,y1,drift_cm,peak_vl,peak_vr,duration_s,frames,ready_before
1,90,0,5,stop,92.4,2.4,94.47,15,,,7.53,-1.69,6.77,-2.42,1.05,,,0.0,0,1
2,-90,0,6,stop,-91.95,-1.95,-91.93,13,,,6.77,-2.42,7.17,-3.01,0.71,,,0.0,0,1
3,107,0,7,stop,107.58,0.58,107.26,14,,,7.17,-3.0,6.53,-4.04,1.22,,,0.0,0,1
4,-107,0,8,stop,-106.4,0.6,-107.05,12,,,6.53,-4.04,7.47,-4.56,1.07,,,0.0,0,1
5,180,0,9,stop,181.66,1.66,181.64,12,,,7.46,-4.56,6.74,-6.45,2.02,,,0.0,0,1
6,-180,0,10,stop,-180.21,-0.21,180.48,14,,,6.75,-6.44,8.61,-5.66,2.02,,,0.0,0,1
7,-90,0,11,stop,-86.99,3.01,-87.96,13,,,8.6,-5.65,8.52,-6.01,0.37,,,0.0,0,1
8,90,0,12,stop,1.16,-88.84,0.93,13,,,8.51,-6.02,8.5,-6.11,0.1,,,0.0,0,1
9,-107,0,13,stop,-29.18,77.82,-29.36,13,,,8.5,-6.11,8.55,-5.99,0.14,,,0.0,0,1
10,107,0,14,stop,106.96,-0.04,108.04,13,,,8.53,-5.98,8.15,-4.88,1.16,,,0.0,0,1
11,-180,0,15,stop,-181.99,-1.99,-183.37,15,,,8.15,-4.89,5.91,-5.23,2.26,,,0.0,0,1
12,180,0,16,stop,182.83,2.83,181.4,13,,,5.88,-5.25,6.65,-3.48,1.93,,,0.0,0,1
