turn,commanded,cruise,id,reason,camera_deg,error_deg,unwrapped_deg,cam_samples,encoder_deg,encoder_error_deg,x0,y0,x1,y1,drift_cm,peak_vl,peak_vr,duration_s,frames,ready_before
1,90,0,4,stop,90.27,0.27,89.49,14,,,6.65,-3.48,5.39,-3.97,1.35,,,0.0,0,0
2,-90,0,5,stop,-92.07,-2.07,-91.62,12,,,5.37,-3.97,6.22,-4.01,0.84,,,0.0,0,1
3,107,0,6,stop,106.43,-0.57,106.47,15,,,6.22,-4.0,4.81,-4.8,1.62,,,0.0,0,1
4,-107,0,7,stop,-106.7,0.3,-106.45,15,,,4.81,-4.8,5.98,-4.31,1.27,,,0.0,0,1
5,180,0,8,stop,183.35,3.35,183.06,13,,,5.98,-4.32,4.88,-6.23,2.2,,,0.0,0,1
6,-180,0,9,stop,-181.54,-1.54,-181.35,14,,,4.87,-6.23,6.4,-5.28,1.79,,,0.0,0,1
7,-90,0,10,stop,-0.04,89.96,0.02,11,,,6.39,-5.29,6.38,-5.29,0.01,,,0.0,0,1
8,90,0,11,stop,90.47,0.47,90.65,16,,,6.38,-5.29,5.37,-5.88,1.17,,,0.0,0,1
9,-107,0,12,stop,-109.8,-2.8,-110.13,15,,,5.37,-5.89,6.75,-5.52,1.43,,,0.0,0,1
10,107,0,13,stop,108.96,1.96,109.87,13,,,6.77,-5.51,5.5,-6.12,1.41,,,0.0,0,1
11,-180,0,14,stop,-154.17,25.83,-153.14,13,,,5.49,-6.11,6.5,-6.29,1.02,,,0.0,0,1
12,180,0,15,stop,183.68,3.68,183.93,13,,,6.5,-6.29,4.51,-6.9,2.08,,,0.0,0,1
