turn,commanded,t_rel,seq,now,flags,x,y,h,ox,oy,oh,vl,vr,i2cf,cyc,posl,posr,dutl,dutr,lexc,wrng,cycovr
1,90,-0.008,82,1649295,31,-1049,34,60359,0,0,0,0,0,30,6591,12006,28047,0,0,0,0,0
1,90,0.049,83,1649355,31,-1049,34,60359,0,0,0,0,0,30,6592,12006,28047,-800,800,0,0,0
1,90,0.121,84,1649427,31,-1049,35,60558,0,0,0,-46,46,30,6595,11978,28072,-1200,1200,0,0,0
1,90,0.195,85,1649499,31,-1049,35,60867,0,0,0,-62,52,30,6598,11937,28113,-1300,1300,0,0,0
1,90,0.266,86,1649571,31,-1049,34,61277,0,0,0,-72,72,30,6601,11884,28169,-1400,1400,0,0,0
1,90,0.337,87,1649643,31,-1049,35,61714,0,0,0,-72,52,30,6604,11823,28224,-1400,1400,0,0,0
1,90,0.41,88,1649715,31,-1049,35,62218,0,0,0,-66,72,30,6607,11756,28291,-1300,1400,0,0,0
1,90,0.48,89,1649787,31,-1049,34,62741,0,0,0,-75,82,31,6610,11689,28363,-1400,1500,0,0,0
1,90,0.557,90,1649859,31,-1049,34,63222,0,0,0,-75,72,31,6613,11628,28430,-1300,1400,0,0,0
1,90,0.624,91,1649931,31,-1049,34,63730,0,0,0,-72,72,31,6616,11562,28499,-1400,1300,0,0,0
1,90,0.71,92,1650004,31,-1049,34,64235,0,0,0,-72,72,31,6619,11495,28566,-1300,1300,0,0,0
1,90,0.769,93,1650075,31,-1049,34,64728,0,0,0,-75,69,32,6622,11428,28630,-1300,1400,0,0,0
1,90,0.84,94,1650147,31,-1049,34,65228,0,0,0,-72,75,32,6625,11362,28697,-1300,1300,0,0,0
1,90,0.914,95,1650219,31,-1049,34,65728,0,0,0,-72,72,32,6628,11295,28763,-1200,1300,0,0,0
1,90,0.991,96,1650291,31,-1049,34,66210,0,0,0,-56,72,33,6631,11234,28830,-1300,1300,0,0,0
1,90,1.056,97,1650363,31,-1049,34,66703,0,0,0,-70,65,33,6634,11170,28897,-1400,1200,0,0,0
1,90,1.135,98,1650435,31,-1049,34,67192,0,0,0,-72,66,33,6637,11101,28958,-1300,1300,0,0,0
1,90,1.2,99,1650507,31,-1049,34,67674,0,0,0,-66,72,33,6640,11039,29024,-1200,1300,0,0,0
1,90,1.276,100,1650579,31,-1049,34,68174,0,0,0,-62,72,33,6643,10973,29091,-1300,1300,0,0,0
1,90,1.345,101,1650651,31,-1049,34,68633,0,0,0,-72,72,33,6646,10912,29152,-1300,1300,0,0,0
1,90,1.415,102,1650723,31,-1049,34,68938,0,0,0,-10,56,34,6649,10870,29191,0,0,0,0,0
1,90,1.488,103,1650795,31,-1049,34,68938,0,0,0,0,0,34,6652,10870,29191,1400,-1500,0,0,0
1,90,1.576,104,1650867,31,-1049,34,68686,0,0,0,46,-56,34,6655,10898,29152,1600,-1600,0,0,0
1,90,1.631,105,1650939,31,-1050,35,68332,0,0,0,36,-52,34,6658,10937,29097,0,0,0,0,0
1,90,1.704,106,1651011,31,-1050,35,68344,0,0,0,0,0,34,6661,10934,29097,0,0,0,0,0
1,90,1.778,107,1651083,31,-1049,35,68445,0,0,0,-26,36,34,6664,10923,29113,-1000,1200,0,0,0
1,90,1.848,108,1651155,31,-1049,34,68742,0,0,0,-39,56,34,6667,10889,29158,-1200,1300,0,0,0
