turn,commanded,cruise,id,reason,camera_deg,error_deg,unwrapped_deg,cam_samples,encoder_deg,encoder_error_deg,x0,y0,x1,y1,drift_cm,peak_vl,peak_vr,duration_s,frames,ready_before
1,90,60,4,stop,92.78,2.78,92.39,27,90.27,0.27,49.02,-0.92,49.08,-0.9,0.05,75,82,1.81,120,1
2,-90,60,5,stop,-94.13,-4.13,-92.72,21,-90.5,-0.5,49.08,-0.9,49.47,-0.77,0.41,82,82,1.8,111,1
3,107,60,6,stop,111.67,4.67,110.93,28,108.6,1.6,49.49,-0.79,49.53,-0.72,0.08,92,82,2.43,124,1
4,-107,60,7,stop,-111.67,-4.67,-111.41,27,-106.94,0.06,49.53,-0.71,50.04,-0.37,0.61,82,84,2.09,123,1
5,180,60,8,stop,184.75,4.75,185.66,33,180.43,0.43,50.04,-0.38,50.08,-0.17,0.21,82,82,3.45,136,1
6,-180,60,9,stop,-184.09,-4.09,-185.19,35,-180.02,-0.02,50.09,-0.17,50.29,0.06,0.3,76,92,3.11,143,1
7,-90,60,10,stop,-96.92,-6.92,-90.79,25,-92.37,-2.37,50.29,0.05,50.25,-0.01,0.08,75,92,2.16,119,1
8,90,60,11,stop,92.98,2.98,92.58,25,90.53,0.53,50.26,-0.01,49.65,-0.24,0.66,92,79,1.94,109,1
9,-107,60,12,stop,-111.92,-4.92,-109.74,25,-108.93,-1.93,49.64,-0.28,49.62,0.02,0.3,92,76,2.45,124,1
10,107,60,13,stop,107.18,0.18,108.17,25,107.42,0.42,49.6,0.03,48.98,-0.09,0.63,82,76,2.08,122,1
11,-180,60,14,stop,-184.64,-4.64,-183.97,35,-181.55,-1.55,48.96,-0.09,49.06,0.32,0.41,82,92,3.66,141,1
12,180,60,15,stop,184.7,4.7,185.67,32,180.54,0.54,49.03,0.31,48.45,0.16,0.6,82,82,3.59,141,1
13,90,60,16,stop,93.41,3.41,92.57,24,90.38,0.38,48.46,0.16,48.49,0.07,0.1,82,89,1.73,121,1
14,-90,60,17,stop,-95.01,-5.01,-92.6,24,-90.27,-0.27,48.48,0.05,48.63,0.05,0.15,92,82,1.73,127,1
15,107,60,18,stop,119.05,12.05,119.31,25,107.96,0.96,48.61,0.05,47.93,0.04,0.68,82,99,2.01,144,1
16,-107,60,19,stop,-110.44,-3.44,-111.14,26,-108.41,-1.41,47.92,0.06,48.02,0.02,0.11,82,82,2.02,127,1
17,180,60,20,stop,184.91,4.91,185.27,31,181.86,1.86,48.02,0.01,48.08,0.21,0.21,92,92,3.6,147,1
