turn,commanded,t_rel,seq,now,flags,x,y,h,ox,oy,oh,vl,vr,i2cf,cyc,posl,posr,dutl,dutr,lexc,wrng,cycovr
1,90,0.006,106,1956131,31,-1058,30,60043,0,0,0,0,0,99,8713,11678,27635,0,0,0,0,0
1,90,0.072,107,1956191,31,-1058,30,60066,0,0,0,0,17,99,8715,11678,27641,-1000,1000,0,0,0
1,90,0.142,108,1956263,31,-1058,30,60250,0,0,0,-36,36,100,8718,11651,27663,-1200,1300,0,0,0
1,90,0.218,109,1956335,31,-1058,30,60522,0,0,0,-46,36,100,8721,11612,27696,-1400,1400,0,0,0
1,90,0.283,110,1956407,31,-1058,30,60933,0,0,0,-65,62,100,8724,11553,27746,-1500,1500,0,0,0
1,90,0.354,111,1956479,31,-1058,31,61415,0,0,0,-82,66,100,8727,11481,27802,-1400,1500,0,0,0
1,90,0.426,112,1956551,31,-1058,31,61917,0,0,0,-89,66,101,8730,11412,27866,-1400,1500,0,0,0
1,90,0.499,113,1956623,31,-1057,31,62407,0,0,0,-62,72,101,8733,11345,27929,-1400,1500,0,0,0
1,90,0.57,114,1956695,31,-1057,31,62954,0,0,0,-62,75,101,8736,11273,28002,-1300,1600,0,0,0
1,90,0.643,115,1956767,31,-1057,32,63486,0,0,0,-89,72,101,8739,11201,28071,-1300,1600,0,0,0
1,90,0.727,116,1956840,31,-1057,31,63991,0,0,0,-66,82,101,8742,11139,28143,-1300,1500,0,0,0
1,90,0.789,117,1956911,31,-1057,31,64504,0,0,0,-72,72,101,8745,11073,28213,-1300,1500,0,0,0
1,90,0.859,118,1956983,31,-1057,31,64994,0,0,0,-72,72,101,8748,11012,28282,-1300,1500,0,0,0
1,90,0.931,119,1957055,31,-1057,30,65518,0,0,0,-72,82,101,8751,10945,28354,-1300,1500,0,0,0
1,90,1.002,120,1957127,31,-1057,31,66019,0,0,0,-72,72,101,8754,10876,28418,-1200,1400,0,0,0
1,90,1.074,121,1957199,31,-1057,30,66495,0,0,0,-66,72,101,8757,10817,28485,-1300,1400,0,0,0
1,90,1.146,122,1957271,31,-1057,30,66996,0,0,0,-72,75,101,8760,10751,28552,-1300,1400,0,0,0
1,90,1.219,123,1957343,31,-1057,31,67501,0,0,0,-82,66,101,8763,10681,28616,-1300,1400,0,0,0
1,90,1.291,124,1957415,31,-1057,31,68003,0,0,0,-82,72,101,8766,10614,28682,0,0,0,0,0
1,90,1.363,125,1957487,31,-1057,31,68150,0,0,0,0,0,101,8769,10595,28702,0,0,0,0,0
1,90,1.435,126,1957559,31,-1057,30,68097,0,0,0,26,-20,101,8772,10603,28696,1500,-1500,0,0,0
1,90,1.507,127,1957631,31,-1057,31,67709,0,0,0,66,-62,101,8775,10651,28641,0,0,0,0,0
1,90,1.586,0,1957703,31,-1058,31,67562,0,0,0,0,0,101,8778,10667,28618,0,0,0,0,0
1,90,1.649,1,1957775,31,-1058,31,67633,0,0,0,-23,31,101,8781,10659,28629,-1100,1300,0,0,0
1,90,1.723,2,1957847,31,-1057,31,67961,0,0,0,-46,56,101,8784,10620,28677,-1300,1300,0,0,0
1,90,1.795,3,1957919,31,-1057,31,68376,0,0,0,-72,53,101,8787,10562,28729,-1300,1400,0,0,0
1,90,1.866,4,1957992,31,-1057,31,68682,0,0,0,0,0,101,8791,10523,28771,0,0,0,0,0
1,90,1.917,5,1958043,31,-1057,31,68682,0,0,0,0,0,101,8793,10523,28771,0,0,0,0,0
1,90,2.0,6,1958116,31,-1057,31,68682,0,0,0,0,0,101,8796,10523,28771,0,0,0,0,0
1,90,2.046,7,1958171,31,-1057,31,68682,0,0,0,0,0,101,8796,10523,28771,0,0,0,0,0
1,90,2.1,8,1958227,31,-1057,31,68682,0,0,0,0,0,101,8796,10523,28771,0,0,0,0,0
1,90,2.157,9,1958283,31,-1057,31,68682,0,0,0,0,0,101,8796,10523,28771,0,0,0,0,0
1,90,2.221,10,1958339,31,-1057,31,68682,0,0,0,0,0,101,8796,10523,28771,0,0,0,0,0
1,90,2.268,11,1958395,31,-1057,31,68682,0,0,0,0,0,101,8796,10523,28771,0,0,0,0,0
1,90,2.326,12,1958451,31,-1057,31,68682,0,0,0,0,0,101,8796,10523,28771,0,0,0,0,0
1,90,2.38,13,1958507,31,-1057,31,68682,0,0,0,0,0,101,8796,10523,28771,0,0,0,0,0
1,90,2.437,14,1958563,31,-1057,31,68682,0,0,0,0,0,101,8796,10523,28771,0,0,0,0,0
1,90,2.494,15,1958619,31,-1057,31,68682,0,0,0,0,0,101,8796,10523,28771,0,0,0,0,0
1,90,2.549,16,1958675,31,-1057,31,68682,0,0,0,0,0,101,8796,10523,28771,0,0,0,0,0
1,90,2.605,17,1958731,31,-1057,31,68682,0,0,0,0,0,101,8796,10523,28771,0,0,0,0,0
1,90,2.66,18,1958787,31,-1057,31,68682,0,0,0,0,0,101,8796,10523,28771,0,0,0,0,0
1,90,2.725,19,1958843,31,-1057,31,68682,0,0,0,0,0,101,8796,10523,28771,0,0,0,0,0
1,90,2.77,20,1958895,31,-1057,31,68682,0,0,0,0,0,101,8796,10523,28771,0,0,0,0,0
1,90,2.827,21,1958951,31,-1057,31,68682,0,0,0,0,0,101,8796,10523,28771,0,0,0,0,0
1,90,2.881,22,1959007,31,-1057,31,68682,0,0,0,0,0,101,8796,10523,28771,0,0,0,0,0
1,90,2.939,23,1959063,31,-1057,31,68682,0,0,0,0,0,101,8796,10523,28771,0,0,0,0,0
1,90,2.992,24,1959119,31,-1057,31,68682,0,0,0,0,0,101,8796,10523,28771,0,0,0,0,0
1,90,3.048,25,1959175,31,-1057,31,68682,0,0,0,0,0,101,8796,10523,28771,0,0,0,0,0
1,90,3.105,26,1959231,31,-1057,31,68682,0,0,0,0,0,101,8796,10523,28771,0,0,0,0,0
1,90,3.161,27,1959287,31,-1057,31,68682,0,0,0,0,0,101,8796,10523,28771,0,0,0,0,0
1,90,3.217,28,1959343,31,-1057,31,68682,0,0,0,0,0,101,8796,10523,28771,0,0,0,0,0
1,90,3.273,29,1959399,31,-1057,31,68682,0,0,0,0,0,101,8796,10523,28771,0,0,0,0,0
1,90,3.328,30,1959455,31,-1057,31,68682,0,0,0,0,0,101,8796,10523,28771,0,0,0,0,0
1,90,3.387,31,1959511,31,-1057,31,68682,0,0,0,0,0,101,8796,10523,28771,0,0,0,0,0
1,90,3.451,32,1959567,31,-1057,31,68682,0,0,0,0,0,101,8796,10523,28771,0,0,0,0,0
1,90,3.497,33,1959623,31,-1057,31,68682,0,0,0,0,0,101,8796,10523,28771,0,0,0,0,0
1,90,3.555,34,1959679,31,-1057,31,68682,0,0,0,0,0,101,8796,10523,28771,0,0,0,0,0
1,90,3.61,35,1959735,31,-1057,31,68682,0,0,0,0,0,101,8796,10523,28771,0,0,0,0,0
1,90,3.665,36,1959791,31,-1057,31,68682,0,0,0,0,0,101,8796,10523,28771,0,0,0,0,0
1,90,3.722,37,1959847,31,-1057,31,68682,0,0,0,0,0,101,8796,10523,28771,0,0,0,0,0
1,90,3.784,38,1959903,31,-1057,31,68682,0,0,0,0,0,101,8796,10523,28771,0,0,0,0,0
1,90,3.828,39,1959955,31,-1057,31,68682,0,0,0,0,0,101,8796,10523,28771,0,0,0,0,0
1,90,3.885,40,1960011,31,-1057,31,68682,0,0,0,0,0,101,8796,10523,28771,0,0,0,0,0
1,90,3.94,41,1960067,31,-1057,31,68682,0,0,0,0,0,101,8796,10523,28771,0,0,0,0,0
1,90,3.999,42,1960123,31,-1057,31,68682,0,0,0,0,0,101,8796,10523,28771,0,0,0,0,0
1,90,4.055,43,1960179,31,-1057,31,68682,0,0,0,0,0,101,8796,10523,28771,0,0,0,0,0
1,90,4.108,44,1960235,31,-1057,31,68682,0,0,0,0,0,101,8796,10523,28771,0,0,0,0,0
1,90,4.169,45,1960291,31,-1057,31,68682,0,0,0,0,0,101,8796,10523,28771,0,0,0,0,0
1,90,4.223,46,1960347,31,-1057,31,68682,0,0,0,0,0,101,8796,10523,28771,0,0,0,0,0
1,90,4.277,47,1960403,31,-1057,31,68682,0,0,0,0,0,101,8796,10523,28771,0,0,0,0,0
1,90,4.333,48,1960459,31,-1057,31,68682,0,0,0,0,0,101,8796,10523,28771,0,0,0,0,0
1,90,4.389,49,1960515,31,-1057,31,68682,0,0,0,0,0,101,8796,10523,28771,0,0,0,0,0
1,90,4.448,50,1960571,31,-1057,31,68682,0,0,0,0,0,101,8796,10523,28771,0,0,0,0,0
1,90,4.501,51,1960627,31,-1057,31,68682,0,0,0,0,0,101,8796,10523,28771,0,0,0,0,0
1,90,4.556,52,1960683,31,-1057,31,68682,0,0,0,0,0,101,8796,10523,28771,0,0,0,0,0
1,90,4.613,53,1960739,31,-1057,31,68682,0,0,0,0,0,101,8796,10523,28771,0,0,0,0,0
1,90,4.669,54,1960795,31,-1057,31,68682,0,0,0,0,0,101,8796,10523,28771,0,0,0,0,0
1,90,4.725,55,1960851,31,-1057,31,68682,0,0,0,0,0,101,8796,10523,28771,0,0,0,0,0
1,90,4.794,56,1960907,31,-1057,31,68682,0,0,0,0,0,101,8796,10523,28771,0,0,0,0,0
1,90,4.853,57,1960963,31,-1057,31,68682,0,0,0,0,0,101,8796,10523,28771,0,0,0,0,0
1,90,4.89,58,1961015,31,-1057,31,68682,0,0,0,0,0,101,8796,10523,28771,0,0,0,0,0
1,90,4.945,59,1961071,31,-1057,31,68682,0,0,0,0,0,101,8796,10523,28771,0,0,0,0,0
1,90,5.001,60,1961127,31,-1057,31,68682,0,0,0,0,0,101,8796,10523,28771,0,0,0,0,0
1,90,5.057,61,1961183,31,-1057,31,68682,0,0,0,0,0,101,8796,10523,28771,0,0,0,0,0
1,90,5.113,62,1961239,31,-1057,31,68682,0,0,0,0,0,101,8796,10523,28771,0,0,0,0,0
1,90,5.17,63,1961295,31,-1057,31,68682,0,0,0,0,0,101,8796,10523,28771,0,0,0,0,0
1,90,5.225,64,1961351,31,-1057,31,68682,0,0,0,0,0,101,8796,10523,28771,0,0,0,0,0
1,90,5.28,65,1961407,31,-1057,31,68682,0,0,0,0,0,101,8796,10523,28771,0,0,0,0,0
1,90,5.338,66,1961463,31,-1057,31,68682,0,0,0,0,0,101,8796,10523,28771,0,0,0,0,0
1,90,5.395,67,1961519,31,-1057,31,68682,0,0,0,0,0,101,8796,10523,28771,0,0,0,0,0
1,90,5.448,68,1961575,31,-1057,31,68682,0,0,0,0,0,101,8796,10523,28771,0,0,0,0,0
1,90,5.507,69,1961631,31,-1057,31,68682,0,0,0,0,0,101,8796,10523,28771,0,0,0,0,0
1,90,5.562,70,1961687,31,-1057,31,68682,0,0,0,0,0,101,8796,10523,28771,0,0,0,0,0
1,90,5.617,71,1961743,31,-1057,31,68682,0,0,0,0,0,101,8796,10523,28771,0,0,0,0,0
1,90,5.673,72,1961799,31,-1057,31,68682,0,0,0,0,0,101,8796,10523,28771,0,0,0,0,0
1,90,5.729,73,1961855,31,-1057,31,68682,0,0,0,0,0,101,8796,10523,28771,0,0,0,0,0
1,90,5.784,74,1961911,31,-1057,31,68682,0,0,0,0,0,101,8796,10523,28771,0,0,0,0,0
1,90,5.842,75,1961967,31,-1057,31,68682,0,0,0,0,0,101,8796,10523,28771,0,0,0,0,0
1,90,5.91,76,1962023,31,-1057,31,68682,0,0,0,0,0,101,8796,10523,28771,0,0,0,0,0
1,90,5.95,77,1962075,31,-1057,31,68682,0,0,0,0,0,101,8796,10523,28771,0,0,0,0,0
1,90,6.012,78,1962131,31,-1057,31,68682,0,0,0,0,0,101,8796,10523,28771,0,0,0,0,0
1,90,6.062,79,1962187,31,-1057,31,68682,0,0,0,0,0,101,8796,10523,28771,0,0,0,0,0
1,90,6.116,80,1962243,31,-1057,31,68682,0,0,0,0,0,101,8796,10523,28771,0,0,0,0,0
1,90,6.183,81,1962299,31,-1057,31,68682,0,0,0,0,0,101,8796,10523,28771,0,0,0,0,0
1,90,6.244,82,1962355,31,-1057,31,68682,0,0,0,0,0,101,8796,10523,28771,0,0,0,0,0
1,90,6.286,83,1962411,31,-1057,31,68682,0,0,0,0,0,101,8796,10523,28771,0,0,0,0,0
1,90,6.342,84,1962467,31,-1057,31,68682,0,0,0,0,0,101,8796,10523,28771,0,0,0,0,0
1,90,6.396,85,1962523,31,-1057,31,68682,0,0,0,0,0,101,8796,10523,28771,0,0,0,0,0
1,90,6.452,86,1962579,31,-1057,31,68682,0,0,0,0,0,101,8796,10523,28771,0,0,0,0,0
1,90,6.508,87,1962635,31,-1057,31,68682,0,0,0,0,0,101,8796,10523,28771,0,0,0,0,0
1,90,6.564,88,1962691,31,-1057,31,68682,0,0,0,0,0,101,8796,10523,28771,0,0,0,0,0
1,90,6.625,89,1962747,31,-1057,31,68682,0,0,0,0,0,101,8796,10523,28771,0,0,0,0,0
1,90,6.677,90,1962803,31,-1057,31,68682,0,0,0,0,0,101,8796,10523,28771,0,0,0,0,0
2,-90,-0.017,49,1967655,31,-1057,31,68682,0,0,0,0,0,101,8796,10523,28771,0,0,0,0,0
2,-90,0.05,50,1967723,31,-1057,31,68682,0,0,0,0,0,101,8797,10523,28771,800,-900,0,0,0
2,-90,0.121,51,1967795,31,-1058,31,68535,0,0,0,20,-36,101,8800,10537,28746,1100,-1200,0,0,0
2,-90,0.198,52,1967867,31,-1058,31,68252,0,0,0,46,-66,101,8803,10570,28704,1400,-1300,0,0,0
2,-90,0.266,53,1967939,31,-1058,31,67856,0,0,0,46,-72,101,8806,10617,28646,1500,-1400,0,0,0
