turn,commanded,cruise,id,reason,camera_deg,error_deg,unwrapped_deg,cam_samples,encoder_deg,encoder_error_deg,x0,y0,x1,y1,drift_cm,peak_vl,peak_vr,duration_s,frames,ready_before
1,90,60,6,stop,89.09,-0.91,89.75,23,86.39,-3.61,48.39,0.1,48.51,0.05,0.13,89,82,1.72,113,1
2,-90,60,7,stop,-86.8,3.2,-87.78,23,-86.32,3.68,48.49,0.05,48.56,0.03,0.07,76,92,1.66,117,1
3,107,60,8,stop,105.83,-1.17,105.8,27,103.59,-3.41,48.57,0.02,48.53,-0.06,0.09,82,92,1.94,114,1
4,-107,60,9,stop,-108.02,-1.02,-109.29,28,-105.06,1.94,48.54,-0.05,48.6,-0.1,0.07,82,82,2.38,114,1
5,180,60,10,stop,180.01,0.01,178.24,33,177.3,-2.7,48.59,-0.08,48.72,0.0,0.16,92,92,3.53,135,1
6,-180,60,11,stop,-181.52,-1.52,-182.08,33,-177.3,2.7,48.72,0.01,49.02,-0.18,0.35,102,92,3.45,147,1
7,-90,60,12,stop,-87.01,2.99,-86.44,24,-86.19,3.81,49.05,-0.15,48.98,0.03,0.19,82,82,1.66,111,1
8,90,60,13,stop,87.8,-2.2,90.2,25,86.61,-3.39,49.01,0.02,48.39,-0.38,0.74,89,82,1.73,112,1
9,-107,60,14,stop,-102.8,4.2,-99.49,24,-102.56,4.44,48.41,-0.36,48.36,-0.0,0.36,82,92,2.01,130,1
10,107,60,15,stop,104.22,-2.78,103.73,23,103.58,-3.42,48.35,0.02,47.52,-0.27,0.88,92,82,2.01,133,1
11,-180,60,16,stop,-178.77,1.23,-179.33,29,-176.28,3.72,47.52,-0.26,47.49,0.35,0.61,82,82,3.1,130,1
12,180,60,17,stop,177.92,-2.08,175.62,32,175.79,-4.21,47.47,0.33,46.86,0.27,0.61,82,82,3.5,135,1
13,90,60,18,stop,87.67,-2.33,92.68,25,86.72,-3.28,46.88,0.27,46.89,0.11,0.16,82,92,1.64,169,1
14,-90,60,19,stop,-88.5,1.5,-87.32,24,-86.5,3.5,46.9,0.11,46.91,-0.06,0.17,92,82,1.64,110,1
15,107,60,20,stop,106.3,-0.7,106.78,26,104.72,-2.28,46.9,-0.06,47.02,-0.21,0.19,76,82,2.29,121,1
16,-107,60,21,stop,-103.37,3.63,-102.1,23,-102.72,4.28,47.03,-0.19,46.99,-0.28,0.1,92,82,1.93,118,1
17,180,60,22,stop,183.1,3.1,183.47,27,178.24,-1.76,47.04,-0.28,47.06,-0.31,0.04,82,89,3.4,141,1
18,-180,60,23,stop,-183.88,-3.88,-180.52,32,-175.45,4.55,47.09,-0.31,47.33,-0.81,0.55,98,98,3.08,158,1
19,-90,60,24,stop,-86.95,3.05,-82.65,25,-85.59,4.41,47.3,-0.81,47.26,-0.57,0.24,92,82,1.65,112,1
20,90,60,25,stop,85.91,-4.09,86.43,23,85.4,-4.6,47.23,-0.56,46.66,-0.96,0.7,82,72,1.66,130,1
21,-107,60,26,stop,-106.02,0.98,-107.66,24,-105.08,1.92,46.68,-0.96,46.51,-0.62,0.38,82,82,2.31,215,1
22,107,60,27,stop,105.68,-1.32,107.06,23,103.61,-3.39,46.5,-0.65,45.96,-0.86,0.59,82,82,1.94,207,1
23,-180,60,28,stop,-183.45,-3.45,-182.71,31,-178.31,1.69,45.94,-0.85,45.88,-0.53,0.33,92,92,3.46,136,1
24,180,60,29,stop,181.36,1.36,177.92,31,177.86,-2.14,45.89,-0.53,45.49,-0.51,0.41,108,92,3.46,191,1
