turn,commanded,t_rel,seq,now,flags,x,y,h,ox,oy,oh,vl,vr,i2cf,cyc,posl,posr,dutl,dutr,lexc,wrng,cycovr
1,90,-0.0,52,2335587,31,-1041,14,60288,0,0,0,0,0,198,11399,11184,27206,0,0,0,0,0
1,90,0.02,53,2335644,31,-1041,14,60288,0,0,0,0,0,198,11399,11184,27206,0,0,0,0,0
1,90,0.078,54,2335695,31,-1041,14,60341,0,0,0,-23,17,198,11401,11176,27212,-1000,1000,0,0,0
1,90,0.142,55,2335767,31,-1041,15,60586,0,0,0,-36,20,198,11404,11134,27234,-1100,1300,0,0,0
1,90,0.214,56,2335839,31,-1040,16,60925,0,0,0,-56,56,198,11407,11084,27273,-1300,1400,0,0,0
1,90,0.285,57,2335911,31,-1040,16,61360,0,0,0,-72,66,198,11410,11023,27326,-1200,1500,0,0,0
1,90,0.358,58,2335983,31,-1040,16,61837,0,0,0,-66,72,198,11413,10956,27384,-1200,1600,0,0,0
1,90,0.432,59,2336055,31,-1040,17,62344,0,0,0,-72,56,198,11416,10884,27445,-1200,1600,0,0,0
1,90,0.51,60,2336127,31,-1040,16,62866,0,0,0,-72,82,198,11419,10817,27515,-1200,1600,0,0,0
1,90,0.669,61,2336199,31,-1040,17,63404,0,0,0,-92,72,198,11422,10745,27584,-1200,1500,0,0,0
1,90,0.711,62,2336271,31,-1040,17,63923,0,0,0,-66,82,198,11425,10678,27653,-1100,1500,0,0,0
1,90,0.731,63,2336343,31,-1040,16,64453,0,0,0,-62,72,199,11428,10609,27723,-1100,1400,0,0,0
1,90,0.803,64,2336415,31,-1040,16,64953,0,0,0,-72,76,199,11431,10545,27790,-1100,1400,0,0,0
1,90,0.862,65,2336487,31,-1040,16,65460,0,0,0,-82,72,199,11434,10481,27859,-1200,1500,0,0,0
1,90,0.958,66,2336559,31,-1040,16,65944,0,0,0,-53,89,199,11437,10423,27928,-1200,1500,0,0,0
1,90,1.028,67,2336631,31,-1040,17,66383,0,0,0,-82,72,200,11440,10353,27973,-1200,1400,0,0,0
1,90,1.088,68,2336704,31,-1040,16,66974,0,0,0,-72,72,200,11443,10287,28062,-1200,1400,0,0,0
