turn,commanded,cruise,id,reason,camera_deg,error_deg,unwrapped_deg,cam_samples,encoder_deg,encoder_error_deg,x0,y0,x1,y1,drift_cm,peak_vl,peak_vr,duration_s,frames,ready_before
1,90,60,6,stop,87.99,-2.01,86.26,17,87.23,-2.77,45.49,-0.51,45.56,-0.65,0.16,92,89,1.72,155,1
2,-90,60,7,stop,-88.03,1.97,-85.66,21,-86.58,3.42,45.56,-0.66,45.5,-0.75,0.11,82,82,1.72,127,1
3,107,60,8,stop,104.33,-2.67,104.5,22,103.4,-3.6,45.47,-0.75,45.63,-1.01,0.31,82,82,1.88,116,1
4,-107,60,9,stop,-104.08,2.92,-104.87,22,-103.52,3.48,45.66,-1.01,45.52,-1.13,0.18,82,87,1.94,119,1
5,180,60,10,stop,181.4,1.4,181.34,30,179.16,-0.84,45.53,-1.14,45.5,-1.34,0.2,92,92,3.46,171,1
6,-180,60,11,stop,-178.3,1.7,-178.31,31,-177.86,2.14,45.51,-1.33,45.58,-1.64,0.32,82,89,3.38,165,1
7,-90,60,12,stop,-87.66,2.34,-89.25,22,-86.58,3.42,45.57,-1.63,45.51,-1.45,0.19,92,82,1.66,125,1
8,90,60,13,stop,85.21,-4.79,84.32,19,87.08,-2.92,45.52,-1.46,44.92,-1.79,0.69,92,82,1.72,177,1
9,-107,60,14,stop,-104.73,2.27,-104.4,24,-104.89,2.11,44.9,-1.79,44.87,-1.57,0.22,92,82,1.95,113,1
10,107,60,15,stop,103.16,-3.84,106.22,22,104.24,-2.76,44.87,-1.56,44.49,-1.88,0.49,82,82,1.93,121,1
11,-180,60,16,stop,-181.47,-1.47,-180.97,27,-179.99,0.01,44.51,-1.87,44.37,-1.39,0.5,108,98,3.45,134,1
12,180,60,17,stop,181.22,1.22,181.85,31,178.0,-2.0,44.38,-1.41,43.96,-1.46,0.42,92,82,3.35,129,1
13,90,60,18,stop,89.65,-0.35,89.46,21,87.2,-2.8,43.96,-1.45,44.11,-1.79,0.37,82,92,1.72,122,1
14,-90,60,19,stop,-90.46,-0.46,-89.41,23,-86.47,3.53,44.1,-1.79,43.94,-1.93,0.22,92,92,1.66,139,1
15,107,60,20,stop,114.36,7.36,114.65,28,106.61,-0.39,43.95,-1.93,43.46,-2.71,0.93,82,101,2.52,217,1
16,-107,60,21,stop,-103.33,3.67,-103.66,23,-103.52,3.48,43.46,-2.72,43.32,-2.87,0.2,82,82,1.87,151,1
17,180,60,22,stop,185.35,5.35,185.3,19,179.8,-0.2,43.31,-2.85,43.19,-3.29,0.46,112,92,3.45,210,1
18,-180,60,23,stop,-180.74,-0.74,-180.18,25,-177.89,2.11,43.2,-3.3,43.34,-3.47,0.21,102,92,3.45,162,1
19,-90,60,24,stop,-87.75,2.25,-87.48,23,-87.73,2.27,43.32,-3.48,43.09,-3.4,0.24,82,92,1.66,169,1
20,90,60,25,stop,85.86,-4.14,85.89,25,86.66,-3.34,43.07,-3.4,42.7,-3.78,0.53,82,82,1.66,129,1
21,-107,60,26,stop,-103.13,3.87,-101.93,20,-104.28,2.72,42.7,-3.78,42.43,-3.57,0.34,82,92,1.94,239,1
22,107,60,27,stop,104.25,-2.75,102.33,12,104.28,-2.72,42.41,-3.59,42.11,-3.79,0.36,92,82,1.89,422,1
23,-180,60,28,stop,-184.32,-4.32,-184.32,28,-178.7,1.3,42.09,-3.82,41.69,-3.7,0.42,82,112,3.38,168,1
24,180,60,29,stop,183.47,3.47,183.61,23,178.62,-1.38,41.69,-3.71,41.48,-3.9,0.28,92,92,3.37,186,1
