turn,commanded,t_rel,seq,now,flags,x,y,h,ox,oy,oh,vl,vr,i2cf,cyc,posl,posr,dutl,dutr,lexc,wrng,cycovr
1,90,-0.014,8,2850311,31,-1012,12,60715,0,0,0,0,0,285,14063,10656,26790,0,0,0,0,0
1,90,0.046,9,2850371,31,-1012,12,60715,0,0,0,0,0,286,14064,10656,26790,-900,900,0,0,0
1,90,0.118,10,2850443,31,-1011,13,60949,0,0,0,-66,30,286,14067,10614,26810,-1100,1200,0,0,0
1,90,0.192,11,2850515,31,-1011,14,61232,0,0,0,-82,36,286,14070,10564,26835,-1300,1400,0,0,0
1,90,0.262,12,2850587,31,-1011,14,61647,0,0,0,-82,62,286,14073,10501,26882,-1400,1700,0,0,0
1,90,0.333,13,2850659,31,-1011,15,62182,0,0,0,-92,72,286,14076,10423,26946,-1900,2100,0,0,0
1,90,0.406,14,2850731,31,-1011,15,62955,0,0,0,-135,108,286,14079,10312,27040,-2400,2500,0,0,0
1,90,0.478,15,2850803,31,-1011,16,63943,0,0,0,-174,138,286,14082,10170,27160,-2600,2700,0,0,0
1,90,0.55,16,2850875,31,-1011,17,65074,0,0,0,-184,148,286,14085,10006,27296,-2600,2700,0,0,0
1,90,0.621,17,2850947,31,-1011,18,66183,0,0,0,-164,144,286,14088,9845,27429,-2500,2600,0,0,0
1,90,0.704,18,2851020,31,-1012,19,67318,0,0,0,-164,158,286,14091,9689,27574,-2400,2600,0,0,0
1,90,0.773,19,2851091,31,-1012,19,68445,0,0,0,-164,164,286,14094,9534,27718,-2000,2400,0,0,0
1,90,0.925,20,2851252,31,-1012,19,69901,0,0,0,0,0,287,14103,9337,27907,0,0,0,0,0
1,90,0.977,21,2851303,31,-1012,19,69901,0,0,0,0,0,287,14105,9337,27907,0,0,0,0,0
1,90,1.032,22,2851359,31,-1012,19,69901,0,0,0,0,0,287,14106,9337,27907,0,0,0,0,0
1,90,1.088,23,2851415,31,-1012,19,69901,0,0,0,0,0,287,14106,9337,27907,0,0,0,0,0
1,90,1.144,24,2851471,31,-1012,19,69901,0,0,0,0,0,287,14106,9337,27907,0,0,0,0,0
1,90,1.208,25,2851527,31,-1012,19,69901,0,0,0,0,0,287,14106,9337,27907,0,0,0,0,0
1,90,1.257,26,2851583,31,-1012,19,69901,0,0,0,0,0,287,14106,9337,27907,0,0,0,0,0
1,90,1.335,27,2851639,31,-1012,19,69901,0,0,0,0,0,287,14106,9337,27907,0,0,0,0,0
1,90,1.382,28,2851695,31,-1012,19,69901,0,0,0,0,0,287,14106,9337,27907,0,0,0,0,0
1,90,1.427,29,2851751,31,-1012,19,69901,0,0,0,0,0,287,14106,9337,27907,0,0,0,0,0
1,90,1.486,30,2851807,31,-1012,19,69901,0,0,0,0,0,287,14106,9337,27907,0,0,0,0,0
1,90,1.547,31,2851863,31,-1012,19,69901,0,0,0,0,0,287,14106,9337,27907,0,0,0,0,0
1,90,1.593,32,2851919,31,-1012,19,69901,0,0,0,0,0,287,14106,9337,27907,0,0,0,0,0
1,90,1.649,33,2851975,31,-1012,19,69901,0,0,0,0,0,287,14106,9337,27907,0,0,0,0,0
1,90,1.704,34,2852031,31,-1012,19,69901,0,0,0,0,0,287,14106,9337,27907,0,0,0,0,0
1,90,1.763,35,2852087,31,-1012,19,69901,0,0,0,0,0,287,14106,9337,27907,0,0,0,0,0
1,90,1.818,36,2852143,31,-1012,19,69901,0,0,0,0,0,287,14106,9337,27907,0,0,0,0,0
1,90,1.872,37,2852199,31,-1012,19,69901,0,0,0,0,0,287,14106,9337,27907,0,0,0,0,0
1,90,1.937,38,2852255,31,-1012,19,69901,0,0,0,0,0,287,14106,9337,27907,0,0,0,0,0
1,90,1.98,39,2852307,31,-1012,19,69901,0,0,0,0,0,287,14106,9337,27907,0,0,0,0,0
1,90,2.036,40,2852363,31,-1012,19,69901,0,0,0,0,0,287,14106,9337,27907,0,0,0,0,0
1,90,2.094,41,2852419,31,-1012,19,69901,0,0,0,0,0,287,14106,9337,27907,0,0,0,0,0
1,90,2.147,42,2852475,31,-1012,19,69901,0,0,0,0,0,287,14106,9337,27907,0,0,0,0,0
1,90,2.205,43,2852531,31,-1012,19,69901,0,0,0,0,0,287,14106,9337,27907,0,0,0,0,0
1,90,2.261,44,2852587,31,-1012,19,69901,0,0,0,0,0,287,14106,9337,27907,0,0,0,0,0
1,90,2.317,45,2852643,31,-1012,19,69901,0,0,0,0,0,287,14106,9337,27907,0,0,0,0,0
1,90,2.372,46,2852699,31,-1012,19,69901,0,0,0,0,0,287,14106,9337,27907,0,0,0,0,0
1,90,2.431,47,2852755,31,-1012,19,69901,0,0,0,0,0,287,14106,9337,27907,0,0,0,0,0
1,90,2.487,48,2852811,31,-1012,19,69901,0,0,0,0,0,287,14106,9337,27907,0,0,0,0,0
1,90,2.54,49,2852867,31,-1012,19,69901,0,0,0,0,0,287,14106,9337,27907,0,0,0,0,0
1,90,2.606,50,2852923,31,-1012,19,69901,0,0,0,0,0,287,14106,9337,27907,0,0,0,0,0
1,90,2.659,51,2852979,31,-1012,19,69901,0,0,0,0,0,287,14106,9337,27907,0,0,0,0,0
1,90,2.711,52,2853035,31,-1012,19,69901,0,0,0,0,0,287,14106,9337,27907,0,0,0,0,0
1,90,2.766,53,2853091,31,-1012,19,69901,0,0,0,0,0,287,14106,9337,27907,0,0,0,0,0
1,90,2.821,54,2853147,31,-1012,19,69901,0,0,0,0,0,287,14106,9337,27907,0,0,0,0,0
1,90,2.88,55,2853203,31,-1012,19,69901,0,0,0,0,0,287,14106,9337,27907,0,0,0,0,0
1,90,2.939,56,2853259,31,-1012,19,69901,0,0,0,0,0,287,14106,9337,27907,0,0,0,0,0
1,90,2.998,57,2853315,31,-1012,19,69901,0,0,0,0,0,287,14106,9337,27907,0,0,0,0,0
1,90,3.042,58,2853367,31,-1012,19,69901,0,0,0,0,0,287,14106,9337,27907,0,0,0,0,0
1,90,3.096,59,2853423,31,-1012,19,69901,0,0,0,0,0,287,14106,9337,27907,0,0,0,0,0
1,90,3.156,60,2853479,31,-1012,19,69901,0,0,0,0,0,287,14106,9337,27907,0,0,0,0,0
1,90,3.208,61,2853535,31,-1012,19,69901,0,0,0,0,0,287,14106,9337,27907,0,0,0,0,0
1,90,3.264,62,2853591,31,-1012,19,69901,0,0,0,0,0,287,14106,9337,27907,0,0,0,0,0
1,90,3.324,63,2853647,31,-1012,19,69901,0,0,0,0,0,287,14106,9337,27907,0,0,0,0,0
1,90,3.376,64,2853703,31,-1012,19,69901,0,0,0,0,0,287,14106,9337,27907,0,0,0,0,0
1,90,3.432,65,2853759,31,-1012,19,69901,0,0,0,0,0,287,14106,9337,27907,0,0,0,0,0
1,90,3.488,66,2853815,31,-1012,19,69901,0,0,0,0,0,287,14106,9337,27907,0,0,0,0,0
1,90,3.544,67,2853871,31,-1012,19,69901,0,0,0,0,0,287,14106,9337,27907,0,0,0,0,0
1,90,3.6,68,2853927,31,-1012,19,69901,0,0,0,0,0,287,14106,9337,27907,0,0,0,0,0
1,90,3.658,69,2853983,31,-1012,19,69901,0,0,0,0,0,287,14106,9337,27907,0,0,0,0,0
1,90,3.712,70,2854039,31,-1012,19,69901,0,0,0,0,0,287,14106,9337,27907,0,0,0,0,0
1,90,3.768,71,2854095,31,-1012,19,69901,0,0,0,0,0,287,14106,9337,27907,0,0,0,0,0
1,90,3.824,72,2854151,31,-1012,19,69901,0,0,0,0,0,287,14106,9337,27907,0,0,0,0,0
1,90,3.88,73,2854207,31,-1012,19,69901,0,0,0,0,0,287,14106,9337,27907,0,0,0,0,0
1,90,3.994,74,2854263,31,-1012,19,69901,0,0,0,0,0,287,14106,9337,27907,0,0,0,0,0
1,90,3.994,75,2854319,31,-1012,19,69901,0,0,0,0,0,287,14106,9337,27907,0,0,0,0,0
1,90,4.056,76,2854375,31,-1012,19,69901,0,0,0,0,0,287,14106,9337,27907,0,0,0,0,0
1,90,4.102,77,2854427,31,-1012,19,69901,0,0,0,0,0,287,14106,9337,27907,0,0,0,0,0
1,90,4.156,78,2854483,31,-1012,19,69901,0,0,0,0,0,287,14106,9337,27907,0,0,0,0,0
1,90,4.212,79,2854539,31,-1012,19,69901,0,0,0,0,0,287,14106,9337,27907,0,0,0,0,0
1,90,4.27,80,2854595,31,-1012,19,69901,0,0,0,0,0,287,14106,9337,27907,0,0,0,0,0
1,90,4.325,81,2854651,31,-1012,19,69901,0,0,0,0,0,287,14106,9337,27907,0,0,0,0,0
1,90,4.381,82,2854707,31,-1012,19,69901,0,0,0,0,0,287,14106,9337,27907,0,0,0,0,0
1,90,4.439,83,2854763,31,-1012,19,69901,0,0,0,0,0,287,14106,9337,27907,0,0,0,0,0
1,90,4.492,84,2854819,31,-1012,19,69901,0,0,0,0,0,287,14106,9337,27907,0,0,0,0,0
1,90,4.552,85,2854875,31,-1012,19,69901,0,0,0,0,0,287,14106,9337,27907,0,0,0,0,0
1,90,4.604,86,2854931,31,-1012,19,69901,0,0,0,0,0,287,14106,9337,27907,0,0,0,0,0
1,90,4.66,87,2854987,31,-1012,19,69901,0,0,0,0,0,287,14106,9337,27907,0,0,0,0,0
1,90,4.716,88,2855043,31,-1012,19,69901,0,0,0,0,0,287,14106,9337,27907,0,0,0,0,0
1,90,4.772,89,2855099,31,-1012,19,69901,0,0,0,0,0,287,14106,9337,27907,0,0,0,0,0
1,90,4.828,90,2855155,31,-1012,19,69901,0,0,0,0,0,287,14106,9337,27907,0,0,0,0,0
1,90,4.885,91,2855211,31,-1012,19,69901,0,0,0,0,0,287,14106,9337,27907,0,0,0,0,0
