turn,commanded,cruise,id,reason,camera_deg,error_deg,unwrapped_deg,cam_samples,encoder_deg,encoder_error_deg,x0,y0,x1,y1,drift_cm,peak_vl,peak_vr,duration_s,frames,ready_before
1,90,0,6,stop,92.53,2.53,92.95,18,91.86,1.86,41.47,-3.91,42.27,-4.43,0.96,184,164,0.65,140,1
2,-90,0,7,stop,-92.77,-2.77,-95.08,15,-90.8,-0.8,42.26,-4.42,42.27,-4.63,0.21,164,174,0.71,105,1
3,107,0,8,stop,110.8,3.8,111.04,11,107.88,0.88,42.27,-4.63,43.15,-5.18,1.03,190,174,0.8,227,1
4,-107,0,9,stop,-108.89,-1.89,-108.31,20,-106.64,0.36,43.14,-5.18,43.18,-5.41,0.23,174,190,0.79,126,1
5,180,0,10,stop,183.41,3.41,184.07,23,179.94,-0.06,43.15,-5.4,44.29,-6.13,1.35,188,174,1.3,120,1
6,-180,0,11,stop,-183.62,-3.62,-183.29,20,-179.11,0.89,44.3,-6.13,44.11,-5.85,0.34,171,184,1.29,150,1
7,-90,0,12,stop,-91.96,-1.96,-92.68,20,-90.87,-0.87,44.1,-5.86,43.71,-6.09,0.45,164,184,0.72,92,1
8,90,0,13,stop,90.06,0.06,88.95,20,90.08,0.08,43.73,-6.1,43.42,-6.96,0.91,181,164,0.71,131,1
9,-107,0,14,stop,-109.34,-2.34,-110.45,16,-107.92,-0.92,43.42,-6.95,42.89,-7.13,0.56,174,181,0.8,124,1
10,107,0,15,stop,108.75,1.75,110.08,20,107.05,0.05,42.89,-7.13,42.52,-7.53,0.54,200,174,0.85,95,1
11,-180,0,16,stop,-185.75,-5.75,-183.8,23,-179.75,0.25,42.51,-7.54,42.27,-8.0,0.52,171,194,1.29,158,1
12,180,0,17,stop,183.89,3.89,183.64,23,177.26,-2.74,42.29,-8.0,41.49,-7.38,1.02,190,174,1.37,121,1
13,90,0,18,stop,93.06,3.06,93.22,15,89.97,-0.03,41.48,-7.38,42.44,-7.89,1.08,184,157,0.64,146,1
14,-90,0,19,stop,-94.6,-4.6,-92.16,19,-91.1,-1.1,42.44,-7.89,42.25,-8.16,0.33,174,184,0.64,91,1
15,107,0,20,stop,109.17,2.17,106.99,19,107.13,0.13,42.24,-8.15,43.35,-8.69,1.24,194,164,0.85,115,1
16,-107,0,21,stop,-110.42,-3.42,-103.98,20,-108.6,-1.6,43.36,-8.7,43.14,-8.93,0.32,171,184,0.79,145,1
17,180,0,22,stop,183.08,3.08,183.01,18,180.24,0.24,43.12,-8.93,44.31,-9.6,1.37,184,164,1.3,172,1
18,-180,0,23,stop,-182.37,-2.37,-183.95,23,-179.63,0.37,44.31,-9.61,44.12,-9.41,0.27,164,184,1.29,105,1
19,-90,0,24,stop,-92.85,-2.85,-87.13,21,-89.67,0.33,44.12,-9.4,43.86,-9.6,0.32,164,184,0.65,95,1
20,90,0,25,stop,91.76,1.76,90.6,19,89.55,-0.45,43.87,-9.6,43.46,-10.22,0.74,194,164,0.71,101,1
21,-107,0,26,stop,-107.75,-0.75,-106.25,20,-106.59,0.41,43.46,-10.21,43.22,-10.33,0.27,164,181,0.79,117,1
22,107,0,27,stop,108.82,1.82,108.08,20,107.23,0.23,43.21,-10.32,42.59,-10.63,0.7,184,174,0.78,92,1
23,-180,0,28,stop,-182.55,-2.55,-182.91,24,-178.16,1.84,42.58,-10.63,42.54,-10.83,0.2,164,180,1.3,101,1
24,180,0,29,stop,183.02,3.02,182.6,24,180.16,0.16,42.54,-10.84,41.69,-9.98,1.22,203,164,1.28,105,1
