turn,commanded,t_rel,seq,now,flags,x,y,h,ox,oy,oh,vl,vr,i2cf,cyc,posl,posr,dutl,dutr,lexc,wrng,cycovr
1,90,-0.043,100,3203243,31,-978,62,60666,0,0,0,0,0,335,15293,9067,25188,0,0,0,0,0
1,90,0.013,101,3203299,31,-978,62,60666,0,0,0,0,0,335,15293,9067,25188,0,0,0,0,0
1,90,0.083,102,3203360,31,-978,62,60704,0,0,0,-14,14,335,15295,9062,25193,-1000,1000,0,0,0
1,90,0.145,103,3203431,31,-978,62,61017,0,0,0,-56,39,335,15298,9017,25230,-1200,1200,0,0,0
1,90,0.217,104,3203503,31,-978,63,61440,0,0,0,-82,56,335,15301,8950,25274,-1200,1400,0,0,0
1,90,0.289,105,3203575,31,-978,64,61906,0,0,0,-92,56,335,15304,8878,25324,-1500,1700,0,0,0
1,90,0.361,106,3203647,31,-978,64,62520,0,0,0,-92,102,335,15307,8795,25402,-1900,2200,0,0,0
1,90,0.435,107,3203719,31,-978,65,63386,0,0,0,-144,128,335,15310,8673,25507,-2400,2600,0,0,0
1,90,0.506,108,3203791,31,-978,65,64522,0,0,0,-184,154,335,15313,8517,25649,-2500,2700,0,0,0
1,90,0.584,109,3203863,31,-978,66,65701,0,0,0,-184,156,336,15316,8350,25791,-2400,2600,0,0,0
1,90,0.656,110,3203935,31,-981,70,66483,0,0,0,-184,0,337,15319,8189,25835,-2300,2700,0,0,0
1,90,0.726,111,3204007,31,-983,73,67269,0,0,0,-172,158,338,15322,8039,25891,-2500,2700,0,0,0
1,90,0.793,112,3204079,31,-983,73,68409,0,0,0,-164,164,338,15325,7884,26035,-1800,2200,0,0,0
1,90,0.936,113,3204224,31,-984,74,69629,0,0,0,0,0,339,15333,7717,26188,0,0,0,0,0
1,90,0.993,114,3204275,31,-984,74,69629,0,0,0,0,0,339,15335,7717,26188,0,0,0,0,0
1,90,1.045,115,3204331,31,-984,74,69629,0,0,0,0,0,339,15336,7717,26188,0,0,0,0,0
1,90,1.101,116,3204387,31,-984,74,69629,0,0,0,0,0,339,15336,7717,26188,0,0,0,0,0
1,90,1.16,117,3204443,31,-984,74,69629,0,0,0,0,0,339,15336,7717,26188,0,0,0,0,0
1,90,1.213,118,3204499,31,-984,74,69629,0,0,0,0,0,339,15336,7717,26188,0,0,0,0,0
1,90,1.268,119,3204555,31,-984,74,69629,0,0,0,0,0,339,15336,7717,26188,0,0,0,0,0
1,90,1.325,120,3204611,31,-984,74,69629,0,0,0,0,0,339,15336,7717,26188,0,0,0,0,0
1,90,1.381,121,3204667,31,-984,74,69629,0,0,0,0,0,339,15336,7717,26188,0,0,0,0,0
1,90,1.44,122,3204723,31,-984,74,69629,0,0,0,0,0,339,15336,7717,26188,0,0,0,0,0
1,90,1.505,123,3204779,31,-984,74,69629,0,0,0,0,0,339,15336,7717,26188,0,0,0,0,0
1,90,1.549,124,3204835,31,-984,74,69629,0,0,0,0,0,339,15336,7717,26188,0,0,0,0,0
1,90,1.608,125,3204891,31,-984,74,69629,0,0,0,0,0,339,15336,7717,26188,0,0,0,0,0
1,90,1.661,126,3204947,31,-984,74,69629,0,0,0,0,0,339,15336,7717,26188,0,0,0,0,0
1,90,1.717,127,3205003,31,-984,74,69629,0,0,0,0,0,339,15336,7717,26188,0,0,0,0,0
1,90,1.772,0,3205059,31,-984,74,69629,0,0,0,0,0,339,15336,7717,26188,0,0,0,0,0
1,90,1.837,1,3205115,31,-984,74,69629,0,0,0,0,0,339,15336,7717,26188,0,0,0,0,0
1,90,1.88,2,3205167,31,-984,74,69629,0,0,0,0,0,339,15336,7717,26188,0,0,0,0,0
1,90,1.938,3,3205223,31,-984,74,69629,0,0,0,0,0,339,15336,7717,26188,0,0,0,0,0
1,90,1.993,4,3205279,31,-984,74,69629,0,0,0,0,0,339,15336,7717,26188,0,0,0,0,0
1,90,2.049,5,3205335,31,-984,74,69629,0,0,0,0,0,339,15336,7717,26188,0,0,0,0,0
1,90,2.106,6,3205391,31,-984,74,69629,0,0,0,0,0,339,15336,7717,26188,0,0,0,0,0
1,90,2.161,7,3205447,31,-984,74,69629,0,0,0,0,0,339,15336,7717,26188,0,0,0,0,0
1,90,2.22,8,3205503,31,-984,74,69629,0,0,0,0,0,339,15336,7717,26188,0,0,0,0,0
1,90,2.273,9,3205559,31,-984,74,69629,0,0,0,0,0,339,15336,7717,26188,0,0,0,0,0
1,90,2.329,10,3205615,31,-984,74,69629,0,0,0,0,0,339,15336,7717,26188,0,0,0,0,0
1,90,2.384,11,3205671,31,-984,74,69629,0,0,0,0,0,339,15336,7717,26188,0,0,0,0,0
1,90,2.441,12,3205727,31,-984,74,69629,0,0,0,0,0,339,15336,7717,26188,0,0,0,0,0
1,90,2.497,13,3205783,31,-984,74,69629,0,0,0,0,0,339,15336,7717,26188,0,0,0,0,0
1,90,2.553,14,3205839,31,-984,74,69629,0,0,0,0,0,339,15336,7717,26188,0,0,0,0,0
1,90,2.609,15,3205895,31,-984,74,69629,0,0,0,0,0,339,15336,7717,26188,0,0,0,0,0
1,90,2.666,16,3205951,31,-984,74,69629,0,0,0,0,0,339,15336,7717,26188,0,0,0,0,0
1,90,2.721,17,3206007,31,-984,74,69629,0,0,0,0,0,339,15336,7717,26188,0,0,0,0,0
1,90,2.777,18,3206063,31,-984,74,69629,0,0,0,0,0,339,15336,7717,26188,0,0,0,0,0
1,90,2.834,19,3206119,31,-984,74,69629,0,0,0,0,0,339,15336,7717,26188,0,0,0,0,0
1,90,2.896,20,3206175,31,-984,74,69629,0,0,0,0,0,339,15336,7717,26188,0,0,0,0,0
1,90,2.94,21,3206227,31,-984,74,69629,0,0,0,0,0,339,15336,7717,26188,0,0,0,0,0
1,90,2.998,22,3206283,31,-984,74,69629,0,0,0,0,0,339,15336,7717,26188,0,0,0,0,0
1,90,3.053,23,3206339,31,-984,74,69629,0,0,0,0,0,339,15336,7717,26188,0,0,0,0,0
1,90,3.109,24,3206395,31,-984,74,69629,0,0,0,0,0,339,15336,7717,26188,0,0,0,0,0
1,90,3.165,25,3206451,31,-984,74,69629,0,0,0,0,0,339,15336,7717,26188,0,0,0,0,0
1,90,3.221,26,3206507,31,-984,74,69629,0,0,0,0,0,339,15336,7717,26188,0,0,0,0,0
1,90,3.277,27,3206563,31,-984,74,69629,0,0,0,0,0,339,15336,7717,26188,0,0,0,0,0
1,90,3.333,28,3206619,31,-984,74,69629,0,0,0,0,0,339,15336,7717,26188,0,0,0,0,0
1,90,3.388,29,3206675,31,-984,74,69629,0,0,0,0,0,339,15336,7717,26188,0,0,0,0,0
1,90,3.45,30,3206731,31,-984,74,69629,0,0,0,0,0,339,15336,7717,26188,0,0,0,0,0
1,90,3.501,31,3206787,31,-984,74,69629,0,0,0,0,0,339,15336,7717,26188,0,0,0,0,0
1,90,3.556,32,3206843,31,-984,74,69629,0,0,0,0,0,339,15336,7717,26188,0,0,0,0,0
1,90,3.613,33,3206899,31,-984,74,69629,0,0,0,0,0,339,15336,7717,26188,0,0,0,0,0
1,90,3.669,34,3206955,31,-984,74,69629,0,0,0,0,0,339,15336,7717,26188,0,0,0,0,0
1,90,3.725,35,3207011,31,-984,74,69629,0,0,0,0,0,339,15336,7717,26188,0,0,0,0,0
1,90,3.781,36,3207067,31,-984,74,69629,0,0,0,0,0,339,15336,7717,26188,0,0,0,0,0
1,90,3.836,37,3207123,31,-984,74,69629,0,0,0,0,0,339,15336,7717,26188,0,0,0,0,0
1,90,3.892,38,3207179,31,-984,74,69629,0,0,0,0,0,339,15336,7717,26188,0,0,0,0,0
1,90,3.965,39,3207235,31,-984,74,69629,0,0,0,0,0,339,15336,7717,26188,0,0,0,0,0
1,90,4.0,40,3207287,31,-984,74,69629,0,0,0,0,0,339,15336,7717,26188,0,0,0,0,0
1,90,4.064,41,3207343,31,-984,74,69629,0,0,0,0,0,339,15336,7717,26188,0,0,0,0,0
1,90,4.113,42,3207399,31,-984,74,69629,0,0,0,0,0,339,15336,7717,26188,0,0,0,0,0
1,90,4.168,43,3207455,31,-984,74,69629,0,0,0,0,0,339,15336,7717,26188,0,0,0,0,0
1,90,4.225,44,3207511,31,-984,74,69629,0,0,0,0,0,339,15336,7717,26188,0,0,0,0,0
1,90,4.282,45,3207567,31,-984,74,69629,0,0,0,0,0,339,15336,7717,26188,0,0,0,0,0
1,90,4.337,46,3207623,31,-984,74,69629,0,0,0,0,0,339,15336,7717,26188,0,0,0,0,0
1,90,4.394,47,3207679,31,-984,74,69629,0,0,0,0,0,339,15336,7717,26188,0,0,0,0,0
1,90,4.448,48,3207735,31,-984,74,69629,0,0,0,0,0,339,15336,7717,26188,0,0,0,0,0
1,90,4.506,49,3207791,31,-984,74,69629,0,0,0,0,0,339,15336,7717,26188,0,0,0,0,0
1,90,4.561,50,3207847,31,-984,74,69629,0,0,0,0,0,339,15336,7717,26188,0,0,0,0,0
1,90,4.616,51,3207903,31,-984,74,69629,0,0,0,0,0,339,15336,7717,26188,0,0,0,0,0
1,90,4.676,52,3207959,31,-984,74,69629,0,0,0,0,0,339,15336,7717,26188,0,0,0,0,0
1,90,4.729,53,3208015,31,-984,74,69629,0,0,0,0,0,339,15336,7717,26188,0,0,0,0,0
1,90,4.784,54,3208071,31,-984,74,69629,0,0,0,0,0,339,15336,7717,26188,0,0,0,0,0
1,90,4.843,55,3208127,31,-984,74,69629,0,0,0,0,0,339,15336,7717,26188,0,0,0,0,0
1,90,4.897,56,3208183,31,-984,74,69629,0,0,0,0,0,339,15336,7717,26188,0,0,0,0,0
1,90,4.953,57,3208239,31,-984,74,69629,0,0,0,0,0,339,15336,7717,26188,0,0,0,0,0
1,90,5.017,58,3208295,31,-984,74,69629,0,0,0,0,0,339,15336,7717,26188,0,0,0,0,0
