turn,commanded,cruise,id,reason,camera_deg,error_deg,unwrapped_deg,cam_samples,encoder_deg,encoder_error_deg,x0,y0,x1,y1,drift_cm,peak_vl,peak_vr,duration_s,frames,ready_before
1,90,0,6,stop,97.61,7.61,98.08,21,89.63,-0.37,41.69,-9.98,42.31,-10.35,0.72,184,164,0.71,95,1
2,-90,0,7,stop,-92.14,-2.14,-92.45,20,-89.93,0.07,42.32,-10.36,42.27,-10.65,0.29,174,190,0.65,96,1
3,107,0,8,stop,105.49,-1.51,107.75,20,104.43,-2.57,42.29,-10.66,43.06,-10.99,0.84,184,164,0.79,99,1
4,-107,0,9,stop,-107.24,-0.24,-105.56,20,-107.07,-0.07,43.06,-10.99,43.17,-11.27,0.3,174,184,0.72,91,1
5,180,0,10,stop,178.08,-1.92,178.0,24,177.86,-2.14,43.16,-11.27,44.09,-11.55,0.97,190,158,1.32,103,1
6,-180,0,11,stop,-177.84,2.16,-178.13,24,-176.9,3.1,44.09,-11.53,44.29,-11.64,0.22,174,184,1.22,108,1
7,-90,0,12,stop,-96.07,-6.07,-95.74,20,-89.02,0.98,44.29,-11.64,43.98,-11.92,0.41,194,194,0.65,93,1
8,90,0,13,stop,89.74,-0.26,90.66,19,89.13,-0.87,44.0,-11.94,43.38,-12.54,0.86,200,174,0.71,95,1
9,-107,0,14,stop,-103.63,3.37,-105.89,21,-103.09,3.91,43.39,-12.55,43.36,-12.58,0.05,174,184,0.79,95,1
10,107,0,15,stop,104.21,-2.79,103.82,20,106.33,-0.67,43.35,-12.59,42.37,-13.12,1.11,190,164,0.79,95,1
11,-180,0,16,stop,-176.79,3.21,-176.19,23,-176.82,3.18,42.37,-13.12,42.5,-13.04,0.16,174,174,1.28,105,1
12,180,0,17,stop,178.91,-1.09,179.82,24,177.7,-2.3,42.51,-13.03,41.18,-12.49,1.43,194,181,1.29,109,1
13,90,0,18,stop,87.48,-2.52,85.95,17,87.73,-2.27,41.17,-12.47,41.48,-12.73,0.4,190,164,0.65,105,1
14,-90,0,19,stop,-91.14,-1.14,-90.11,20,-88.49,1.51,41.48,-12.74,41.71,-13.02,0.36,164,184,0.7,94,1
15,107,0,20,stop,103.94,-3.06,104.38,21,103.97,-3.03,41.69,-13.03,42.02,-13.43,0.52,194,174,0.78,93,1
16,-107,0,21,stop,-109.48,-2.48,-109.98,20,-103.51,3.49,42.03,-13.43,42.28,-13.79,0.43,164,190,0.79,98,1
17,180,0,22,stop,183.82,3.82,182.63,22,178.08,-1.92,42.28,-13.79,42.8,-14.02,0.57,194,174,1.3,103,1
18,-180,0,23,stop,-176.65,3.35,-176.38,24,-176.71,3.29,42.79,-14.04,43.43,-14.99,1.14,194,191,1.22,107,1
19,-90,0,24,stop,-88.86,1.14,-88.27,20,-87.42,2.58,43.43,-14.98,43.44,-14.85,0.13,164,181,0.65,96,1
20,90,0,25,stop,86.89,-3.11,86.71,20,88.45,-1.55,43.45,-14.85,42.56,-15.9,1.38,207,145,0.64,107,1
21,-107,0,26,stop,-103.78,3.22,-105.42,21,-104.97,2.03,42.55,-15.9,42.54,-15.8,0.11,174,174,0.8,96,1
22,107,0,27,stop,103.47,-3.53,105.09,20,104.47,-2.53,42.55,-15.8,41.4,-16.74,1.48,194,154,0.78,97,1
23,-180,0,28,stop,-176.97,3.03,-177.51,23,-176.59,3.41,41.4,-16.73,41.52,-16.54,0.22,184,181,1.29,125,1
24,180,0,29,stop,177.48,-2.52,179.05,23,178.16,-1.84,41.53,-16.53,40.23,-16.37,1.32,194,158,1.34,110,1
