turn,commanded,t_rel,seq,now,flags,x,y,h,ox,oy,oh,vl,vr,i2cf,cyc,posl,posr,dutl,dutr,lexc,wrng,cycovr
1,90,-0.011,114,3569839,31,-943,107,61208,0,0,0,0,0,403,16523,7384,23647,0,0,0,0,0
1,90,0.048,115,3569899,31,-943,107,61208,0,0,0,0,0,403,16524,7384,23647,-900,900,0,0,0
1,90,0.121,116,3569971,31,-943,108,61367,0,0,0,-46,16,404,16527,7353,23658,-1200,1200,0,0,0
1,90,0.193,117,3570043,31,-942,108,61739,0,0,0,-66,46,404,16530,7300,23703,-1300,1400,0,0,0
1,90,0.265,118,3570115,31,-942,109,62156,0,0,0,-82,53,404,16533,7234,23747,-1400,1800,0,0,0
1,90,0.337,119,3570187,31,-942,109,62706,0,0,0,-82,72,404,16536,7156,23814,-1900,2100,0,0,0
1,90,0.412,120,3570259,31,-942,110,63530,0,0,0,-148,128,404,16539,7039,23914,-2500,2500,0,0,0
1,90,0.481,121,3570331,31,-942,111,64562,0,0,0,-184,141,405,16542,6889,24036,-2700,2700,0,0,0
1,90,0.554,122,3570403,31,-943,112,65678,0,0,0,-174,154,405,16545,6734,24175,-2600,2700,0,0,0
1,90,0.632,123,3570475,31,-943,112,66869,0,0,0,-184,171,405,16548,6567,24322,-2400,2700,0,0,0
1,90,0.708,124,3570548,31,-943,113,68041,0,0,0,-163,158,405,16551,6406,24470,-2300,2600,0,0,0
1,90,0.77,125,3570619,31,-944,113,69157,0,0,0,-164,164,405,16554,6256,24614,-1400,1900,0,0,0
1,90,0.89,126,3570740,31,-944,113,70106,0,0,0,0,0,407,16561,6128,24736,0,0,0,0,0
1,90,0.942,127,3570791,31,-944,113,70106,0,0,0,0,0,407,16563,6128,24736,0,0,0,0,0
1,90,1.025,0,3570864,31,-944,113,70106,0,0,0,0,0,407,16566,6128,24736,0,0,0,0,0
1,90,1.069,1,3570919,31,-944,113,70106,0,0,0,0,0,407,16566,6128,24736,0,0,0,0,0
1,90,1.129,2,3570975,31,-944,113,70106,0,0,0,0,0,407,16566,6128,24736,0,0,0,0,0
1,90,1.181,3,3571031,31,-944,113,70106,0,0,0,0,0,407,16566,6128,24736,0,0,0,0,0
1,90,1.237,4,3571087,31,-944,113,70106,0,0,0,0,0,407,16566,6128,24736,0,0,0,0,0
1,90,1.295,5,3571143,31,-944,113,70106,0,0,0,0,0,407,16566,6128,24736,0,0,0,0,0
1,90,1.349,6,3571199,31,-944,113,70106,0,0,0,0,0,407,16566,6128,24736,0,0,0,0,0
1,90,1.404,7,3571255,31,-944,113,70106,0,0,0,0,0,407,16566,6128,24736,0,0,0,0,0
1,90,1.466,8,3571311,31,-944,113,70106,0,0,0,0,0,407,16566,6128,24736,0,0,0,0,0
1,90,1.517,9,3571367,31,-944,113,70106,0,0,0,0,0,407,16566,6128,24736,0,0,0,0,0
1,90,1.573,10,3571423,31,-944,113,70106,0,0,0,0,0,407,16566,6128,24736,0,0,0,0,0
1,90,1.629,11,3571479,31,-944,113,70106,0,0,0,0,0,407,16566,6128,24736,0,0,0,0,0
1,90,1.685,12,3571535,31,-944,113,70106,0,0,0,0,0,407,16566,6128,24736,0,0,0,0,0
1,90,1.744,13,3571591,31,-944,113,70106,0,0,0,0,0,407,16566,6128,24736,0,0,0,0,0
1,90,1.805,14,3571647,31,-944,113,70106,0,0,0,0,0,407,16566,6128,24736,0,0,0,0,0
1,90,1.849,15,3571699,31,-944,113,70106,0,0,0,0,0,407,16566,6128,24736,0,0,0,0,0
1,90,1.907,16,3571755,31,-944,113,70106,0,0,0,0,0,407,16566,6128,24736,0,0,0,0,0
1,90,1.961,17,3571811,31,-944,113,70106,0,0,0,0,0,407,16566,6128,24736,0,0,0,0,0
1,90,2.017,18,3571867,31,-944,113,70106,0,0,0,0,0,407,16566,6128,24736,0,0,0,0,0
1,90,2.073,19,3571923,31,-944,113,70106,0,0,0,0,0,407,16566,6128,24736,0,0,0,0,0
1,90,2.128,20,3571979,31,-944,113,70106,0,0,0,0,0,407,16566,6128,24736,0,0,0,0,0
1,90,2.192,21,3572035,31,-944,113,70106,0,0,0,0,0,407,16566,6128,24736,0,0,0,0,0
1,90,2.24,22,3572091,31,-944,113,70106,0,0,0,0,0,407,16566,6128,24736,0,0,0,0,0
1,90,2.297,23,3572147,31,-944,113,70106,0,0,0,0,0,407,16566,6128,24736,0,0,0,0,0
1,90,2.358,24,3572203,31,-944,113,70106,0,0,0,0,0,407,16566,6128,24736,0,0,0,0,0
1,90,2.409,25,3572259,31,-944,113,70106,0,0,0,0,0,407,16566,6128,24736,0,0,0,0,0
1,90,2.464,26,3572315,31,-944,113,70106,0,0,0,0,0,407,16566,6128,24736,0,0,0,0,0
1,90,2.526,27,3572371,31,-944,113,70106,0,0,0,0,0,407,16566,6128,24736,0,0,0,0,0
1,90,2.577,28,3572427,31,-944,113,70106,0,0,0,0,0,407,16566,6128,24736,0,0,0,0,0
