turn,commanded,cruise,id,reason,camera_deg,error_deg,unwrapped_deg,cam_samples,encoder_deg,encoder_error_deg,x0,y0,x1,y1,drift_cm,peak_vl,peak_vr,duration_s,frames,ready_before
1,90,0,6,stop,90.92,0.92,92.25,19,88.98,-1.02,40.21,-16.39,40.64,-16.95,0.71,184,171,0.65,108,1
2,-90,0,7,stop,-90.52,-0.52,-91.68,20,-89.17,0.83,40.66,-16.95,40.82,-17.12,0.23,174,180,0.64,98,1
3,107,0,8,stop,120.63,13.63,121.78,20,109.16,2.16,40.83,-17.11,41.55,-17.73,0.95,200,184,0.79,103,1
4,-107,0,9,stop,-105.78,1.22,-106.59,19,-104.99,2.01,41.55,-17.72,41.8,-17.67,0.25,184,184,0.79,114,1
5,180,0,10,stop,179.93,-0.07,182.73,21,179.02,-0.98,41.8,-17.67,42.43,-18.04,0.73,190,164,1.3,106,1
6,-180,0,11,stop,-180.29,-0.29,-179.71,24,-178.26,1.74,42.44,-18.02,42.63,-18.26,0.3,181,200,1.29,103,1
7,-90,0,12,stop,-88.67,1.33,-88.94,21,-89.17,0.83,42.63,-18.26,42.52,-18.21,0.12,171,174,0.65,107,1
8,90,0,13,stop,87.89,-2.11,88.04,22,89.7,-0.3,42.53,-18.21,42.14,-19.2,1.06,190,148,0.65,103,1
9,-107,0,14,stop,-106.18,0.82,-103.01,22,-105.63,1.37,42.12,-19.2,41.87,-19.21,0.25,164,184,0.72,108,1
10,107,0,15,stop,104.82,-2.18,103.48,20,105.21,-1.79,41.87,-19.22,41.33,-20.01,0.96,204,174,0.79,97,1
11,-180,0,16,stop,-180.46,-0.46,-180.21,24,-178.56,1.44,41.33,-20.01,41.1,-19.91,0.26,174,184,1.3,107,1
12,180,0,17,stop,178.8,-1.2,178.24,24,177.81,-2.19,41.11,-19.92,40.66,-19.7,0.49,188,174,1.3,104,1
13,90,0,18,stop,90.76,0.76,90.45,22,89.81,-0.19,40.66,-19.69,41.34,-20.27,0.89,191,174,0.72,118,1
14,-90,0,19,stop,-98.71,-8.71,-97.98,17,-89.93,0.07,41.31,-20.26,41.35,-20.51,0.25,184,200,0.65,133,1
15,107,0,20,stop,108.01,1.01,107.32,19,106.89,-0.11,41.35,-20.51,42.11,-21.28,1.08,181,171,0.79,112,1
16,-107,0,21,stop,-105.88,1.12,-103.19,20,-104.54,2.46,42.12,-21.29,42.07,-21.32,0.06,164,174,0.79,94,1
17,180,0,22,stop,180.62,0.62,180.04,24,179.29,-0.71,42.05,-21.3,43.03,-22.35,1.43,184,171,1.23,106,1
18,-180,0,23,stop,-181.78,-1.78,-180.15,24,-178.45,1.55,43.02,-22.34,42.8,-22.36,0.22,174,190,1.29,106,1
19,-90,0,24,stop,-88.01,1.99,-87.85,21,-88.98,1.02,42.8,-22.37,42.47,-22.48,0.34,184,184,0.63,96,1
20,90,0,25,stop,87.26,-2.74,88.69,20,88.64,-1.36,42.49,-22.47,42.2,-23.29,0.87,200,148,0.72,92,1
21,-107,0,26,stop,-121.03,-14.03,-123.36,20,-109.28,-2.28,42.19,-23.29,41.35,-23.25,0.85,184,200,0.78,120,1
22,107,0,27,stop,109.15,2.15,107.88,19,106.55,-0.45,41.34,-23.25,40.96,-23.51,0.46,184,171,0.79,108,1
23,-180,0,28,stop,-180.75,-0.75,-182.58,23,-178.65,1.35,40.96,-23.5,40.81,-23.52,0.16,172,200,1.3,107,1
24,180,0,29,stop,177.38,-2.62,175.74,21,177.81,-2.19,40.81,-23.54,40.56,-22.95,0.64,190,174,1.28,111,1
25,90,0,30,stop,89.69,-0.31,90.2,21,88.41,-1.59,40.56,-22.94,41.17,-23.74,1.01,194,171,0.65,99,1
26,-90,0,31,stop,-89.1,0.9,-91.18,20,-89.59,0.41,41.19,-23.74,41.02,-23.91,0.24,184,181,0.65,97,1
27,107,0,32,stop,105.22,-1.78,102.91,18,105.94,-1.06,41.03,-23.92,41.63,-24.58,0.89,181,172,0.79,104,1
28,-107,0,33,stop,-104.89,2.11,-106.55,21,-104.65,2.35,41.63,-24.57,41.52,-24.69,0.16,184,184,0.79,102,1
29,180,0,34,stop,182.51,2.51,180.89,20,179.59,-0.41,41.51,-24.69,42.28,-25.56,1.16,194,164,1.29,110,1
30,-180,0,35,stop,-181.32,-1.32,-181.48,21,-178.75,1.25,42.26,-25.56,42.04,-25.71,0.26,174,184,1.29,109,1
31,-90,0,36,stop,-99.12,-9.12,-97.52,21,-91.48,-1.48,42.03,-25.71,41.35,-25.79,0.68,184,220,0.65,102,1
32,90,0,37,stop,88.52,-1.48,90.58,18,89.24,-0.76,41.35,-25.78,40.96,-26.06,0.47,174,164,0.65,98,1
33,-107,0,38,stop,-105.87,1.13,-106.38,20,-104.65,2.35,40.96,-26.05,40.77,-26.02,0.19,184,190,0.8,99,1
34,107,0,39,stop,106.22,-0.78,106.24,19,105.41,-1.59,40.76,-26.03,40.34,-26.12,0.44,193,164,0.77,96,1
35,-180,0,40,stop,-178.69,1.31,-179.45,23,-178.22,1.78,40.33,-26.08,40.22,-26.15,0.13,174,184,1.3,107,1
36,180,0,41,stop,177.66,-2.34,176.37,23,177.8,-2.2,40.24,-26.14,40.02,-25.17,1.0,190,174,1.23,122,1
