turn,commanded,t_rel,seq,now,flags,x,y,h,ox,oy,oh,vl,vr,i2cf,cyc,posl,posr,dutl,dutr,lexc,wrng,cycovr
1,90,-0.023,85,67719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,90,0.046,86,67787,31,0,0,0,0,0,0,0,0,0,1,0,0,-800,800,0,0,0
1,90,0.118,87,67859,31,0,0,170,0,0,0,-36,10,0,4,-28,17,-1000,1000,0,0,0
1,90,0.19,88,67931,31,-1,0,401,0,0,0,-56,16,0,7,-67,39,-1100,1300,0,0,0
1,90,0.262,89,68003,31,-2,0,780,0,0,0,-72,36,0,10,-128,78,-1400,1600,0,0,0
1,90,0.335,90,68075,31,-2,0,1325,0,0,0,-102,88,0,13,-203,147,-2000,2100,0,0,0
1,90,0.407,91,68147,31,-4,-1,1988,0,0,0,-144,111,1,16,-319,206,-2500,2500,0,0,0
1,90,0.479,92,68219,31,-4,-1,3158,0,0,0,-183,147,1,19,-467,367,-2700,2700,0,0,0
1,90,0.557,93,68291,31,-5,-1,4313,0,0,0,-180,147,1,22,-633,506,-2600,2600,0,0,0
1,90,0.625,94,68363,31,-6,-2,5495,0,0,0,-173,137,1,25,-806,645,-2400,2500,0,0,0
1,90,0.705,95,68436,31,-6,-3,6620,0,0,0,-164,154,1,28,-967,781,-2300,2600,0,0,0
1,90,0.774,96,68507,31,-6,-4,7699,0,0,0,-180,144,1,31,-1122,911,-1900,2300,0,0,0
1,90,0.911,97,68652,31,-6,-5,8880,0,0,0,0,0,1,39,-1289,1056,0,0,0,0,0
1,90,0.968,98,68703,31,-6,-5,8880,0,0,0,0,0,1,41,-1289,1056,0,0,0,0,0
1,90,1.022,99,68759,31,-6,-5,8880,0,0,0,0,0,1,43,-1289,1056,0,0,0,0,0
1,90,1.075,100,68815,31,-6,-5,8880,0,0,0,0,0,1,43,-1289,1056,0,0,0,0,0
1,90,1.133,101,68871,31,-6,-5,8880,0,0,0,0,0,1,43,-1289,1056,0,0,0,0,0
1,90,1.189,102,68927,31,-6,-5,8880,0,0,0,0,0,1,43,-1289,1056,0,0,0,0,0
1,90,1.242,103,68983,31,-6,-5,8880,0,0,0,0,0,1,43,-1289,1056,0,0,0,0,0
1,90,1.299,104,69039,31,-6,-5,8880,0,0,0,0,0,1,43,-1289,1056,0,0,0,0,0
1,90,1.356,105,69095,31,-6,-5,8880,0,0,0,0,0,1,43,-1289,1056,0,0,0,0,0
1,90,1.41,106,69151,31,-6,-5,8880,0,0,0,0,0,1,43,-1289,1056,0,0,0,0,0
1,90,1.466,107,69207,31,-6,-5,8880,0,0,0,0,0,1,43,-1289,1056,0,0,0,0,0
1,90,1.523,108,69263,31,-6,-5,8880,0,0,0,0,0,1,43,-1289,1056,0,0,0,0,0
1,90,1.583,109,69319,31,-6,-5,8880,0,0,0,0,0,1,43,-1289,1056,0,0,0,0,0
1,90,1.635,110,69375,31,-6,-5,8880,0,0,0,0,0,1,43,-1289,1056,0,0,0,0,0
1,90,1.691,111,69431,31,-6,-5,8880,0,0,0,0,0,1,43,-1289,1056,0,0,0,0,0
1,90,1.749,112,69487,31,-6,-5,8880,0,0,0,0,0,1,43,-1289,1056,0,0,0,0,0
1,90,1.803,113,69543,31,-6,-5,8880,0,0,0,0,0,1,43,-1289,1056,0,0,0,0,0
1,90,1.858,114,69599,31,-6,-5,8880,0,0,0,0,0,1,43,-1289,1056,0,0,0,0,0
1,90,1.924,115,69655,31,-6,-5,8880,0,0,0,0,0,1,43,-1289,1056,0,0,0,0,0
1,90,1.971,116,69711,31,-6,-5,8880,0,0,0,0,0,1,43,-1289,1056,0,0,0,0,0
1,90,2.027,117,69767,31,-6,-5,8880,0,0,0,0,0,1,43,-1289,1056,0,0,0,0,0
1,90,2.083,118,69823,31,-6,-5,8880,0,0,0,0,0,1,43,-1289,1056,0,0,0,0,0
1,90,2.139,119,69879,31,-6,-5,8880,0,0,0,0,0,1,43,-1289,1056,0,0,0,0,0
1,90,2.197,120,69935,31,-6,-5,8880,0,0,0,0,0,1,43,-1289,1056,0,0,0,0,0
1,90,2.251,121,69991,31,-6,-5,8880,0,0,0,0,0,1,43,-1289,1056,0,0,0,0,0
1,90,2.308,122,70047,31,-6,-5,8880,0,0,0,0,0,1,43,-1289,1056,0,0,0,0,0
1,90,2.364,123,70103,31,-6,-5,8880,0,0,0,0,0,1,43,-1289,1056,0,0,0,0,0
1,90,2.418,124,70159,31,-6,-5,8880,0,0,0,0,0,1,43,-1289,1056,0,0,0,0,0
1,90,2.475,125,70215,31,-6,-5,8880,0,0,0,0,0,1,43,-1289,1056,0,0,0,0,0
1,90,2.531,126,70271,31,-6,-5,8880,0,0,0,0,0,1,43,-1289,1056,0,0,0,0,0
1,90,2.587,127,70327,31,-6,-5,8880,0,0,0,0,0,1,43,-1289,1056,0,0,0,0,0
1,90,2.643,0,70383,31,-6,-5,8880,0,0,0,0,0,1,43,-1289,1056,0,0,0,0,0
1,90,2.699,1,70439,31,-6,-5,8880,0,0,0,0,0,1,43,-1289,1056,0,0,0,0,0
1,90,2.755,2,70495,31,-6,-5,8880,0,0,0,0,0,1,43,-1289,1056,0,0,0,0,0
1,90,2.814,3,70551,31,-6,-5,8880,0,0,0,0,0,1,43,-1289,1056,0,0,0,0,0
1,90,2.866,4,70607,31,-6,-5,8880,0,0,0,0,0,1,43,-1289,1056,0,0,0,0,0
1,90,2.923,5,70663,31,-6,-5,8880,0,0,0,0,0,1,43,-1289,1056,0,0,0,0,0
1,90,2.985,6,70719,31,-6,-5,8880,0,0,0,0,0,1,43,-1289,1056,0,0,0,0,0
1,90,3.035,7,70775,31,-6,-5,8880,0,0,0,0,0,1,43,-1289,1056,0,0,0,0,0
1,90,3.09,8,70831,31,-6,-5,8880,0,0,0,0,0,1,43,-1289,1056,0,0,0,0,0
1,90,3.147,9,70887,31,-6,-5,8880,0,0,0,0,0,1,43,-1289,1056,0,0,0,0,0
1,90,3.203,10,70943,31,-6,-5,8880,0,0,0,0,0,1,43,-1289,1056,0,0,0,0,0
1,90,3.258,11,70999,31,-6,-5,8880,0,0,0,0,0,1,43,-1289,1056,0,0,0,0,0
1,90,3.316,12,71055,31,-6,-5,8880,0,0,0,0,0,1,43,-1289,1056,0,0,0,0,0
1,90,3.371,13,71111,31,-6,-5,8880,0,0,0,0,0,1,43,-1289,1056,0,0,0,0,0
1,90,3.426,14,71167,31,-6,-5,8880,0,0,0,0,0,1,43,-1289,1056,0,0,0,0,0
1,90,3.488,15,71223,31,-6,-5,8880,0,0,0,0,0,1,43,-1289,1056,0,0,0,0,0
1,90,3.545,16,71279,31,-6,-5,8880,0,0,0,0,0,1,43,-1289,1056,0,0,0,0,0
1,90,3.597,17,71335,31,-6,-5,8880,0,0,0,0,0,1,43,-1289,1056,0,0,0,0,0
1,90,3.651,18,71391,31,-6,-5,8880,0,0,0,0,0,1,43,-1289,1056,0,0,0,0,0
1,90,3.707,19,71447,31,-6,-5,8880,0,0,0,0,0,1,43,-1289,1056,0,0,0,0,0
1,90,3.764,20,71503,31,-6,-5,8880,0,0,0,0,0,1,43,-1289,1056,0,0,0,0,0
1,90,3.82,21,71559,31,-6,-5,8880,0,0,0,0,0,1,43,-1289,1056,0,0,0,0,0
1,90,3.876,22,71615,31,-6,-5,8880,0,0,0,0,0,1,43,-1289,1056,0,0,0,0,0
1,90,3.937,23,71671,31,-6,-5,8880,0,0,0,0,0,1,43,-1289,1056,0,0,0,0,0
1,90,3.998,24,71727,31,-6,-5,8880,0,0,0,0,0,1,43,-1289,1056,0,0,0,0,0
1,90,4.05,25,71783,31,-6,-5,8880,0,0,0,0,0,1,43,-1289,1056,0,0,0,0,0
1,90,4.105,26,71839,31,-6,-5,8880,0,0,0,0,0,1,43,-1289,1056,0,0,0,0,0
1,90,4.158,27,71895,31,-6,-5,8880,0,0,0,0,0,1,43,-1289,1056,0,0,0,0,0
1,90,4.212,28,71951,31,-6,-5,8880,0,0,0,0,0,1,43,-1289,1056,0,0,0,0,0
1,90,4.268,29,72007,31,-6,-5,8880,0,0,0,0,0,1,43,-1289,1056,0,0,0,0,0
1,90,4.322,30,72063,31,-6,-5,8880,0,0,0,0,0,1,43,-1289,1056,0,0,0,0,0
1,90,4.38,31,72119,31,-6,-5,8880,0,0,0,0,0,1,43,-1289,1056,0,0,0,0,0
1,90,4.435,32,72175,31,-6,-5,8880,0,0,0,0,0,1,43,-1289,1056,0,0,0,0,0
1,90,4.492,33,72231,31,-6,-5,8880,0,0,0,0,0,1,43,-1289,1056,0,0,0,0,0
1,90,4.551,34,72287,31,-6,-5,8880,0,0,0,0,0,1,43,-1289,1056,0,0,0,0,0
1,90,4.602,35,72343,31,-6,-5,8880,0,0,0,0,0,1,43,-1289,1056,0,0,0,0,0
1,90,4.659,36,72399,31,-6,-5,8880,0,0,0,0,0,1,43,-1289,1056,0,0,0,0,0
1,90,4.718,37,72455,31,-6,-5,8880,0,0,0,0,0,1,43,-1289,1056,0,0,0,0,0
1,90,4.774,38,72511,31,-6,-5,8880,0,0,0,0,0,1,43,-1289,1056,0,0,0,0,0
1,90,4.827,39,72567,31,-6,-5,8880,0,0,0,0,0,1,43,-1289,1056,0,0,0,0,0
1,90,4.882,40,72623,31,-6,-5,8880,0,0,0,0,0,1,43,-1289,1056,0,0,0,0,0
1,90,4.939,41,72679,31,-6,-5,8880,0,0,0,0,0,1,43,-1289,1056,0,0,0,0,0
1,90,4.996,42,72735,31,-6,-5,8880,0,0,0,0,0,1,43,-1289,1056,0,0,0,0,0
1,90,5.05,43,72791,31,-6,-5,8880,0,0,0,0,0,1,43,-1289,1056,0,0,0,0,0
1,90,5.113,44,72847,31,-6,-5,8880,0,0,0,0,0,1,43,-1289,1056,0,0,0,0,0
1,90,5.196,45,72903,31,-6,-5,8880,0,0,0,0,0,1,43,-1289,1056,0,0,0,0,0
1,90,5.219,46,72959,31,-6,-5,8880,0,0,0,0,0,1,43,-1289,1056,0,0,0,0,0
1,90,5.275,47,73015,31,-6,-5,8880,0,0,0,0,0,1,43,-1289,1056,0,0,0,0,0
1,90,5.333,48,73071,31,-6,-5,8880,0,0,0,0,0,1,43,-1289,1056,0,0,0,0,0
1,90,5.387,49,73127,31,-6,-5,8880,0,0,0,0,0,1,43,-1289,1056,0,0,0,0,0
1,90,5.442,50,73183,31,-6,-5,8880,0,0,0,0,0,1,43,-1289,1056,0,0,0,0,0
1,90,5.499,51,73239,31,-6,-5,8880,0,0,0,0,0,1,43,-1289,1056,0,0,0,0,0
1,90,5.555,52,73295,31,-6,-5,8880,0,0,0,0,0,1,43,-1289,1056,0,0,0,0,0
1,90,5.61,53,73351,31,-6,-5,8880,0,0,0,0,0,1,43,-1289,1056,0,0,0,0,0
1,90,5.666,54,73407,31,-6,-5,8880,0,0,0,0,0,1,43,-1289,1056,0,0,0,0,0
1,90,5.723,55,73463,31,-6,-5,8880,0,0,0,0,0,1,43,-1289,1056,0,0,0,0,0
1,90,5.781,56,73519,31,-6,-5,8880,0,0,0,0,0,1,43,-1289,1056,0,0,0,0,0
1,90,5.835,57,73575,31,-6,-5,8880,0,0,0,0,0,1,43,-1289,1056,0,0,0,0,0
1,90,5.893,58,73631,31,-6,-5,8880,0,0,0,0,0,1,43,-1289,1056,0,0,0,0,0
1,90,5.948,59,73687,31,-6,-5,8880,0,0,0,0,0,1,43,-1289,1056,0,0,0,0,0
1,90,6.002,60,73743,31,-6,-5,8880,0,0,0,0,0,1,43,-1289,1056,0,0,0,0,0
1,90,6.059,61,73799,31,-6,-5,8880,0,0,0,0,0,1,43,-1289,1056,0,0,0,0,0
1,90,6.114,62,73855,31,-6,-5,8880,0,0,0,0,0,1,43,-1289,1056,0,0,0,0,0
2,-90,-0.025,33,79399,31,-6,-5,8880,0,0,0,0,0,1,43,-1289,1056,0,0,0,0,0
2,-90,0.043,34,79467,31,-6,-5,8880,0,0,0,0,0,1,44,-1289,1056,800,-800,0,0,0
2,-90,0.115,35,79539,31,-6,-5,8680,0,0,0,56,-46,2,47,-1261,1031,1100,-1100,0,0,0
2,-90,0.196,36,79611,31,-6,-5,8460,0,0,0,36,-26,2,50,-1228,1006,1300,-1300,0,0,0
2,-90,0.261,37,79683,31,-6,-4,8089,0,0,0,72,-46,2,53,-1172,964,1600,-1700,0,0,0
2,-90,0.33,38,79755,31,-6,-4,7544,0,0,0,82,-98,2,56,-1100,892,2100,-2100,0,0,0
2,-90,0.406,39,79827,31,-6,-4,6763,0,0,0,128,-128,2,59,-994,792,2500,-2400,0,0,0
2,-90,0.475,40,79899,31,-6,-4,5764,0,0,0,164,-147,2,62,-861,661,2700,-2600,0,0,0
2,-90,0.547,41,79971,31,-6,-4,4609,0,0,0,164,-174,2,65,-711,506,2600,-2700,0,0,0
2,-90,0.619,42,80043,31,-6,-4,3461,0,0,0,174,-164,2,68,-558,356,2600,-2700,0,0,0
2,-90,0.69,43,80115,31,-7,-4,2276,0,0,0,170,-180,2,71,-406,195,2600,-2600,0,0,0
2,-90,0.764,44,80187,31,-7,-4,1098,0,0,0,164,-170,2,74,-256,34,2200,-2100,0,0,0
