turn,commanded,cruise,id,reason,camera_deg,error_deg,unwrapped_deg,cam_samples,encoder_deg,encoder_error_deg,x0,y0,x1,y1,drift_cm,peak_vl,peak_vr,duration_s,frames,ready_before
1,90,0,4,stop,90.5,0.5,92.63,19,88.8,-1.2,40.02,-25.17,40.65,-25.94,0.99,183,154,0.66,106,0
2,-90,0,5,stop,-90.68,-0.68,-89.89,19,-90.28,-0.28,40.62,-25.94,40.36,-26.14,0.33,174,180,0.65,104,1
3,107,0,6,stop,104.55,-2.45,102.71,16,105.01,-1.99,40.35,-26.15,41.02,-26.87,0.98,190,164,0.83,109,1
4,-107,0,7,stop,-110.89,-3.89,-114.17,18,-108.79,-1.79,41.01,-26.85,40.79,-27.15,0.38,164,183,0.8,125,1
5,180,0,8,stop,178.07,-1.93,180.79,20,178.09,-1.91,40.79,-27.16,41.4,-27.64,0.78,190,174,1.29,115,1
6,-180,0,9,stop,-179.24,0.76,-181.86,22,-177.87,2.13,41.45,-27.64,41.48,-27.8,0.17,164,173,1.28,103,1
7,-90,0,10,stop,-91.04,-1.04,-92.52,18,-88.57,1.43,41.51,-27.79,41.37,-27.77,0.14,164,174,0.65,102,1
8,90,0,11,stop,94.76,4.76,97.32,20,90.69,0.69,41.38,-27.75,40.64,-28.02,0.78,183,164,0.72,99,1
9,-107,0,12,stop,-108.72,-1.72,-107.64,17,-105.61,1.39,40.65,-28.03,40.62,-27.95,0.09,174,200,0.79,130,1
10,107,0,13,stop,111.37,4.37,112.05,17,107.36,0.36,40.64,-27.95,39.83,-27.91,0.81,183,164,0.79,104,1
11,-180,0,14,stop,-178.84,1.16,-180.01,21,-178.06,1.94,39.83,-27.91,39.95,-27.8,0.15,164,183,1.3,134,1
13,90,0,16,stop,88.53,-1.47,89.04,16,88.69,-1.31,39.18,-26.74,39.42,-27.2,0.52,180,154,0.67,131,1
14,-90,0,17,stop,-96.49,-6.49,-92.7,19,-91.72,-1.72,39.42,-27.18,39.37,-27.48,0.3,174,183,0.65,130,1
15,107,0,18,stop,107.68,0.68,110.6,15,105.69,-1.31,39.38,-27.48,39.57,-27.89,0.46,180,164,0.78,102,1
16,-107,0,19,stop,-112.11,-5.11,-111.17,16,-107.62,-0.62,39.55,-27.91,39.59,-28.27,0.36,174,184,0.72,109,1
17,180,0,20,stop,179.71,-0.29,178.19,20,177.68,-2.32,39.59,-28.25,39.88,-28.38,0.32,183,180,1.3,111,1
18,-180,0,21,stop,-180.02,-0.02,-180.03,18,-177.12,2.88,39.89,-28.4,40.12,-28.95,0.6,180,193,1.23,109,1
19,-90,0,22,stop,-88.57,1.43,-90.5,16,-88.16,1.84,40.1,-28.95,40.04,-28.74,0.23,170,183,0.65,123,1
20,90,0,23,stop,88.52,-1.48,88.13,17,89.94,-0.06,40.04,-28.74,39.15,-29.25,1.03,193,164,0.72,118,1
21,-107,0,24,stop,-103.22,3.78,-105.05,17,-104.7,2.3,39.16,-29.26,39.13,-29.02,0.24,183,180,0.76,124,1
22,107,0,25,stop,108.61,1.61,108.97,16,106.48,-0.52,39.14,-29.03,38.04,-29.1,1.1,190,164,0.78,110,1
23,-180,0,26,stop,-179.81,0.19,-181.67,18,-178.81,1.19,38.05,-29.08,38.2,-28.71,0.4,164,173,1.29,127,1
24,180,0,27,stop,180.81,0.81,180.01,20,179.76,-0.24,38.22,-28.71,37.36,-27.94,1.16,183,174,1.3,120,1
