turn,commanded,cruise,id,reason,camera_deg,error_deg,unwrapped_deg,cam_samples,encoder_deg,encoder_error_deg,x0,y0,x1,y1,drift_cm,peak_vl,peak_vr,duration_s,frames,ready_before
1,90,188,5,stop,90.63,0.63,88.42,21,,,27.44,7.9,27.68,7.16,0.78,,,0.0,0,1
2,-90,188,6,stop,-87.92,2.08,-88.96,21,,,27.66,7.15,26.78,7.99,1.21,,,0.0,0,1
3,180,188,7,stop,180.28,0.28,180.33,23,,,26.77,8.0,27.39,7.86,0.63,,,0.0,0,1
4,-180,188,8,stop,-180.63,-0.63,-181.17,23,,,27.4,7.85,26.13,7.6,1.29,,,0.0,0,1
5,-90,188,9,stop,-89.22,0.78,-89.48,22,,,26.13,7.62,26.88,8.42,1.1,,,0.0,0,1
6,90,188,10,stop,88.12,-1.88,89.29,18,,,26.87,8.42,26.32,8.03,0.68,,,0.0,0,1
7,-180,188,11,stop,-179.27,0.73,-180.23,23,,,26.32,8.03,27.45,8.44,1.2,,,0.0,0,1
8,180,188,12,stop,179.0,-1.0,178.15,24,,,27.44,8.46,26.7,8.23,0.78,,,0.0,0,1
9,90,188,13,stop,90.41,0.41,90.36,18,,,26.69,8.28,26.79,7.55,0.74,,,0.0,0,1
10,-90,188,14,stop,-87.22,2.78,-88.67,21,,,26.74,7.54,25.99,8.15,0.97,,,0.0,0,1
11,180,188,15,stop,179.18,-0.82,178.99,25,,,25.99,8.18,26.75,8.01,0.78,,,0.0,0,1
12,-180,188,16,stop,-178.54,1.46,-178.29,20,,,26.77,7.98,25.39,7.76,1.39,,,0.0,0,1
13,-90,188,17,stop,-90.09,-0.09,-89.85,21,,,25.4,7.77,26.34,8.56,1.23,,,0.0,0,1
14,90,188,18,stop,87.18,-2.82,87.56,21,,,26.34,8.55,25.83,8.07,0.7,,,0.0,0,1
15,-180,188,19,stop,-179.63,0.37,-181.06,24,,,25.83,8.04,27.02,8.41,1.24,,,0.0,0,1
16,180,188,20,stop,177.37,-2.63,178.57,25,,,27.03,8.43,26.67,8.49,0.36,,,0.0,0,1
