turn,commanded,t_rel,seq,now,flags,x,y,h,ox,oy,oh,vl,vr,i2cf,cyc,posl,posr,dutl,dutr,lexc,wrng,cycovr
1,90,-0.015,22,4745080,31,726,-562,167161,0,0,0,0,0,1131,12329,278701,370824,0,0,0,0,0
1,90,0.054,23,4745144,31,726,-562,167161,0,0,0,0,0,1131,12330,278701,370824,0,0,0,0,0
1,90,0.091,24,4745197,31,726,-562,167161,0,0,0,0,0,1132,12332,278701,370824,-300,600,0,0,0
1,90,0.142,25,4745251,31,725,-563,167240,0,0,0,0,29,1133,12334,278701,370844,-700,1000,0,0,0
1,90,0.209,26,4745317,31,724,-564,167435,0,0,0,0,75,1136,12337,278701,370894,-1100,1600,0,0,0
1,90,0.263,27,4745371,31,723,-566,167737,0,0,0,-39,108,1136,12339,278687,370957,-1600,2000,0,0,0
1,90,0.363,28,4745436,31,722,-567,168249,0,0,0,-65,154,1137,12342,278640,371041,-2300,2300,0,0,0
1,90,0.39,29,4745491,31,721,-570,169106,0,0,0,-118,154,1137,12344,278568,371188,-2600,2200,0,0,0
1,90,0.447,30,4745556,31,721,-571,170409,0,0,0,-173,219,1137,12347,278421,371374,-2900,2500,0,0,0
1,90,0.502,31,4745611,31,721,-572,171312,0,0,0,-183,209,1137,12349,278312,371496,-3000,2600,0,0,0
1,90,0.568,32,4745677,31,721,-572,172823,0,0,0,-199,219,1137,12352,278118,371688,-2400,1900,0,0,0
1,90,0.623,33,4745731,31,721,-571,173703,0,0,0,-183,190,1137,12354,278001,371796,-1900,1400,0,0,0
1,90,0.69,34,4745797,31,720,-571,174736,0,0,0,-147,127,1137,12357,277862,371921,-1200,900,0,0,0
1,90,0.746,35,4745852,31,720,-571,175244,0,0,0,-98,92,1137,12359,277799,371988,-800,600,0,0,0
1,90,0.83,36,4745940,31,720,-571,175757,0,0,0,0,0,1137,12364,277735,372055,0,0,0,0,0
1,90,0.89,37,4745991,31,720,-571,175757,0,0,0,0,0,1137,12364,277735,372055,0,0,0,0,0
1,90,0.933,38,4746043,31,720,-571,175757,0,0,0,0,0,1137,12364,277735,372055,0,0,0,0,0
1,90,0.989,39,4746099,31,720,-571,175757,0,0,0,0,0,1137,12364,277735,372055,0,0,0,0,0
