turn,commanded,t_rel,seq,now,flags,x,y,h,ox,oy,oh,vl,vr,i2cf,cyc,posl,posr,dutl,dutr,lexc,wrng,cycovr
1,90,-0.01,123,118383,31,403,374,4497,0,0,0,0,0,9,215,6455,7567,0,0,0,0,0
1,90,0.044,124,118443,31,403,374,4497,0,0,0,0,0,9,216,6455,7567,0,0,0,0,0
1,90,0.11,125,118509,31,403,375,4529,0,0,0,0,26,10,219,6455,7575,-600,600,0,0,0
1,90,0.164,126,118563,31,404,375,4630,0,0,0,0,46,12,221,6455,7600,-800,800,0,0,0
1,90,0.23,127,118629,31,405,376,4832,0,0,0,-20,56,13,224,6447,7642,-1400,1400,0,0,0
1,90,0.286,0,118683,31,406,377,5091,0,0,0,-36,75,13,226,6433,7692,-1900,1700,0,0,0
1,90,0.354,1,118749,31,407,379,5718,0,0,0,-72,128,13,229,6383,7797,-2700,2300,0,0,0
1,90,0.403,2,118803,31,408,380,6345,0,0,0,-108,164,13,231,6317,7886,-2900,2500,0,0,0
1,90,0.473,3,118868,31,408,381,7618,0,0,0,-194,200,13,234,6169,8053,-3300,2800,0,0,0
1,90,0.539,4,118923,31,408,381,8569,0,0,0,-184,207,13,236,6061,8180,-3200,2600,0,0,0
1,90,0.588,5,118989,31,408,382,10121,0,0,0,-200,200,13,239,5872,8375,-2500,1900,0,0,0
1,90,0.644,6,119043,31,408,382,11007,0,0,0,-174,174,13,241,5764,8486,-2000,1500,0,0,0
1,90,0.709,7,119109,31,408,381,12099,0,0,0,-138,118,13,244,5622,8614,-1400,900,0,0,0
1,90,0.763,8,119163,31,409,381,12637,0,0,0,-118,82,13,246,5547,8672,-1100,700,0,0,0
1,90,0.85,9,119228,31,409,380,13150,0,0,0,-72,53,13,249,5478,8730,-700,400,0,0,0
1,90,0.883,10,119283,31,409,380,13356,0,0,0,-36,30,13,251,5450,8753,-600,300,0,0,0
1,90,0.962,11,119349,31,409,380,13502,0,0,0,10,16,13,254,5433,8772,0,0,0,0,0
1,90,1.015,12,119412,31,409,380,13502,0,0,0,0,0,13,257,5433,8772,0,0,0,0,0
