turn,commanded,cruise,id,reason,camera_deg,error_deg,unwrapped_deg,cam_samples,encoder_deg,encoder_error_deg,x0,y0,x1,y1,drift_cm,peak_vl,peak_vr,duration_s,frames,ready_before
1,90,188,5,stop,89.44,-0.56,89.07,23,90.05,0.05,-8.75,-8.71,-8.56,-10.45,1.75,200,207,0.85,56,1
2,-90,188,6,stop,-87.6,2.4,-87.79,41,-89.53,0.47,-8.55,-10.45,-9.33,-8.8,1.82,201,210,0.89,77,1
3,180,188,7,stop,177.24,-2.76,177.11,43,180.19,0.19,-9.33,-8.79,-7.33,-9.67,2.18,230,226,1.44,83,1
4,-180,188,8,stop,-178.81,1.19,-178.42,51,-180.19,-0.19,-7.33,-9.68,-9.69,-9.13,2.42,210,217,1.49,90,1
5,-90,188,9,stop,-88.98,1.02,-89.38,35,-90.09,-0.09,-9.7,-9.1,-7.04,-7.97,2.89,236,246,0.84,73,1
6,90,188,10,stop,87.19,-2.81,87.99,43,90.21,0.21,-7.03,-7.97,-8.82,-8.29,1.82,190,200,0.91,79,1
7,-180,188,11,stop,-179.85,0.15,-177.55,42,-180.06,-0.06,-8.8,-8.32,-6.26,-9.1,2.66,220,226,1.44,80,1
8,180,188,12,stop,180.62,0.62,182.67,46,180.02,0.02,-6.28,-9.05,-7.92,-7.72,2.11,220,227,1.44,83,1
9,90,188,13,stop,88.35,-1.65,87.68,39,89.13,-0.87,-7.91,-7.74,-7.55,-9.24,1.54,200,210,0.72,77,1
10,-90,188,14,stop,-88.27,1.73,-88.37,37,-90.1,-0.1,-7.56,-9.24,-8.29,-7.61,1.78,210,220,0.96,81,1
11,180,188,15,stop,177.6,-2.4,177.68,37,180.15,0.15,-8.29,-7.61,-6.27,-8.44,2.18,210,217,1.45,87,1
12,-180,188,16,stop,-178.34,1.66,-178.01,40,-180.03,-0.03,-6.28,-8.45,-8.7,-7.88,2.5,220,220,1.44,83,1
13,-90,188,17,stop,-90.09,-0.09,-89.62,40,-90.33,-0.33,-8.69,-7.9,-6.59,-7.29,2.19,200,200,1.02,77,1
14,90,188,18,stop,88.06,-1.94,87.78,35,90.21,0.21,-6.59,-7.29,-8.32,-7.64,1.76,194,200,0.89,73,1
15,-180,188,19,stop,-178.14,1.86,-177.89,45,-179.94,0.06,-8.31,-7.67,-5.97,-8.36,2.44,220,226,1.74,91,1
16,180,188,20,stop,179.36,-0.64,179.76,41,179.94,-0.06,-5.97,-8.36,-7.62,-7.23,2.0,210,226,1.38,81,1
