t,x,y,heading,speed
1789763230.862004,-7.607010356795694,-7.283965863667342,-141.06525035443366,0.0
1789763231.0313349,-7.601246730783333,-7.2778237442009655,-141.08119668510423,0.0
1789763231.162872,-7.605275267678463,-7.273893222384386,-140.72800031336197,0.0
1789763231.29876,-7.630624100942276,-7.248093158494656,-141.05837868217404,0.0
1789763231.4290502,-7.6206418721124525,-7.257077274412465,-140.85179175388407,0.0
1789763231.662635,-7.642707065945562,-7.220350699488883,-141.36349106275816,0.0
1789763231.796628,-7.628622563011213,-7.23361526304695,-141.7698949915585,0.0
1789763231.947505,-7.624992948962364,-7.230623287798581,-141.09241676951024,0.0
1789763233.07055,-7.603622830475259,-7.2714195406863915,-140.61358718289745,0.0
1789763233.203989,-7.608589351625346,-7.2622582684642705,-140.78560124796576,0.0
1789763233.343476,-7.600258403448873,-7.26835774307919,-140.77590128328256,0.0
1789763233.479842,-7.597454676447102,-7.292053841318684,-140.8494312793457,0.0
1789763233.6092439,-7.631226746504829,-7.23862171527838,-141.23769477421462,0.0
1789763233.73767,-7.637178505701783,-7.252885295361954,-141.07067230205502,0.0
1789763233.8711622,-7.59804273206025,-7.276914702783474,-140.5748233978783,0.0
1789763234.0100942,-7.607725421672844,-7.279716431285605,-140.84583946549301,0.0
1789763234.085516,-7.591182809107119,-7.284772959489722,-140.86271960570954,0.0
1789763234.2468119,-7.619161985889732,-7.262649451722884,-140.7328304412615,0.0
1789763234.407458,-7.685690043217802,-7.0796656167888585,-143.46480247906197,0.0
1789763234.569994,-7.637995208320645,-7.2226843418168585,-141.3115842440371,0.0
1789763234.694189,-7.620320521802612,-7.251895872787259,-140.94860475636068,0.0
1789763234.8271732,-7.701468958689857,-7.063511470285118,-143.63695961186858,0.0
1789763234.964233,-7.638940223745024,-7.236196173749521,-141.20613870002865,0.0
1789763235.085958,-7.6202674012458065,-7.249124442999587,-140.95714616916305,0.0
1789763235.273707,-7.618046166522285,-7.246625255849477,-141.01272669659687,0.0
1789763235.344249,-7.611971064587852,-7.2359151201260214,-140.97504490981632,0.0
1789763235.422414,-7.659145474716697,-7.110979227608189,-143.38202878980593,0.0
1789763235.5020459,-7.630564759667632,-7.249999118647144,-141.13412202515659,0.0
1789763235.579426,-7.757186328071265,-7.257399987445017,-141.3037486518431,0.0
1789763235.647424,-7.8966583806752695,-7.413284779245258,-139.35793785332964,0.0
1789763235.726945,-8.26604178576246,-7.738349545553103,-128.1052823086946,0.0
1789763235.799027,-8.122004364291426,-8.484729863801068,-102.64150366676404,10.640421803492115
1789763235.88742,-8.027534635074064,-8.70413249354458,-88.33692855571735,0.0
1789763235.9600441,-7.768953928940787,-8.848374721266115,-74.31505703628031,0.0
1789763236.055107,-7.581650337842774,-8.757159709524437,-64.77460023122117,0.0
1789763236.1576,-7.6865740204287025,-8.841065611135768,-57.124977551039436,0.0
1789763236.270103,-7.44547177695326,-8.793910067126717,-53.29051904053249,0.0
1789763236.348222,-7.481346582365484,-8.819417047033635,-53.34197889338778,0.0
1789763236.414547,-7.440307527976154,-8.79247181313937,-53.2758894792187,0.0
1789763236.4918349,-7.447438496135712,-8.798062797665853,-53.3715348997366,0.0
1789763236.55707,-7.484667993282912,-8.821955077083704,-53.3211246300382,0.0
1789763236.636394,-7.47128062280502,-8.81592498549245,-53.20997645680633,0.0
1789763236.7979782,-7.439095834513068,-8.796802974554524,-53.3056464604675,0.0
1789763236.878804,-7.4398926166760635,-8.79282543983137,-53.277025952207424,0.0
1789763236.9730392,-7.475907085733853,-8.817481538398876,-53.268161003334136,0.0
1789763237.067234,-7.440374099972981,-8.794093962988864,-53.342662007130045,0.0
1789763237.133219,-7.438660871245561,-8.825532685117421,-53.28137513298615,0.0
