turn,commanded,t_rel,seq,now,flags,x,y,h,ox,oy,oh,vl,vr,i2cf,cyc,posl,posr,dutl,dutr,lexc,wrng,cycovr
1,90,-0.027,126,258640,31,400,356,4460,0,0,0,0,0,94,1112,6389,7492,0,0,0,0,0
1,90,0.046,127,258696,31,400,356,4460,0,0,0,0,0,94,1112,6389,7492,0,0,0,0,0
1,90,0.072,0,258747,31,400,356,4460,0,0,0,0,0,94,1114,6389,7492,-300,300,0,0,0
1,90,0.136,1,258813,31,400,357,4505,0,0,0,0,20,96,1117,6389,7503,-700,700,0,0,0
1,90,0.188,2,258867,31,401,357,4569,0,0,0,0,36,98,1119,6389,7519,-1000,1200,0,0,0
1,90,0.259,3,258933,31,402,359,4852,0,0,0,-26,82,99,1122,6378,7578,-1600,1800,0,0,0
1,90,0.315,4,258987,31,403,359,5212,0,0,0,-46,108,99,1124,6347,7636,-2200,2200,0,0,0
1,90,0.374,5,259053,31,404,361,6098,0,0,0,-108,164,99,1127,6261,7769,-2800,2500,0,0,0
1,90,0.433,6,259107,31,404,361,6899,0,0,0,-158,184,99,1129,6169,7875,-3000,2700,0,0,0
1,90,0.496,7,259172,31,404,362,8290,0,0,0,-194,207,99,1132,6005,8055,-3200,2800,0,0,0
1,90,0.548,8,259227,31,404,362,9345,0,0,0,-210,220,99,1134,5878,8189,-2900,2400,0,0,0
1,90,0.621,9,259293,31,404,363,10853,0,0,0,-194,200,99,1137,5694,8378,-2200,1600,0,0,0
1,90,0.671,10,259347,31,404,362,11682,0,0,0,-174,154,99,1139,5586,8475,-1600,1200,0,0,0
1,90,0.734,11,259413,31,405,361,12556,0,0,0,-108,82,99,1142,5467,8572,-1100,600,0,0,0
1,90,0.789,12,259467,31,405,361,12964,0,0,0,-72,66,99,1144,5411,8617,-800,500,0,0,0
1,90,0.873,13,259533,31,405,361,13344,0,0,0,-36,36,99,1147,5358,8658,0,0,0,0,0
1,90,0.906,14,259587,31,405,361,13389,0,0,0,0,0,99,1149,5350,8661,0,0,0,0,0
1,90,0.976,15,259643,31,405,361,13389,0,0,0,0,0,99,1151,5350,8661,0,0,0,0,0
1,90,1.026,16,259699,31,405,361,13389,0,0,0,0,0,99,1151,5350,8661,0,0,0,0,0
1,90,1.078,17,259755,31,405,361,13389,0,0,0,0,0,99,1151,5350,8661,0,0,0,0,0
1,90,1.131,18,259811,31,405,361,13389,0,0,0,0,0,99,1151,5350,8661,0,0,0,0,0
1,90,1.195,19,259867,31,405,361,13389,0,0,0,0,0,99,1151,5350,8661,0,0,0,0,0
1,90,1.249,20,259923,31,405,361,13389,0,0,0,0,0,99,1151,5350,8661,0,0,0,0,0
1,90,1.301,21,259979,31,405,361,13389,0,0,0,0,0,99,1151,5350,8661,0,0,0,0,0
1,90,1.358,22,260035,31,405,361,13389,0,0,0,0,0,99,1151,5350,8661,0,0,0,0,0
1,90,1.416,23,260091,31,405,361,13389,0,0,0,0,0,99,1151,5350,8661,0,0,0,0,0
1,90,1.471,24,260147,31,405,361,13389,0,0,0,0,0,99,1151,5350,8661,0,0,0,0,0
1,90,1.528,25,260203,31,405,361,13389,0,0,0,0,0,99,1151,5350,8661,0,0,0,0,0
1,90,1.58,26,260259,31,405,361,13389,0,0,0,0,0,99,1151,5350,8661,0,0,0,0,0
1,90,1.642,27,260315,31,405,361,13389,0,0,0,0,0,99,1151,5350,8661,0,0,0,0,0
1,90,1.698,28,260371,31,405,361,13389,0,0,0,0,0,99,1151,5350,8661,0,0,0,0,0
1,90,1.749,29,260427,31,405,361,13389,0,0,0,0,0,99,1151,5350,8661,0,0,0,0,0
1,90,1.804,30,260483,31,405,361,13389,0,0,0,0,0,99,1151,5350,8661,0,0,0,0,0
1,90,1.86,31,260539,31,405,361,13389,0,0,0,0,0,99,1151,5350,8661,0,0,0,0,0
1,90,1.915,32,260595,31,405,361,13389,0,0,0,0,0,99,1151,5350,8661,0,0,0,0,0
1,90,1.973,33,260651,31,405,361,13389,0,0,0,0,0,99,1151,5350,8661,0,0,0,0,0
1,90,2.038,34,260707,31,405,361,13389,0,0,0,0,0,99,1151,5350,8661,0,0,0,0,0
1,90,2.087,35,260763,31,405,361,13389,0,0,0,0,0,99,1151,5350,8661,0,0,0,0,0
1,90,2.146,36,260819,31,405,361,13389,0,0,0,0,0,99,1151,5350,8661,0,0,0,0,0
1,90,2.195,37,260875,31,405,361,13389,0,0,0,0,0,99,1151,5350,8661,0,0,0,0,0
