turn,commanded,cruise,id,reason,camera_deg,error_deg,unwrapped_deg,cam_samples,encoder_deg,encoder_error_deg,x0,y0,x1,y1,drift_cm,peak_vl,peak_vr,duration_s,frames,ready_before
1,90,188,6,stop,88.36,-1.64,87.6,35,89.29,-0.71,-7.64,-7.21,-7.46,-8.81,1.61,210,220,0.74,71,1
2,-90,188,7,stop,-89.2,0.8,-88.36,40,-89.97,0.03,-7.45,-8.8,-8.23,-7.24,1.74,210,210,0.84,79,1
3,180,188,8,stop,178.84,-1.16,178.41,46,179.94,-0.06,-8.23,-7.27,-6.25,-8.19,2.19,230,247,1.32,87,1
4,-180,188,9,stop,-178.12,1.88,-178.6,42,-180.19,-0.19,-6.23,-8.22,-8.65,-7.61,2.49,220,236,1.44,79,1
5,-90,188,10,stop,-89.08,0.92,-89.35,38,-89.49,0.51,-8.64,-7.6,-6.73,-6.96,2.01,210,210,0.72,77,1
6,90,188,11,stop,88.79,-1.21,89.55,37,89.74,-0.26,-6.71,-6.94,-8.43,-7.18,1.74,194,210,0.77,76,1
7,-180,188,12,stop,-180.74,-0.74,-181.24,44,-180.19,-0.19,-8.42,-7.23,-6.01,-7.87,2.49,226,217,1.6,83,1
8,180,188,13,stop,179.36,-0.64,179.21,43,180.19,0.19,-6.01,-7.86,-8.07,-6.8,2.32,204,220,1.38,83,1
9,90,188,14,stop,89.53,-0.47,87.51,36,90.29,0.29,-8.08,-6.81,-8.43,-8.83,2.05,236,230,0.74,77,1
10,-90,188,15,stop,-88.57,1.43,-86.03,32,-89.73,0.27,-8.46,-8.84,-9.05,-7.15,1.79,210,217,0.83,77,1
11,180,188,16,stop,179.76,-0.24,178.94,39,179.83,-0.17,-9.04,-7.17,-7.05,-8.17,2.23,230,236,1.44,80,1
12,-180,188,17,stop,-178.84,1.16,-178.78,44,-180.19,-0.19,-7.03,-8.17,-9.25,-7.47,2.32,220,210,1.48,86,1
13,-90,188,18,stop,-90.84,-0.84,-90.43,36,-89.61,0.39,-9.25,-7.47,-7.36,-6.7,2.04,200,200,0.72,73,1
14,90,188,19,stop,90.35,0.35,90.35,35,90.42,0.42,-7.37,-6.71,-9.22,-6.95,1.87,200,220,0.83,72,1
15,-180,188,20,stop,-180.12,-0.12,-179.32,39,-179.63,0.37,-9.21,-6.94,-6.82,-7.67,2.5,220,220,1.44,82,1
16,180,188,21,stop,179.71,-0.29,181.82,38,180.19,0.19,-6.83,-7.62,-8.48,-6.35,2.08,220,240,1.48,82,1
