turn,commanded,t_rel,seq,now,flags,x,y,h,ox,oy,oh,vl,vr,i2cf,cyc,posl,posr,dutl,dutr,lexc,wrng,cycovr
1,90,-0.042,66,4555971,31,748,-578,167057,0,0,0,0,0,1061,11576,278585,370682,0,0,0,0,0
1,90,0.012,67,4556027,31,748,-578,167057,0,0,0,0,0,1061,11576,278585,370682,0,0,0,0,0
1,90,0.062,68,4556081,31,748,-578,167057,0,0,0,0,0,1061,11578,278585,370682,0,400,0,0,0
1,90,0.117,69,4556135,31,748,-578,167057,0,0,0,0,0,1063,11580,278585,370682,-400,800,0,0,0
1,90,0.185,70,4556201,31,749,-578,167081,0,0,0,-10,0,1066,11583,278579,370682,-1100,1300,0,0,0
1,90,0.239,71,4556255,31,748,-579,167359,0,0,0,-36,23,1067,11585,278560,370732,-1700,1700,0,0,0
1,90,0.303,72,4556321,31,747,-581,167978,0,0,0,-65,118,1067,11588,278512,370838,-2300,1900,0,0,0
1,90,0.357,73,4556375,31,746,-582,168582,0,0,0,-111,147,1067,11590,278451,370927,-2500,2200,0,0,0
1,90,0.428,74,4556441,31,746,-583,169742,0,0,0,-144,190,1067,11593,278321,371085,-2800,2600,0,0,0
1,90,0.478,75,4556495,31,746,-584,170663,0,0,0,-173,199,1067,11595,278212,371205,-3100,2700,0,0,0
1,90,0.553,76,4556561,31,746,-584,172233,0,0,0,-199,245,1067,11598,278024,371407,-2800,2500,0,0,0
1,90,0.608,77,4556615,31,746,-584,173276,0,0,0,-200,209,1067,11600,277896,371538,-2300,1900,0,0,0
1,90,0.664,78,4556681,31,746,-584,174552,0,0,0,-154,147,1067,11603,277735,371694,-1600,1100,0,0,0
1,90,0.717,79,4556735,31,746,-584,175212,0,0,0,-127,118,1067,11605,277651,371774,-1100,800,0,0,0
1,90,0.866,80,4556864,31,746,-584,176194,0,0,0,0,0,1067,11612,277532,371899,0,0,0,0,0
1,90,0.899,81,4556915,31,746,-584,176194,0,0,0,0,0,1067,11612,277532,371899,0,0,0,0,0
1,90,0.957,82,4556971,31,746,-584,176194,0,0,0,0,0,1067,11612,277532,371899,0,0,0,0,0
1,90,1.01,83,4557027,31,746,-584,176194,0,0,0,0,0,1067,11612,277532,371899,0,0,0,0,0
1,90,1.064,84,4557083,31,746,-584,176194,0,0,0,0,0,1067,11612,277532,371899,0,0,0,0,0
1,90,1.122,85,4557139,31,746,-584,176194,0,0,0,0,0,1067,11612,277532,371899,0,0,0,0,0
1,90,1.177,86,4557195,31,746,-584,176194,0,0,0,0,0,1067,11612,277532,371899,0,0,0,0,0
1,90,1.232,87,4557251,31,746,-584,176194,0,0,0,0,0,1067,11612,277532,371899,0,0,0,0,0
1,90,1.289,88,4557307,31,746,-584,176194,0,0,0,0,0,1067,11612,277532,371899,0,0,0,0,0
1,90,1.345,89,4557363,31,746,-584,176194,0,0,0,0,0,1067,11612,277532,371899,0,0,0,0,0
1,90,1.402,90,4557419,31,746,-584,176194,0,0,0,0,0,1067,11612,277532,371899,0,0,0,0,0
1,90,1.457,91,4557475,31,746,-584,176194,0,0,0,0,0,1067,11612,277532,371899,0,0,0,0,0
1,90,1.513,92,4557531,31,746,-584,176194,0,0,0,0,0,1067,11612,277532,371899,0,0,0,0,0
1,90,1.57,93,4557587,31,746,-584,176194,0,0,0,0,0,1067,11612,277532,371899,0,0,0,0,0
1,90,1.632,94,4557643,31,746,-584,176194,0,0,0,0,0,1067,11612,277532,371899,0,0,0,0,0
1,90,1.683,95,4557699,31,746,-584,176194,0,0,0,0,0,1067,11612,277532,371899,0,0,0,0,0
1,90,1.745,96,4557755,31,746,-584,176194,0,0,0,0,0,1067,11612,277532,371899,0,0,0,0,0
1,90,1.791,97,4557811,31,746,-584,176194,0,0,0,0,0,1067,11612,277532,371899,0,0,0,0,0
1,90,1.854,98,4557867,31,746,-584,176194,0,0,0,0,0,1067,11612,277532,371899,0,0,0,0,0
1,90,1.913,99,4557923,31,746,-584,176194,0,0,0,0,0,1067,11612,277532,371899,0,0,0,0,0
1,90,1.961,100,4557975,31,746,-584,176194,0,0,0,0,0,1067,11612,277532,371899,0,0,0,0,0
1,90,2.014,101,4558031,31,746,-584,176194,0,0,0,0,0,1067,11612,277532,371899,0,0,0,0,0
1,90,2.069,102,4558087,31,746,-584,176194,0,0,0,0,0,1067,11612,277532,371899,0,0,0,0,0
1,90,2.125,103,4558143,31,746,-584,176194,0,0,0,0,0,1067,11612,277532,371899,0,0,0,0,0
1,90,2.186,104,4558199,31,746,-584,176194,0,0,0,0,0,1067,11612,277532,371899,0,0,0,0,0
1,90,2.239,105,4558255,31,746,-584,176194,0,0,0,0,0,1067,11612,277532,371899,0,0,0,0,0
1,90,2.293,106,4558311,31,746,-584,176194,0,0,0,0,0,1067,11612,277532,371899,0,0,0,0,0
1,90,2.355,107,4558367,31,746,-584,176194,0,0,0,0,0,1067,11612,277532,371899,0,0,0,0,0
1,90,2.407,108,4558423,31,746,-584,176194,0,0,0,0,0,1067,11612,277532,371899,0,0,0,0,0
1,90,2.473,109,4558479,31,746,-584,176194,0,0,0,0,0,1067,11612,277532,371899,0,0,0,0,0
1,90,2.518,110,4558535,31,746,-584,176194,0,0,0,0,0,1067,11612,277532,371899,0,0,0,0,0
1,90,2.572,111,4558591,31,746,-584,176194,0,0,0,0,0,1067,11612,277532,371899,0,0,0,0,0
1,90,2.63,112,4558647,31,746,-584,176194,0,0,0,0,0,1067,11612,277532,371899,0,0,0,0,0
1,90,2.718,113,4558703,31,746,-584,176194,0,0,0,0,0,1067,11612,277532,371899,0,0,0,0,0
1,90,2.741,114,4558759,31,746,-584,176194,0,0,0,0,0,1067,11612,277532,371899,0,0,0,0,0
1,90,2.813,115,4558815,31,746,-584,176194,0,0,0,0,0,1067,11612,277532,371899,0,0,0,0,0
1,90,2.868,116,4558871,31,746,-584,176194,0,0,0,0,0,1067,11612,277532,371899,0,0,0,0,0
1,90,2.91,117,4558927,31,746,-584,176194,0,0,0,0,0,1067,11612,277532,371899,0,0,0,0,0
1,90,3.037,118,4558983,31,746,-584,176194,0,0,0,0,0,1067,11612,277532,371899,0,0,0,0,0
1,90,3.037,119,4559035,31,746,-584,176194,0,0,0,0,0,1067,11612,277532,371899,0,0,0,0,0
1,90,3.072,120,4559091,31,746,-584,176194,0,0,0,0,0,1067,11612,277532,371899,0,0,0,0,0
