turn,commanded,cruise,id,reason,camera_deg,error_deg,unwrapped_deg,cam_samples,encoder_deg,encoder_error_deg,x0,y0,x1,y1,drift_cm,peak_vl,peak_vr,duration_s,frames,ready_before
1,90,188,11,stop,96.49,6.49,95.54,23,91.37,1.37,7.06,11.95,6.41,12.79,1.06,200,245,0.53,68,1
2,-90,188,12,stop,-92.91,-2.91,-92.92,33,-90.89,-0.89,6.41,12.82,7.77,12.32,1.45,203,227,0.6,69,1
3,180,188,13,stop,181.32,1.32,181.1,37,180.81,0.81,7.8,12.32,7.26,12.67,0.65,219,225,1.13,81,1
4,-180,188,14,stop,-179.2,0.8,-178.96,39,-180.61,-0.61,7.25,12.68,8.68,13.84,1.84,219,219,1.2,117,1
5,-90,188,15,stop,-92.44,-2.44,-91.5,29,-90.57,-0.57,8.72,13.83,8.15,12.56,1.39,193,219,0.59,75,1
6,90,188,16,stop,91.9,1.9,92.12,25,90.69,0.69,8.14,12.55,8.93,13.06,0.94,216,229,0.59,97,1
7,-180,188,17,stop,-181.29,-1.29,-180.2,36,-179.77,0.23,8.92,13.06,7.6,11.96,1.72,216,235,1.2,90,1
8,180,188,18,stop,180.15,0.15,180.09,36,179.97,-0.03,7.6,11.96,8.06,12.0,0.46,209,219,1.2,83,1
9,90,188,19,stop,91.71,1.71,91.56,29,90.49,0.49,8.02,12.02,7.53,12.87,0.98,202,219,0.6,80,1
10,-90,188,20,stop,-92.42,-2.42,-93.2,26,-90.77,-0.77,7.54,12.89,8.84,12.1,1.53,199,227,0.59,77,1
11,180,188,21,stop,180.79,0.79,180.34,37,179.57,-0.43,8.82,12.12,8.17,12.15,0.65,235,235,1.26,82,1
12,-180,188,22,stop,-180.09,-0.09,-179.18,36,-179.57,0.43,8.17,12.15,9.73,12.98,1.77,216,239,1.26,83,1
13,-90,188,23,stop,-91.68,-1.68,-91.68,28,-90.57,-0.57,9.72,12.99,8.88,11.58,1.65,199,227,0.62,69,1
14,90,188,24,stop,93.54,3.54,92.26,35,91.22,1.22,8.89,11.59,9.67,12.08,0.92,209,219,0.65,75,1
15,-180,188,25,stop,-181.63,-1.63,-181.51,31,-180.01,-0.01,9.71,12.05,8.36,10.79,1.84,216,219,1.13,106,1
16,180,188,26,stop,178.47,-1.53,178.98,36,179.68,-0.32,8.42,10.77,9.04,10.88,0.63,209,245,1.2,122,1
