turn,commanded,cruise,id,reason,camera_deg,error_deg,unwrapped_deg,cam_samples,encoder_deg,encoder_error_deg,x0,y0,x1,y1,drift_cm,peak_vl,peak_vr,duration_s,frames,ready_before
1,90,0,7,stop,89.2,-0.8,89.74,51,,,-12.47,-11.95,-12.83,-12.27,0.48,,,0.0,0,1
2,-90,0,8,stop,-87.65,2.35,-86.95,20,,,-12.83,-12.27,-12.9,-12.12,0.16,,,0.0,0,1
3,107,0,9,stop,104.66,-2.34,104.51,27,,,-12.9,-12.12,-13.07,-12.45,0.36,,,0.0,0,1
4,-107,0,10,stop,-99.69,7.31,-98.19,42,,,-13.07,-12.44,-13.16,-12.23,0.23,,,0.0,0,1
5,180,0,11,stop,182.04,2.04,180.78,39,,,-13.15,-12.23,-13.33,-12.57,0.38,,,0.0,0,1
6,-180,0,12,stop,-181.6,-1.6,-181.85,64,,,-13.33,-12.57,-13.52,-12.31,0.32,,,0.0,0,
7,-90,0,13,stop,-92.12,-2.12,-91.93,30,,,-13.52,-12.31,-13.48,-12.12,0.2,,,0.0,0,1
8,90,0,14,stop,90.49,0.49,90.05,44,,,-13.47,-12.09,-13.4,-12.28,0.19,,,0.0,0,1
9,-107,0,15,,-108.39,-1.39,-108.42,120,,,-13.4,-12.26,-13.29,-12.08,0.21,,,0.0,0,
12,180,0,2,stop,181.87,1.87,0.0,0,,,-13.32,-12.2,-13.32,-12.19,0.01,,,0.0,0,
