turn,commanded,cruise,id,reason,camera_deg,error_deg,unwrapped_deg,cam_samples,encoder_deg,encoder_error_deg,x0,y0,x1,y1,drift_cm,peak_vl,peak_vr,duration_s,frames,ready_before
1,90,0,5,stop,89.96,-0.04,92.13,29,,,-14.28,-4.3,-14.4,-4.18,0.17,,,0.0,0,1
2,-90,0,6,stop,-91.14,-1.14,-90.72,32,,,-14.41,-4.18,-14.28,-4.1,0.16,,,0.0,0,1
3,107,0,7,stop,107.89,0.89,105.89,45,,,-14.27,-4.09,-14.5,-3.88,0.31,,,0.0,0,1
4,-107,0,8,stop,-108.6,-1.6,-109.73,45,,,-14.48,-3.88,-14.28,-3.86,0.2,,,0.0,0,1
6,-180,0,10,stop,-181.66,-1.66,-181.9,43,,,-14.46,-3.76,-14.55,-3.69,0.11,,,0.0,0,1
7,-90,0,11,stop,-90.84,-0.84,-90.96,31,,,-14.54,-3.71,-14.19,-4.0,0.45,,,0.0,0,1
8,90,0,12,stop,88.9,-1.1,88.56,58,,,-14.2,-4.01,-14.3,-3.37,0.65,,,0.0,0,
10,107,0,14,stop,105.89,-1.11,106.11,41,,,-13.87,-3.72,-13.87,-3.03,0.69,,,0.0,0,1
11,-180,0,15,stop,-180.23,-0.23,-181.2,34,,,-13.88,-3.03,-13.47,-3.23,0.46,,,0.0,0,1
12,180,0,16,stop,179.87,-0.13,179.72,42,,,-13.46,-3.24,-13.32,-3.05,0.24,,,0.0,0,1
13,90,0,17,stop,92.28,2.28,90.68,44,,,-13.34,-3.06,-13.67,-2.78,0.44,,,0.0,0,
14,-90,0,18,stop,-91.76,-1.76,-90.58,44,,,-13.67,-2.8,-13.18,-2.74,0.5,,,0.0,0,1
15,107,0,19,stop,107.41,0.41,106.58,79,,,-13.19,-2.75,-13.59,-2.46,0.48,,,0.0,0,1
16,-107,0,20,stop,-108.46,-1.46,-106.96,50,,,-13.59,-2.46,-13.35,-2.27,0.3,,,0.0,0,1
17,180,0,21,stop,181.37,1.37,181.27,48,,,-13.32,-2.25,-13.62,-2.09,0.34,,,0.0,0,1
18,-180,0,22,stop,-181.67,-1.67,-180.6,32,,,-13.62,-2.09,-13.76,-1.99,0.17,,,0.0,0,1
19,-90,0,23,stop,-90.45,-0.45,-90.67,38,,,-13.77,-2.02,-13.41,-2.32,0.47,,,0.0,0,1
20,90,0,24,stop,88.48,-1.52,88.56,28,,,-13.42,-2.3,-13.48,-1.59,0.71,,,0.0,0,1
21,-107,0,25,stop,-105.98,1.02,-105.95,37,,,-13.45,-1.58,-13.06,-1.94,0.53,,,0.0,0,1
22,107,0,26,stop,105.9,-1.1,105.95,55,,,-13.06,-1.92,-12.96,-1.31,0.62,,,0.0,0,1
23,-180,0,27,stop,-180.67,-0.67,-182.26,36,,,-12.96,-1.31,-12.15,-1.75,0.92,,,0.0,0,1
24,180,0,28,stop,181.85,1.85,181.54,37,,,-12.13,-1.74,-12.04,-1.65,0.13,,,0.0,0,1
