turn,commanded,t_rel,seq,now,flags,x,y,h,ox,oy,oh,vl,vr,i2cf,cyc,posl,posr,dutl,dutr,lexc,wrng,cycovr
1,90,0.049,0,487543,31,-44,-59,37292,42,-169,2443,0,0,99,881,-7050,4997,0,0,0,0,0
1,90,0.049,1,487599,31,-44,-59,37292,42,-169,2443,0,0,99,881,-7050,4997,0,0,0,0,0
1,90,0.113,2,487676,31,-44,-59,37292,42,-169,2443,0,0,99,882,-7050,4997,0,0,0,0,0
1,90,0.283,3,487747,31,-44,-59,37308,42,-169,2443,-6,9,100,885,-7052,5000,-800,700,0,0,0
1,90,0.283,4,487819,31,-45,-59,37465,42,-169,2443,-23,26,101,888,-7083,5020,-1300,1300,0,0,0
1,90,0.347,5,487891,31,-45,-59,37673,41,-169,2475,-50,26,101,891,-7125,5045,-1700,1700,0,0,0
1,90,0.392,6,487963,31,-45,-59,38075,42,-173,2948,-82,82,101,894,-7191,5109,-1900,1800,0,0,0
1,90,0.463,7,488035,31,-45,-59,38583,42,-173,2948,-82,82,101,897,-7275,5189,-1800,1800,0,0,0
1,90,0.534,8,488107,31,-45,-59,39121,46,-178,3755,-73,88,101,900,-7363,5275,-1800,1800,0,0,0
1,90,0.633,9,488179,31,-46,-59,39663,50,-182,4600,-88,79,101,903,-7452,5361,-1800,1800,0,0,0
1,90,0.68,10,488251,31,-45,-59,40180,50,-182,4600,-73,88,101,906,-7533,5447,-1700,1700,0,0,0
1,90,0.745,11,488323,31,-46,-59,40697,55,-186,5413,-82,82,101,909,-7619,5528,-1700,1700,0,0,0
1,90,0.817,12,488395,31,-46,-59,41180,60,-189,6208,-82,82,101,912,-7697,5606,-1600,1700,0,0,0
1,90,0.946,13,488468,31,-46,-60,41688,60,-189,6208,-91,67,101,915,-7783,5684,-1600,1600,0,0,0
1,90,0.964,14,488539,31,-46,-60,42183,65,-191,6996,-79,73,101,918,-7863,5764,-1600,1600,0,0,0
1,90,1.037,15,488611,31,-46,-60,42666,71,-193,7777,-90,55,101,921,-7944,5839,-1600,1600,0,0,0
1,90,1.154,16,488683,31,-46,-60,43149,71,-193,7777,-73,91,101,924,-8019,5920,-1500,1600,0,0,0
1,90,1.226,17,488756,31,-46,-60,43638,77,-194,8575,-68,70,101,927,-8102,5995,-1400,1500,0,0,0
1,90,1.281,18,488827,31,-46,-60,44108,77,-194,8575,-73,73,101,930,-8177,6072,-1400,1500,0,0,0
1,90,1.349,19,488899,31,-46,-60,44582,83,-194,9391,-64,82,101,933,-8252,6150,-1400,1500,0,0,0
1,90,1.406,20,488971,31,-46,-60,45056,88,-193,10110,-73,73,101,936,-8327,6228,-1400,1400,0,0,0
1,90,1.494,21,489043,31,-46,-60,45433,88,-193,10110,-47,55,101,939,-8388,6289,-900,1000,0,0,0
1,90,1.556,22,489115,31,-46,-59,45703,94,-192,10722,-32,50,101,942,-8430,6334,-800,800,0,0,0
1,90,1.644,23,489187,31,-46,-60,45882,97,-191,11035,-32,26,101,945,-8463,6359,-700,800,0,0,0
1,90,1.82,24,489259,31,-46,-60,46003,97,-191,11035,-23,18,101,948,-8483,6378,-600,700,0,0,0
1,90,1.82,25,489331,31,-46,-60,46062,98,-191,11186,-9,7,103,951,-8491,6389,-600,700,0,0,0
1,90,1.886,26,489444,31,-46,-60,46173,99,-191,11288,0,0,104,957,-8513,6403,0,0,0,0,0
1,90,1.955,27,489496,31,-46,-60,46173,99,-191,11288,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,2.09,28,489551,31,-46,-60,46173,100,-190,11365,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,2.09,29,489607,31,-46,-60,46173,100,-190,11365,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,2.151,30,489663,31,-46,-60,46173,100,-190,11365,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,2.159,31,489719,31,-46,-60,46173,100,-190,11365,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,2.306,32,489775,31,-46,-60,46173,100,-190,11365,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,2.392,33,489831,31,-46,-60,46173,100,-190,11365,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,2.392,34,489887,31,-46,-60,46173,100,-190,11365,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,2.412,35,489943,31,-46,-60,46173,100,-190,11365,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,2.532,36,489995,31,-46,-60,46173,100,-190,11365,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,2.532,37,490051,31,-46,-60,46173,100,-190,11365,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,2.558,38,490107,31,-46,-60,46173,100,-190,11365,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,2.608,39,490163,31,-46,-60,46173,100,-190,11365,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,2.682,40,490219,31,-46,-60,46173,100,-190,11365,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,2.709,41,490275,31,-46,-60,46173,100,-190,11365,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,2.775,42,490331,31,-46,-60,46173,100,-190,11365,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,2.811,43,490387,31,-46,-60,46173,100,-190,11365,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,2.871,44,490443,31,-46,-60,46173,100,-190,11364,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,2.923,45,490499,31,-46,-60,46173,100,-190,11364,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,2.981,46,490555,31,-46,-60,46173,100,-190,11365,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,3.043,47,490611,31,-46,-60,46173,100,-190,11365,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,3.096,48,490667,31,-46,-60,46173,100,-190,11364,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,3.156,49,490723,31,-46,-60,46173,100,-190,11364,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,3.21,50,490779,31,-46,-60,46173,100,-190,11364,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,3.265,51,490835,31,-46,-60,46173,100,-190,11364,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,3.329,52,490891,31,-46,-60,46173,100,-190,11364,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,3.403,53,490947,31,-46,-60,46173,100,-190,11364,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,3.443,54,491003,31,-46,-60,46173,100,-190,11364,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,3.481,55,491055,31,-46,-60,46173,100,-190,11364,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,3.535,56,491111,31,-46,-60,46173,100,-190,11364,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,3.596,57,491167,31,-46,-60,46173,100,-190,11364,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,3.655,58,491223,31,-46,-60,46173,100,-190,11364,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,3.707,59,491279,31,-46,-60,46173,100,-190,11364,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,3.771,60,491335,31,-46,-60,46173,100,-190,11364,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,3.817,61,491391,31,-46,-60,46173,100,-190,11364,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,3.881,62,491447,31,-46,-60,46173,100,-190,11364,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,3.929,63,491503,31,-46,-60,46173,100,-190,11364,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,4.008,64,491559,31,-46,-60,46173,100,-190,11364,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,4.039,65,491615,31,-46,-60,46173,100,-190,11364,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,4.093,66,491671,31,-46,-60,46173,100,-190,11364,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,4.171,67,491727,31,-46,-60,46173,100,-190,11364,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,4.218,68,491783,31,-46,-60,46173,100,-190,11364,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,4.282,69,491839,31,-46,-60,46173,100,-190,11364,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,4.34,70,491895,31,-46,-60,46173,100,-190,11364,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,4.414,71,491951,31,-46,-60,46173,100,-190,11364,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,4.448,72,492007,31,-46,-60,46173,100,-190,11364,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,4.508,73,492063,31,-46,-60,46173,100,-190,11364,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,4.546,74,492115,31,-46,-60,46173,100,-190,11364,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,4.622,75,492171,31,-46,-60,46173,100,-190,11364,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,4.67,76,492227,31,-46,-60,46173,100,-190,11364,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,4.711,77,492283,31,-46,-60,46173,100,-190,11364,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,4.768,78,492339,31,-46,-60,46173,100,-190,11364,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,4.831,79,492395,31,-46,-60,46173,100,-190,11364,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,4.887,80,492451,31,-46,-60,46173,100,-190,11364,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,4.937,81,492507,31,-46,-60,46173,100,-190,11364,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,5.012,82,492563,31,-46,-60,46173,100,-190,11364,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,5.065,83,492619,31,-46,-60,46173,100,-190,11364,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,5.106,84,492675,31,-46,-60,46173,100,-190,11364,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,5.158,85,492731,31,-46,-60,46173,100,-190,11364,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,5.215,86,492787,31,-46,-60,46173,100,-190,11364,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,5.265,87,492843,31,-46,-60,46173,100,-190,11364,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,5.32,88,492899,31,-46,-60,46173,100,-190,11364,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,5.415,89,492955,31,-46,-60,46173,100,-190,11364,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,5.44,90,493011,31,-46,-60,46173,100,-190,11364,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,5.496,91,493067,31,-46,-60,46173,100,-190,11364,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,5.564,92,493123,31,-46,-60,46173,100,-190,11364,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,5.603,93,493175,31,-46,-60,46173,100,-190,11364,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,5.675,94,493231,31,-46,-60,46173,100,-190,11363,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,5.716,95,493287,31,-46,-60,46173,100,-190,11363,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,5.769,96,493343,31,-46,-60,46173,100,-190,11364,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,5.825,97,493399,31,-46,-60,46173,100,-190,11364,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,5.874,98,493455,31,-46,-60,46173,100,-190,11364,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,5.954,99,493511,31,-46,-60,46173,100,-190,11364,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,5.988,100,493567,31,-46,-60,46173,100,-190,11364,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,6.047,101,493623,31,-46,-60,46173,100,-190,11364,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,6.103,102,493679,31,-46,-60,46173,100,-190,11363,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,6.158,103,493735,31,-46,-60,46173,100,-190,11363,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,6.219,104,493791,31,-46,-60,46173,100,-190,11363,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,6.27,105,493847,31,-46,-60,46173,100,-190,11363,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,6.333,106,493903,31,-46,-60,46173,100,-190,11363,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,6.381,107,493959,31,-46,-60,46173,100,-190,11363,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,6.444,108,494015,31,-46,-60,46173,100,-190,11363,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,6.497,109,494071,31,-46,-60,46173,100,-190,11363,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,6.565,110,494127,31,-46,-60,46173,100,-190,11363,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,6.619,111,494183,31,-46,-60,46173,100,-190,11363,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,6.67,112,494235,31,-46,-60,46173,100,-190,11363,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,6.743,113,494291,31,-46,-60,46173,100,-190,11363,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,6.783,114,494347,31,-46,-60,46173,100,-190,11363,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,6.829,115,494403,31,-46,-60,46173,100,-190,11363,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,6.881,116,494459,31,-46,-60,46173,100,-190,11363,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,6.942,117,494515,31,-46,-60,46173,100,-190,11363,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,6.996,118,494571,31,-46,-60,46173,100,-190,11363,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,7.06,119,494627,31,-46,-60,46173,100,-190,11363,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,7.104,120,494683,31,-46,-60,46173,100,-190,11363,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,7.161,121,494739,31,-46,-60,46173,100,-190,11363,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,7.215,122,494795,31,-46,-60,46173,100,-190,11363,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,7.273,123,494851,31,-46,-60,46173,100,-190,11363,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,7.33,124,494907,31,-46,-60,46173,100,-190,11363,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,7.392,125,494963,31,-46,-60,46173,100,-190,11363,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,7.44,126,495019,31,-46,-60,46173,100,-190,11363,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,7.512,127,495075,31,-46,-60,46173,100,-190,11363,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,7.556,0,495131,31,-46,-60,46173,100,-190,11363,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,7.648,1,495187,31,-46,-60,46173,100,-190,11363,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,7.681,2,495243,31,-46,-60,46173,100,-190,11363,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,7.725,3,495295,31,-46,-60,46173,100,-190,11363,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,7.771,4,495351,31,-46,-60,46173,100,-190,11363,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,7.829,5,495407,31,-46,-60,46173,100,-190,11363,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,7.885,6,495463,31,-46,-60,46173,100,-190,11363,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,7.953,7,495519,31,-46,-60,46173,100,-190,11363,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,7.996,8,495575,31,-46,-60,46173,100,-190,11363,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,8.054,9,495631,31,-46,-60,46173,100,-190,11363,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,8.108,10,495687,31,-46,-60,46173,100,-190,11363,0,0,104,959,-8513,6403,0,0,0,0,0
1,90,8.163,11,495743,31,-46,-60,46173,100,-190,11363,0,0,104,959,-8513,6403,0,0,0,0,0
