turn,commanded,cruise,id,reason,camera_deg,error_deg,unwrapped_deg,cam_samples,encoder_deg,encoder_error_deg,x0,y0,x1,y1,drift_cm,peak_vl,peak_vr,duration_s,frames,ready_before
1,90,70,5,stop,86.71,-3.29,87.25,14,88.81,-1.19,-6.07,13.57,-2.91,11.53,3.76,91,91,1.54,256,1
2,-90,70,6,stop,-84.64,5.36,-83.03,16,-85.9,4.1,-2.92,11.53,-6.09,13.25,3.61,96,88,1.44,204,1
3,-90,70,7,stop,-83.85,6.15,-83.27,18,-82.43,7.57,-6.1,13.25,-4.43,16.4,3.57,88,82,1.28,197,1
4,90,70,8,stop,86.53,-3.47,86.07,16,88.62,-1.38,-4.43,16.4,-5.62,12.92,3.67,88,91,1.57,149,1
5,90,70,9,stop,87.03,-2.97,87.4,19,84.2,-5.8,-5.62,12.92,-2.16,11.41,3.77,96,99,1.29,177,1
6,-90,70,10,stop,-85.11,4.89,-85.33,18,-84.2,5.8,-2.17,11.41,-5.22,13.38,3.63,96,82,1.23,374,1
7,-90,70,11,stop,-83.07,6.93,-82.63,15,-82.0,8.0,-5.22,13.38,-3.58,16.82,3.81,91,91,1.16,226,1
8,90,70,12,stop,8.76,-81.24,9.16,14,8.3,-81.7,-3.58,16.81,-3.93,16.57,0.43,50,47,0.06,200,1
9,90,70,13,stop,82.98,-7.02,82.95,14,83.51,-6.49,-3.94,16.57,-4.34,13.06,3.54,91,96,1.33,182,1
10,-90,70,14,stop,-87.0,3.0,-87.02,19,-88.47,1.53,-4.33,13.05,-2.95,16.81,4.0,99,91,1.51,339,1
