turn,commanded,t_rel,seq,now,flags,x,y,h,ox,oy,oh,vl,vr,i2cf,cyc,posl,posr,dutl,dutr,lexc,wrng,cycovr
1,90,-0.038,78,733451,31,-20,-61,30336,76,-128,-4719,0,0,127,1549,-5591,4209,0,0,0,1,0
1,90,0.022,79,733507,31,-20,-61,30336,76,-128,-4719,0,0,127,1549,-5591,4209,0,0,0,1,0
1,90,0.082,80,733567,31,-20,-61,30336,76,-128,-4719,0,0,127,1551,-5591,4209,-300,300,0,1,0
1,90,0.146,81,733639,31,-20,-61,30346,76,-128,-4719,-10,-5,128,1554,-5597,4206,-900,900,0,1,0
1,90,0.215,82,733711,31,-20,-61,30550,76,-128,-4718,-41,41,128,1557,-5630,4239,-1700,1800,0,1,0
1,90,0.287,83,733783,31,-20,-61,30931,74,-129,-4474,-67,82,128,1560,-5686,4306,-2400,2400,0,1,0
1,90,0.36,84,733855,31,-20,-61,31618,74,-129,-4474,-131,114,128,1563,-5797,4417,-2800,2900,0,1,0
1,90,0.45,85,733927,31,-20,-62,32537,68,-135,-3386,-137,164,128,1566,-5941,4570,-3300,3300,0,1,0
1,90,0.512,86,733999,31,-20,-62,33630,63,-144,-1840,-187,173,128,1569,-6119,4745,-3500,3500,0,1,0
1,90,0.592,87,734071,31,-19,-62,34850,63,-144,-1840,-193,196,128,1572,-6313,4945,-3100,3100,0,1,0
1,90,0.674,88,734143,31,-20,-62,36029,59,-157,128,-178,169,128,1575,-6511,5128,-2400,2500,0,1,0
1,90,0.773,89,734216,31,-20,-62,36958,60,-169,1735,-140,123,128,1578,-6661,5278,-1800,1700,0,1,0
1,90,0.829,90,734287,31,-20,-62,37602,60,-169,1735,-73,82,128,1581,-6763,5384,-1200,1200,0,1,0
1,90,0.875,91,734359,31,-20,-61,38041,63,-175,2671,-50,73,128,1584,-6830,5459,-1200,1300,0,1,0
1,90,0.937,92,734431,31,-20,-61,38341,65,-178,3147,-41,41,128,1587,-6880,5506,-1200,1100,0,1,0
1,90,1.007,93,734503,31,-19,-61,38651,65,-178,3147,-41,64,128,1590,-6925,5561,-1100,1000,0,1,0
1,90,1.081,94,734568,31,-19,-61,38858,68,-181,3623,0,0,129,1594,-6958,5595,0,0,0,1,0
1,90,1.128,95,734623,31,-19,-61,38858,68,-181,3623,0,0,129,1594,-6958,5595,0,0,0,1,0
1,90,1.184,96,734679,31,-19,-61,38858,68,-182,3736,0,0,129,1594,-6958,5595,0,0,0,1,0
1,90,1.243,97,734735,31,-19,-61,38858,68,-182,3736,0,0,129,1594,-6958,5595,0,0,0,1,0
1,90,1.295,98,734791,31,-19,-61,38858,68,-182,3737,0,0,129,1594,-6958,5595,0,0,0,1,0
1,90,1.384,99,734847,31,-19,-61,38858,68,-182,3737,0,0,129,1594,-6958,5595,0,0,0,1,0
1,90,1.408,100,734899,31,-19,-61,38858,68,-182,3737,0,0,129,1594,-6958,5595,0,0,0,1,0
1,90,1.466,101,734955,31,-19,-61,38858,68,-182,3737,0,0,129,1594,-6958,5595,0,0,0,1,0
1,90,1.514,102,735011,31,-19,-61,38858,68,-182,3737,0,0,129,1594,-6958,5595,0,0,0,1,0
1,90,1.57,103,735067,31,-19,-61,38858,68,-182,3737,0,0,129,1594,-6958,5595,0,0,0,1,0
1,90,1.626,104,735123,31,-19,-61,38858,68,-182,3737,0,0,129,1594,-6958,5595,0,0,0,1,0
1,90,1.749,105,735179,31,-19,-61,38858,68,-182,3737,0,0,129,1594,-6958,5595,0,0,0,1,0
1,90,1.753,106,735235,31,-19,-61,38858,68,-182,3736,0,0,129,1594,-6958,5595,0,0,0,1,0
1,90,1.817,107,735291,31,-19,-61,38858,68,-182,3736,0,0,129,1594,-6958,5595,0,0,0,1,0
1,90,1.85,108,735347,31,-19,-61,38858,68,-182,3737,0,0,129,1594,-6958,5595,0,0,0,1,0
1,90,1.907,109,735403,31,-19,-61,38858,68,-182,3737,0,0,129,1594,-6958,5595,0,0,0,1,0
1,90,1.963,110,735459,31,-19,-61,38858,68,-182,3737,0,0,129,1594,-6958,5595,0,0,0,1,0
1,90,2.032,111,735515,31,-19,-61,38858,68,-182,3737,0,0,129,1594,-6958,5595,0,0,0,1,0
1,90,2.079,112,735571,31,-19,-61,38858,68,-182,3737,0,0,129,1594,-6958,5595,0,0,0,1,0
1,90,2.131,113,735627,31,-19,-61,38858,68,-182,3737,0,0,129,1594,-6958,5595,0,0,0,1,0
1,90,2.189,114,735683,31,-19,-61,38858,68,-182,3737,0,0,129,1594,-6958,5595,0,0,0,1,0
