turn,commanded,cruise,id,reason,camera_deg,error_deg,unwrapped_deg,cam_samples,encoder_deg,encoder_error_deg,x0,y0,x1,y1,drift_cm,peak_vl,peak_vr,duration_s,frames,ready_before
1,90,0,5,stop,83.54,-6.46,83.39,16,85.22,-4.78,-2.96,16.81,-3.56,13.39,3.47,193,196,0.86,158,1
2,-90,0,6,stop,-85.82,4.18,-86.03,17,-86.7,3.3,-3.57,13.4,-2.46,17.04,3.81,210,196,0.87,156,1
3,107,0,7,stop,99.13,-7.87,99.09,19,100.26,-6.74,-2.46,17.04,-2.79,13.2,3.86,210,201,0.93,165,1
4,-107,0,8,stop,-102.97,4.03,-102.09,18,-102.92,4.08,-2.79,13.22,-1.95,17.21,4.08,219,193,0.98,153,1
5,180,0,9,stop,174.65,-5.35,178.05,19,175.95,-4.05,-1.93,17.2,0.36,12.81,4.95,283,257,1.37,179,1
6,-180,0,10,stop,-175.52,4.48,-176.36,18,-176.3,3.7,0.36,12.82,-2.39,17.6,5.51,260,257,1.3,152,1
7,-90,0,11,stop,-87.3,2.7,-88.22,19,-85.52,4.48,-2.39,17.6,1.36,16.58,3.89,210,193,0.79,148,1
8,90,0,12,stop,87.35,-2.65,87.42,16,86.14,-3.86,1.36,16.58,-1.98,17.34,3.43,204,204,0.87,156,1
9,-107,0,13,stop,-102.86,4.14,-100.15,14,-101.38,5.62,-1.96,17.35,1.94,15.63,4.26,219,219,0.92,148,1
10,107,0,14,stop,104.43,-2.57,103.76,18,103.71,-3.29,1.94,15.65,-1.93,16.96,4.09,210,208,1.0,181,1
11,-180,0,15,stop,-178.68,1.32,-178.64,17,-177.84,2.16,-1.93,16.96,1.08,12.38,5.48,251,277,1.52,127,1
12,180,0,16,stop,17.81,-162.19,17.88,19,18.94,-161.06,1.06,12.37,1.83,12.8,0.88,114,123,0.21,83,1
