turn,commanded,t_rel,seq,now,flags,x,y,h,ox,oy,oh,vl,vr,i2cf,cyc,posl,posr,dutl,dutr,lexc,wrng,cycovr
1,90,0.005,16,950479,31,-21,-67,14292,151,-182,14684,0,0,154,2209,-2725,1892,0,0,0,2,0
1,90,0.103,17,950547,31,-21,-67,14292,151,-182,14684,0,0,154,2211,-2725,1892,-300,300,0,2,0
1,90,0.146,18,950619,31,-20,-67,14366,151,-182,14685,-32,15,154,2214,-2741,1900,-1100,1000,0,2,0
1,90,0.219,19,950691,31,-20,-67,14592,151,-182,14685,-26,50,154,2217,-2775,1939,-1700,1800,0,2,0
1,90,0.291,20,950763,31,-21,-67,15004,153,-180,14983,-82,82,154,2220,-2841,2006,-2400,2400,0,2,0
1,90,0.376,21,950835,31,-21,-67,15710,153,-180,14983,-123,123,154,2223,-2955,2120,-2800,2800,0,2,0
1,90,0.439,22,950907,31,-21,-67,16605,157,-174,15989,-137,163,154,2226,-3097,2267,-3200,3200,0,2,0
1,90,0.506,23,950979,31,-21,-67,17669,161,-164,17513,-178,178,154,2229,-3269,2439,-3500,3500,0,2,0
1,90,0.579,24,951051,31,-21,-67,18874,161,-164,17513,-184,187,154,2232,-3463,2634,-3100,3000,0,2,0
1,90,0.688,25,951123,31,-21,-67,20041,161,-151,-16584,-178,169,154,2235,-3652,2822,-2400,2500,0,2,0
1,90,0.724,26,951195,31,-21,-67,20954,157,-140,-14940,-131,129,154,2238,-3797,2972,-1800,1800,0,2,0
1,90,0.804,27,951267,31,-21,-67,21616,157,-140,-14940,-105,82,154,2241,-3905,3078,-1300,1200,0,2,0
1,90,0.867,28,951339,31,-21,-68,22009,152,-134,-13952,-47,56,154,2244,-3963,3147,-1100,1100,0,2,0
1,90,0.946,29,951411,31,-21,-68,22313,150,-132,-13450,-50,47,154,2247,-4008,3200,-1400,1200,0,2,0
1,90,1.05,30,951524,31,-21,-68,22727,147,-130,-12973,0,0,154,2253,-4075,3267,0,0,0,2,0
1,90,1.102,31,951575,31,-21,-68,22727,147,-130,-12973,0,0,154,2254,-4075,3267,0,0,0,2,0
1,90,1.158,32,951631,31,-21,-68,22727,146,-130,-12920,0,0,154,2254,-4075,3267,0,0,0,2,0
1,90,1.221,33,951687,31,-21,-68,22727,146,-130,-12920,0,0,154,2254,-4075,3267,0,0,0,2,0
1,90,1.281,34,951743,31,-21,-68,22727,146,-130,-12919,0,0,154,2254,-4075,3267,0,0,0,2,0
1,90,1.324,35,951799,31,-21,-68,22727,146,-130,-12919,0,0,154,2254,-4075,3267,0,0,0,2,0
1,90,1.385,36,951855,31,-21,-68,22727,146,-130,-12919,0,0,154,2254,-4075,3267,0,0,0,2,0
