turn,commanded,cruise,id,reason,camera_deg,error_deg,unwrapped_deg,cam_samples,encoder_deg,encoder_error_deg,x0,y0,x1,y1,drift_cm,peak_vl,peak_vr,duration_s,frames,ready_before
1,90,0,6,stop,83.79,-6.21,83.89,17,84.35,-5.65,1.83,12.8,1.56,16.16,3.37,184,187,0.8,143,1
2,-90,0,7,stop,-86.35,3.65,-86.35,17,-86.42,3.58,1.56,16.16,1.54,12.38,3.78,192,196,0.94,149,1
3,107,0,8,stop,101.64,-5.36,101.48,19,102.34,-4.66,1.54,12.38,0.8,16.19,3.88,210,210,0.91,130,1
4,-107,0,9,stop,-101.41,5.59,-100.15,15,-102.34,4.66,0.81,16.19,1.5,11.98,4.26,210,213,1.01,216,1
5,180,0,10,stop,172.59,-7.41,171.35,14,177.4,-2.6,1.51,11.97,-2.01,15.36,4.89,260,254,1.44,217,1
6,-180,0,11,stop,-146.12,33.88,-144.15,16,-146.54,33.46,-2.03,15.36,2.77,12.51,5.58,251,286,0.87,231,1
7,-90,0,12,stop,-84.42,5.58,-86.3,15,-85.81,4.19,2.77,12.51,-0.27,10.68,3.55,196,196,0.86,246,1
8,90,0,13,stop,-0.86,-90.86,-2.56,15,3.19,-86.81,-0.23,10.64,-0.26,10.65,0.03,15,0,0.0,151,1
9,-107,0,14,stop,1.03,108.03,-0.01,15,-0.09,106.91,-0.27,10.65,-0.25,10.65,0.02,0,0,0.0,123,1
10,107,0,15,stop,11.79,-95.21,11.77,17,7.89,-99.11,-0.25,10.64,0.19,10.71,0.44,23,32,0.0,142,1
11,-180,0,16,stop,-174.99,5.01,-175.24,19,-173.47,6.53,0.18,10.71,-0.4,15.99,5.31,269,260,1.23,138,1
12,180,0,17,stop,145.41,-34.59,148.09,16,145.12,-34.88,-0.37,16.01,-1.25,10.98,5.1,274,269,0.86,119,1
