turn,commanded,t_rel,seq,now,flags,x,y,h,ox,oy,oh,vl,vr,i2cf,cyc,posl,posr,dutl,dutr,lexc,wrng,cycovr
1,90,-0.021,110,1185823,31,-23,-60,6854,94,-204,6735,0,0,170,2764,-1330,884,0,0,0,4,0
1,90,0.045,111,1185891,31,-23,-60,6869,94,-204,6735,0,0,170,2765,-1330,889,0,0,0,4,0
1,90,0.14,112,1185963,31,-23,-60,6888,94,-204,6735,-18,0,171,2768,-1336,889,-700,800,0,4,0
1,90,0.192,113,1186035,31,-23,-60,7076,94,-204,6735,-41,32,171,2771,-1369,917,-1400,1400,0,4,0
1,90,0.263,114,1186107,31,-23,-60,7395,94,-205,6819,-73,64,171,2774,-1422,967,-2200,2200,0,4,0
1,90,0.335,115,1186179,31,-23,-60,8030,99,-207,7575,-114,120,171,2777,-1519,1075,-2700,2700,0,4,0
1,90,0.417,116,1186252,31,-23,-60,8897,99,-207,7575,-152,146,171,2780,-1663,1211,-3100,3100,0,4,0
1,90,0.479,117,1186323,31,-23,-60,9965,110,-210,8987,-178,172,171,2783,-1838,1381,-3500,3500,0,4,0
1,90,0.553,118,1186395,31,-23,-61,11193,125,-209,10817,-210,169,171,2786,-2044,1572,-3300,3200,0,4,0
1,90,0.663,119,1186467,31,-23,-61,12435,125,-209,10817,-187,187,171,2789,-2247,1770,-2500,2600,0,4,0
1,90,0.696,120,1186539,31,-23,-61,13472,138,-204,12708,-155,152,171,2792,-2416,1936,-1900,1900,0,4,0
1,90,0.781,121,1186611,31,-23,-61,14230,146,-198,14027,-87,114,171,2795,-2541,2056,-1200,1300,0,4,0
1,90,0.844,122,1186683,31,-22,-61,14704,146,-198,14027,-55,55,171,2798,-2622,2128,-800,1000,0,4,0
1,90,0.923,123,1186755,31,-23,-61,15023,149,-194,14678,-32,50,171,2801,-2669,2184,-800,1000,0,4,0
1,90,0.983,124,1186827,31,-23,-61,15227,149,-194,14678,-23,32,171,2804,-2702,2217,-900,1000,0,4,0
1,90,1.055,125,1186899,31,-23,-61,15453,151,-192,15007,-32,32,171,2807,-2736,2256,-800,900,0,4,0
1,90,1.135,126,1186980,31,-23,-61,15642,153,-189,15394,0,0,171,2812,-2769,2284,0,0,0,4,0
1,90,1.193,127,1187031,31,-23,-61,15642,153,-189,15394,0,0,171,2814,-2769,2284,0,0,0,4,0
1,90,1.26,0,1187103,31,-23,-61,15642,153,-189,15452,0,0,171,2817,-2769,2284,0,0,0,4,0
1,90,1.342,1,1187176,31,-23,-61,15642,153,-189,15452,0,0,171,2820,-2769,2284,0,0,0,4,0
1,90,1.389,2,1187231,31,-23,-61,15642,153,-189,15452,0,0,171,2820,-2769,2284,0,0,0,4,0
1,90,1.448,3,1187287,31,-23,-61,15642,153,-189,15452,0,0,171,2820,-2769,2284,0,0,0,4,0
1,90,1.505,4,1187343,31,-23,-61,15642,153,-189,15452,0,0,171,2820,-2769,2284,0,0,0,4,0
1,90,1.571,5,1187399,31,-23,-61,15642,153,-189,15453,0,0,171,2820,-2769,2284,0,0,0,4,0
1,90,1.615,6,1187455,31,-23,-61,15642,153,-189,15453,0,0,171,2820,-2769,2284,0,0,0,4,0
